ward,precinct,total,"Robert D. Shearer, Jr.","Robert D. Shearer, Jr. Percent",precinct_id
49,1,1,1,100.0,49001
49,2,16,16,100.0,49002
49,5,2,2,100.0,49005
49,6,8,8,100.0,49006
49,9,7,7,100.0,49009
49,13,6,6,100.0,49013
49,14,12,12,100.0,49014
49,17,3,3,100.0,49017
49,18,6,6,100.0,49018
49,22,5,5,100.0,49022
49,28,8,8,100.0,49028
49,30,3,3,100.0,49030
49,32,4,4,100.0,49032
49,34,6,6,100.0,49034
49,36,14,14,100.0,49036
49,40,8,8,100.0,49040
49,41,5,5,100.0,49041
49,42,7,7,100.0,49042
