ward,precinct,total,E. Suzanne Davis,E. Suzanne Davis Percent,precinct_id
43,1,11,11,100.0,43001
43,2,24,24,100.0,43002
43,3,19,19,100.0,43003
43,4,28,28,100.0,43004
43,5,19,19,100.0,43005
43,6,14,14,100.0,43006
43,7,6,6,100.0,43007
43,8,17,17,100.0,43008
43,9,13,13,100.0,43009
43,10,10,10,100.0,43010
43,11,9,9,100.0,43011
43,12,40,40,100.0,43012
43,13,12,12,100.0,43013
43,14,29,29,100.0,43014
43,15,26,26,100.0,43015
43,16,27,27,100.0,43016
43,17,19,19,100.0,43017
43,18,42,42,100.0,43018
43,19,12,12,100.0,43019
43,20,14,14,100.0,43020
43,21,13,13,100.0,43021
43,22,22,22,100.0,43022
43,23,8,8,100.0,43023
43,24,30,30,100.0,43024
43,25,12,12,100.0,43025
43,26,34,34,100.0,43026
43,27,17,17,100.0,43027
43,28,17,17,100.0,43028
43,29,23,23,100.0,43029
43,30,11,11,100.0,43030
43,31,9,9,100.0,43031
43,32,19,19,100.0,43032
43,33,17,17,100.0,43033
43,34,10,10,100.0,43034
43,35,14,14,100.0,43035
43,36,40,40,100.0,43036
43,37,27,27,100.0,43037
43,38,23,23,100.0,43038
43,39,13,13,100.0,43039
43,40,15,15,100.0,43040
43,41,12,12,100.0,43041
43,42,24,24,100.0,43042
43,43,24,24,100.0,43043
43,44,25,25,100.0,43044
43,45,4,4,100.0,43045
43,46,29,29,100.0,43046
43,47,24,24,100.0,43047
43,48,24,24,100.0,43048
43,49,24,24,100.0,43049
43,50,16,16,100.0,43050
43,51,26,26,100.0,43051
43,52,38,38,100.0,43052
43,53,31,31,100.0,43053
43,54,19,19,100.0,43054
43,55,16,16,100.0,43055
43,56,7,7,100.0,43056
43,57,22,22,100.0,43057
43,58,24,24,100.0,43058
43,59,41,41,100.0,43059
43,60,9,9,100.0,43060
43,61,7,7,100.0,43061
43,62,28,28,100.0,43062
43,63,13,13,100.0,43063
43,64,22,22,100.0,43064
43,65,17,17,100.0,43065
43,66,7,7,100.0,43066
43,67,28,28,100.0,43067
