ward,precinct,total,"Angelo """"Skip"""" Saviano (Bush)","Angelo """"Skip"""" Saviano (Bush) Percent",Donna Geneva Roehri (Bush),Donna Geneva Roehri (Bush) Percent,precinct_id
1,7,6,3,50.0,3,50.0,01007
1,28,0,0,0.0,0,0.0,01028
29,2,12,7,58.33,5,41.67,29002
29,9,7,4,57.14,3,42.86,29009
29,24,8,4,50.0,4,50.0,29024
29,32,6,3,50.0,3,50.0,29032
29,53,2,1,50.0,1,50.0,29053
29,54,15,8,53.33,7,46.67,29054
30,1,20,11,55.0,9,45.0,30001
30,2,13,7,53.85,6,46.15,30002
30,3,27,14,51.85,13,48.15,30003
30,7,11,5,45.45,6,54.55,30007
30,8,24,12,50.0,12,50.0,30008
30,9,13,7,53.85,6,46.15,30009
30,10,15,8,53.33,7,46.67,30010
30,11,7,4,57.14,3,42.86,30011
30,12,13,7,53.85,6,46.15,30012
30,13,22,11,50.0,11,50.0,30013
30,14,10,5,50.0,5,50.0,30014
30,15,23,11,47.83,12,52.17,30015
30,16,19,9,47.37,10,52.63,30016
30,17,1,0,0.0,1,100.0,30017
30,25,8,4,50.0,4,50.0,30025
30,28,11,5,45.45,6,54.55,30028
30,30,24,14,58.33,10,41.67,30030
30,34,3,2,66.67,1,33.33,30034
30,37,22,11,50.0,11,50.0,30037
30,38,25,13,52.0,12,48.0,30038
30,39,16,8,50.0,8,50.0,30039
30,40,20,10,50.0,10,50.0,30040
31,3,15,6,40.0,9,60.0,31003
31,8,11,7,63.64,4,36.36,31008
31,9,8,5,62.5,3,37.5,31009
31,15,9,4,44.44,5,55.56,31015
31,16,2,1,50.0,1,50.0,31016
31,19,13,6,46.15,7,53.85,31019
31,26,5,2,40.0,3,60.0,31026
31,28,2,1,50.0,1,50.0,31028
31,29,19,9,47.37,10,52.63,31029
31,32,9,4,44.44,5,55.56,31032
31,33,14,7,50.0,7,50.0,31033
31,35,2,1,50.0,1,50.0,31035
31,38,9,5,55.56,4,44.44,31038
31,41,6,3,50.0,3,50.0,31041
31,43,18,10,55.56,8,44.44,31043
31,45,9,6,66.67,3,33.33,31045
31,46,8,4,50.0,4,50.0,31046
31,47,9,5,55.56,4,44.44,31047
31,48,6,2,33.33,4,66.67,31048
31,50,24,12,50.0,12,50.0,31050
32,7,23,12,52.17,11,47.83,32007
32,8,55,29,52.73,26,47.27,32008
32,9,41,20,48.78,21,51.22,32009
32,10,20,9,45.0,11,55.0,32010
32,13,15,8,53.33,7,46.67,32013
32,15,23,12,52.17,11,47.83,32015
32,18,31,15,48.39,16,51.61,32018
32,19,22,11,50.0,11,50.0,32019
32,20,18,9,50.0,9,50.0,32020
32,21,24,12,50.0,12,50.0,32021
32,22,35,18,51.43,17,48.57,32022
32,23,43,22,51.16,21,48.84,32023
32,24,28,14,50.0,14,50.0,32024
32,25,14,7,50.0,7,50.0,32025
32,27,20,9,45.0,11,55.0,32027
32,30,23,12,52.17,11,47.83,32030
32,32,60,30,50.0,30,50.0,32032
32,37,13,7,53.85,6,46.15,32037
32,38,8,4,50.0,4,50.0,32038
32,39,40,21,52.5,19,47.5,32039
32,40,29,15,51.72,14,48.28,32040
32,41,44,22,50.0,22,50.0,32041
32,42,25,12,48.0,13,52.0,32042
32,43,60,32,53.33,28,46.67,32043
32,44,21,9,42.86,12,57.14,32044
32,45,12,6,50.0,6,50.0,32045
32,47,72,37,51.39,35,48.61,32047
32,48,48,25,52.08,23,47.92,32048
32,49,33,17,51.52,16,48.48,32049
32,50,13,7,53.85,6,46.15,32050
33,5,23,13,56.52,10,43.48,33005
33,7,5,3,60.0,2,40.0,33007
33,10,10,6,60.0,4,40.0,33010
33,14,5,3,60.0,2,40.0,33014
33,16,34,17,50.0,17,50.0,33016
33,18,9,4,44.44,5,55.56,33018
33,22,8,4,50.0,4,50.0,33022
