ward,precinct,total,Ramiro Gonzalez (Bush),Ramiro Gonzalez (Bush) Percent,Francisco Perez (Bush),Francisco Perez (Bush) Percent,precinct_id
1,1,2,1,50.0,1,50.0,01001
1,2,6,3,50.0,3,50.0,01002
1,3,14,7,50.0,7,50.0,01003
1,4,8,4,50.0,4,50.0,01004
1,5,8,5,62.5,3,37.5,01005
1,7,18,10,55.56,8,44.44,01007
1,8,11,6,54.55,5,45.45,01008
1,9,12,7,58.33,5,41.67,01009
1,10,16,8,50.0,8,50.0,01010
1,11,5,3,60.0,2,40.0,01011
1,12,20,9,45.0,11,55.0,01012
1,13,13,6,46.15,7,53.85,01013
1,14,7,4,57.14,3,42.86,01014
1,15,0,0,0.0,0,0.0,01015
1,16,2,1,50.0,1,50.0,01016
1,17,12,6,50.0,6,50.0,01017
1,18,4,2,50.0,2,50.0,01018
1,19,19,10,52.63,9,47.37,01019
1,20,19,10,52.63,9,47.37,01020
1,21,22,11,50.0,11,50.0,01021
1,22,16,8,50.0,8,50.0,01022
1,23,16,7,43.75,9,56.25,01023
1,24,8,4,50.0,4,50.0,01024
1,25,6,3,50.0,3,50.0,01025
1,26,16,8,50.0,8,50.0,01026
1,27,14,8,57.14,6,42.86,01027
1,28,3,2,66.67,1,33.33,01028
1,29,16,9,56.25,7,43.75,01029
1,30,22,10,45.45,12,54.55,01030
1,31,28,14,50.0,14,50.0,01031
1,32,12,6,50.0,6,50.0,01032
1,33,11,6,54.55,5,45.45,01033
1,34,3,2,66.67,1,33.33,01034
1,35,7,3,42.86,4,57.14,01035
1,36,27,13,48.15,14,51.85,01036
1,37,15,7,46.67,8,53.33,01037
1,38,2,1,50.0,1,50.0,01038
1,39,18,9,50.0,9,50.0,01039
1,40,6,4,66.67,2,33.33,01040
3,13,10,5,50.0,5,50.0,03013
11,3,9,5,55.56,4,44.44,11003
11,10,10,5,50.0,5,50.0,11010
11,18,4,2,50.0,2,50.0,11018
11,26,0,0,0.0,0,0.0,11026
12,1,6,3,50.0,3,50.0,12001
12,2,10,5,50.0,5,50.0,12002
12,3,5,3,60.0,2,40.0,12003
12,4,8,4,50.0,4,50.0,12004
12,5,18,9,50.0,9,50.0,12005
12,6,7,4,57.14,3,42.86,12006
12,7,1,1,100.0,0,0.0,12007
12,8,24,13,54.17,11,45.83,12008
12,9,4,1,25.0,3,75.0,12009
12,10,12,8,66.67,4,33.33,12010
12,11,6,3,50.0,3,50.0,12011
12,12,3,1,33.33,2,66.67,12012
12,13,8,4,50.0,4,50.0,12013
12,14,7,4,57.14,3,42.86,12014
12,15,7,3,42.86,4,57.14,12015
12,16,6,4,66.67,2,33.33,12016
12,17,3,2,66.67,1,33.33,12017
12,18,2,1,50.0,1,50.0,12018
12,19,12,7,58.33,5,41.67,12019
12,20,8,4,50.0,4,50.0,12020
12,21,10,5,50.0,5,50.0,12021
12,22,9,5,55.56,4,44.44,12022
12,23,10,5,50.0,5,50.0,12023
12,24,11,5,45.45,6,54.55,12024
12,25,5,3,60.0,2,40.0,12025
12,26,3,2,66.67,1,33.33,12026
12,27,14,7,50.0,7,50.0,12027
12,28,14,8,57.14,6,42.86,12028
12,29,22,11,50.0,11,50.0,12029
13,3,33,17,51.52,16,48.48,13003
14,1,13,6,46.15,7,53.85,14001
14,3,3,1,33.33,2,66.67,14003
14,4,15,7,46.67,8,53.33,14004
14,5,4,2,50.0,2,50.0,14005
14,6,11,8,72.73,3,27.27,14006
14,7,13,7,53.85,6,46.15,14007
14,8,4,2,50.0,2,50.0,14008
14,9,6,3,50.0,3,50.0,14009
14,10,25,13,52.0,12,48.0,14010
14,11,9,5,55.56,4,44.44,14011
14,12,16,9,56.25,7,43.75,14012
14,13,18,9,50.0,9,50.0,14013
