ward,precinct,total,Joseph R. Hedrick,Joseph R. Hedrick Percent,precinct_id
33,18,0,0,0.0,33018
38,5,19,19,100.0,38005
38,7,10,10,100.0,38007
38,10,16,16,100.0,38010
38,20,35,35,100.0,38020
39,1,20,20,100.0,39001
39,2,29,29,100.0,39002
39,3,25,25,100.0,39003
39,4,14,14,100.0,39004
39,5,15,15,100.0,39005
39,6,30,30,100.0,39006
39,7,5,5,100.0,39007
39,8,10,10,100.0,39008
39,9,12,12,100.0,39009
39,10,9,9,100.0,39010
39,11,13,13,100.0,39011
39,12,2,2,100.0,39012
39,14,9,9,100.0,39014
39,15,20,20,100.0,39015
39,16,6,6,100.0,39016
39,17,5,5,100.0,39017
39,18,12,12,100.0,39018
39,19,6,6,100.0,39019
39,20,21,21,100.0,39020
39,21,6,6,100.0,39021
39,25,18,18,100.0,39025
39,26,22,22,100.0,39026
39,32,4,4,100.0,39032
39,33,16,16,100.0,39033
39,34,23,23,100.0,39034
39,35,25,25,100.0,39035
39,36,12,12,100.0,39036
39,37,32,32,100.0,39037
39,38,20,20,100.0,39038
39,39,2,2,100.0,39039
39,40,18,18,100.0,39040
39,41,6,6,100.0,39041
39,42,16,16,100.0,39042
39,43,27,27,100.0,39043
39,45,14,14,100.0,39045
39,47,12,12,100.0,39047
40,1,1,1,100.0,40001
40,2,0,0,0.0,40002
40,8,6,6,100.0,40008
40,10,5,5,100.0,40010
40,17,4,4,100.0,40017
40,20,0,0,0.0,40020
40,24,1,1,100.0,40024
40,29,11,11,100.0,40029
40,30,8,8,100.0,40030
40,31,11,11,100.0,40031
40,32,13,13,100.0,40032
40,34,9,9,100.0,40034
40,38,3,3,100.0,40038
40,48,16,16,100.0,40048
40,49,6,6,100.0,40049
41,10,30,30,100.0,41010
41,14,31,31,100.0,41014
41,23,29,29,100.0,41023
41,47,42,42,100.0,41047
41,54,33,33,100.0,41054
41,59,21,21,100.0,41059
41,66,45,45,100.0,41066
41,67,15,15,100.0,41067
41,69,29,29,100.0,41069
41,70,24,24,100.0,41070
41,71,19,19,100.0,41071
45,4,32,32,100.0,45004
45,5,35,35,100.0,45005
45,10,25,25,100.0,45010
45,12,20,20,100.0,45012
45,14,24,24,100.0,45014
45,24,36,36,100.0,45024
45,36,20,20,100.0,45036
49,28,8,8,100.0,49028
49,38,3,3,100.0,49038
49,40,8,8,100.0,49040
49,41,5,5,100.0,49041
49,44,15,15,100.0,49044
50,1,15,15,100.0,50001
50,2,12,12,100.0,50002
50,3,8,8,100.0,50003
50,4,11,11,100.0,50004
50,5,14,14,100.0,50005
50,6,10,10,100.0,50006
50,7,10,10,100.0,50007
50,8,11,11,100.0,50008
50,9,10,10,100.0,50009
50,10,4,4,100.0,50010
50,11,9,9,100.0,50011
50,12,5,5,100.0,50012
50,13,3,3,100.0,50013
50,14,5,5,100.0,50014
50,15,14,14,100.0,50015
50,16,8,8,100.0,50016
50,17,8,8,100.0,50017
50,18,19,19,100.0,50018
50,19,12,12,100.0,50019
50,20,19,19,100.0,50020
50,21,15,15,100.0,50021
50,22,15,15,100.0,50022
50,23,6,6,100.0,50023
50,24,22,22,100.0,50024
50,25,14,14,100.0,50025
50,26,8,8,100.0,50026
50,27,2,2,100.0,50027
50,28,17,17,100.0,50028
50,29,19,19,100.0,50029
50,30,9,9,100.0,50030
50,31,2,2,100.0,50031
50,32,12,12,100.0,50032
50,33,9,9,100.0,50033
50,34,4,4,100.0,50034
50,35,22,22,100.0,50035
50,36,20,20,100.0,50036
50,37,16,16,100.0,50037
50,38,9,9,100.0,50038
50,39,10,10,100.0,50039
50,40,15,15,100.0,50040
50,41,13,13,100.0,50041
50,42,7,7,100.0,50042
50,43,5,5,100.0,50043
50,44,13,13,100.0,50044
50,45,1,1,100.0,50045
