ward,precinct,total,William A. O'Connor (Bush),William A. O'Connor (Bush) Percent,Patricia M. Pavlich (Bush),Patricia M. Pavlich (Bush) Percent,precinct_id
3,51,0,0,0.0,0,0.0,03051
11,1,22,11,50.0,11,50.0,11001
11,2,12,7,58.33,5,41.67,11002
11,4,12,7,58.33,5,41.67,11004
11,5,9,4,44.44,5,55.56,11005
11,6,16,8,50.0,8,50.0,11006
11,7,18,9,50.0,9,50.0,11007
11,8,18,8,44.44,10,55.56,11008
11,9,8,4,50.0,4,50.0,11009
11,11,13,8,61.54,5,38.46,11011
11,12,8,3,37.5,5,62.5,11012
11,13,17,9,52.94,8,47.06,11013
11,15,16,8,50.0,8,50.0,11015
11,16,17,9,52.94,8,47.06,11016
11,17,26,13,50.0,13,50.0,11017
11,18,8,4,50.0,4,50.0,11018
11,19,12,7,58.33,5,41.67,11019
11,20,1,0,0.0,1,100.0,11020
11,21,6,2,33.33,4,66.67,11021
11,22,14,7,50.0,7,50.0,11022
11,23,0,0,0.0,0,0.0,11023
11,24,12,7,58.33,5,41.67,11024
11,25,9,5,55.56,4,44.44,11025
11,26,15,8,53.33,7,46.67,11026
11,29,16,9,56.25,7,43.75,11029
11,30,10,5,50.0,5,50.0,11030
11,31,7,3,42.86,4,57.14,11031
11,32,7,4,57.14,3,42.86,11032
11,33,5,3,60.0,2,40.0,11033
11,34,0,0,0.0,0,0.0,11034
11,35,15,7,46.67,8,53.33,11035
11,37,23,12,52.17,11,47.83,11037
11,38,8,4,50.0,4,50.0,11038
11,39,16,8,50.0,8,50.0,11039
11,40,12,6,50.0,6,50.0,11040
11,41,14,6,42.86,8,57.14,11041
11,42,4,2,50.0,2,50.0,11042
11,43,22,11,50.0,11,50.0,11043
11,44,5,2,40.0,3,60.0,11044
11,45,9,4,44.44,5,55.56,11045
11,47,7,4,57.14,3,42.86,11047
11,48,9,5,55.56,4,44.44,11048
11,49,8,5,62.5,3,37.5,11049
11,50,9,4,44.44,5,55.56,11050
13,1,23,12,52.17,11,47.83,13001
13,2,5,3,60.0,2,40.0,13002
13,4,23,12,52.17,11,47.83,13004
13,5,2,2,100.0,0,0.0,13005
13,6,22,12,54.55,10,45.45,13006
13,7,12,7,58.33,5,41.67,13007
13,8,21,11,52.38,10,47.62,13008
13,9,17,8,47.06,9,52.94,13009
13,10,17,9,52.94,8,47.06,13010
13,11,6,4,66.67,2,33.33,13011
13,12,4,1,25.0,3,75.0,13012
13,13,20,11,55.0,9,45.0,13013
13,14,11,5,45.45,6,54.55,13014
13,15,17,8,47.06,9,52.94,13015
13,16,15,7,46.67,8,53.33,13016
13,17,23,13,56.52,10,43.48,13017
13,18,19,9,47.37,10,52.63,13018
13,19,7,4,57.14,3,42.86,13019
13,20,10,7,70.0,3,30.0,13020
13,21,9,4,44.44,5,55.56,13021
13,22,16,8,50.0,8,50.0,13022
13,23,15,8,53.33,7,46.67,13023
13,24,10,5,50.0,5,50.0,13024
13,25,20,10,50.0,10,50.0,13025
13,26,2,1,50.0,1,50.0,13026
13,27,22,12,54.55,10,45.45,13027
13,28,8,4,50.0,4,50.0,13028
13,29,20,10,50.0,10,50.0,13029
13,30,6,4,66.67,2,33.33,13030
13,31,10,5,50.0,5,50.0,13031
13,32,15,8,53.33,7,46.67,13032
13,33,7,4,57.14,3,42.86,13033
13,34,14,6,42.86,8,57.14,13034
13,35,20,10,50.0,10,50.0,13035
13,36,9,5,55.56,4,44.44,13036
13,37,10,5,50.0,5,50.0,13037
13,38,27,14,51.85,13,48.15,13038
13,39,13,6,46.15,7,53.85,13039
13,40,17,9,52.94,8,47.06,13040
13,41,8,3,37.5,5,62.5,13041
13,42,16,9,56.25,7,43.75,13042
13,43,2,1,50.0,1,50.0,13043
13,44,2,1,50.0,1,50.0,13044
13,45,24,11,45.83,13,54.17,13045
13,46,9,4,44.44,5,55.56,13046
13,47,26,14,53.85,12,46.15,13047
13,48,14,8,57.14,6,42.86,13048
13,49,22,11,50.0,11,50.0,13049
13,50,13,7,53.85,6,46.15,13050
13,51,21,11,52.38,10,47.62,13051
13,52,16,8,50.0,8,50.0,13052
13,53,31,16,51.61,15,48.39,13053
13,54,10,6,60.0,4,40.0,13054
14,2,30,16,53.33,14,46.67,14002
14,25,13,7,53.85,6,46.15,14025
14,28,9,5,55.56,4,44.44,14028
15,1,4,2,50.0,2,50.0,15001
15,10,5,3,60.0,2,40.0,15010
15,13,2,1,50.0,1,50.0,15013
15,14,11,6,54.55,5,45.45,15014
15,15,11,6,54.55,5,45.45,15015
15,16,7,3,42.86,4,57.14,15016
15,25,0,0,0.0,0,0.0,15025
15,28,12,6,50.0,6,50.0,15028
15,32,6,3,50.0,3,50.0,15032
15,44,14,6,42.86,8,57.14,15044
15,49,3,1,33.33,2,66.67,15049
16,1,0,0,0.0,0,0.0,16001
16,4,3,2,66.67,1,33.33,16004
16,6,6,3,50.0,3,50.0,16006
16,7,0,0,0.0,0,0.0,16007
16,11,2,1,50.0,1,50.0,16011
16,13,10,6,60.0,4,40.0,16013
16,17,16,9,56.25,7,43.75,16017
16,23,3,2,66.67,1,33.33,16023
16,32,9,5,55.56,4,44.44,16032
16,35,27,15,55.56,12,44.44,16035
16,39,0,0,0.0,0,0.0,16039
16,42,0,0,0.0,0,0.0,16042
16,47,0,0,0.0,0,0.0,16047
18,3,31,17,54.84,14,45.16,18003
18,6,31,15,48.39,16,51.61,18006
18,15,11,6,54.55,5,45.45,18015
18,28,28,14,50.0,14,50.0,18028
18,41,19,10,52.63,9,47.37,18041
18,43,14,7,50.0,7,50.0,18043
18,48,29,15,51.72,14,48.28,18048
18,55,28,14,50.0,14,50.0,18055
18,56,13,6,46.15,7,53.85,18056
18,57,10,5,50.0,5,50.0,18057
18,64,16,9,56.25,7,43.75,18064
19,1,30,15,50.0,15,50.0,19001
19,2,16,8,50.0,8,50.0,19002
19,3,39,20,51.28,19,48.72,19003
19,4,32,16,50.0,16,50.0,19004
19,5,18,9,50.0,9,50.0,19005
19,6,46,24,52.17,22,47.83,19006
19,7,20,10,50.0,10,50.0,19007
19,8,23,13,56.52,10,43.48,19008
19,9,34,18,52.94,16,47.06,19009
19,10,39,20,51.28,19,48.72,19010
19,11,29,15,51.72,14,48.28,19011
19,12,34,18,52.94,16,47.06,19012
19,13,14,7,50.0,7,50.0,19013
19,14,31,16,51.61,15,48.39,19014
19,15,18,9,50.0,9,50.0,19015
19,16,24,11,45.83,13,54.17,19016
19,17,28,15,53.57,13,46.43,19017
19,18,43,23,53.49,20,46.51,19018
19,19,27,13,48.15,14,51.85,19019
19,20,16,8,50.0,8,50.0,19020
19,21,17,7,41.18,10,58.82,19021
19,22,48,26,54.17,22,45.83,19022
19,23,33,18,54.55,15,45.45,19023
19,24,24,12,50.0,12,50.0,19024
19,25,50,26,52.0,24,48.0,19025
19,26,75,38,50.67,37,49.33,19026
19,27,29,16,55.17,13,44.83,19027
19,29,26,14,53.85,12,46.15,19029
19,30,67,34,50.75,33,49.25,19030
19,31,61,32,52.46,29,47.54,19031
19,32,39,21,53.85,18,46.15,19032
19,33,41,22,53.66,19,46.34,19033
