ward,precinct,total,Michael P. McAuliffe,Michael P. McAuliffe Percent,precinct_id
29,24,1,1,100.0,29024
36,5,8,8,100.0,36005
36,7,20,20,100.0,36007
36,8,27,27,100.0,36008
36,9,26,26,100.0,36009
36,10,10,10,100.0,36010
36,11,16,16,100.0,36011
36,12,17,17,100.0,36012
36,13,16,16,100.0,36013
36,14,9,9,100.0,36014
36,15,19,19,100.0,36015
36,17,10,10,100.0,36017
36,18,20,20,100.0,36018
36,19,14,14,100.0,36019
36,20,19,19,100.0,36020
36,21,30,30,100.0,36021
36,25,15,15,100.0,36025
36,27,13,13,100.0,36027
36,28,15,15,100.0,36028
36,29,12,12,100.0,36029
36,30,31,31,100.0,36030
36,31,22,22,100.0,36031
36,32,15,15,100.0,36032
36,34,19,19,100.0,36034
36,35,15,15,100.0,36035
36,37,13,13,100.0,36037
36,38,11,11,100.0,36038
36,39,14,14,100.0,36039
36,40,17,17,100.0,36040
36,42,9,9,100.0,36042
36,46,18,18,100.0,36046
36,47,14,14,100.0,36047
36,48,15,15,100.0,36048
36,49,25,25,100.0,36049
36,50,15,15,100.0,36050
36,52,17,17,100.0,36052
36,53,0,0,0.0,36053
38,3,14,14,100.0,38003
38,38,23,23,100.0,38038
41,1,48,48,100.0,41001
41,2,60,60,100.0,41002
41,3,36,36,100.0,41003
41,4,38,38,100.0,41004
41,5,73,73,100.0,41005
41,6,56,56,100.0,41006
41,7,58,58,100.0,41007
41,8,41,41,100.0,41008
41,9,37,37,100.0,41009
41,11,48,48,100.0,41011
41,12,37,37,100.0,41012
41,13,11,11,100.0,41013
41,15,23,23,100.0,41015
41,16,49,49,100.0,41016
41,17,43,43,100.0,41017
41,18,42,42,100.0,41018
41,19,56,56,100.0,41019
41,20,75,75,100.0,41020
41,21,53,53,100.0,41021
41,22,27,27,100.0,41022
41,24,39,39,100.0,41024
41,30,35,35,100.0,41030
41,31,66,66,100.0,41031
41,33,66,66,100.0,41033
41,34,71,71,100.0,41034
41,35,39,39,100.0,41035
41,36,52,52,100.0,41036
41,37,88,88,100.0,41037
41,39,35,35,100.0,41039
41,40,34,34,100.0,41040
41,41,52,52,100.0,41041
41,42,76,76,100.0,41042
41,43,46,46,100.0,41043
41,44,48,48,100.0,41044
41,45,22,22,100.0,41045
41,46,29,29,100.0,41046
41,49,45,45,100.0,41049
41,50,42,42,100.0,41050
41,51,30,30,100.0,41051
41,52,51,51,100.0,41052
41,53,87,87,100.0,41053
41,55,80,80,100.0,41055
41,56,72,72,100.0,41056
41,57,51,51,100.0,41057
41,58,41,41,100.0,41058
41,60,43,43,100.0,41060
41,61,49,49,100.0,41061
41,62,27,27,100.0,41062
41,63,42,42,100.0,41063
41,64,49,49,100.0,41064
41,68,23,23,100.0,41068
