ward,precinct,total,Susan L. Kelsey,Susan L. Kelsey Percent,Robert S. Klich,Robert S. Klich Percent,precinct_id
39,1,20,13,65.0,7,35.0,39001
39,2,35,22,62.86,13,37.14,39002
39,3,26,18,69.23,8,30.77,39003
39,4,15,11,73.33,4,26.67,39004
39,5,16,10,62.5,6,37.5,39005
39,6,33,20,60.61,13,39.39,39006
39,7,8,2,25.0,6,75.0,39007
39,8,12,10,83.33,2,16.67,39008
39,9,13,7,53.85,6,46.15,39009
39,10,10,5,50.0,5,50.0,39010
39,11,15,8,53.33,7,46.67,39011
39,12,4,3,75.0,1,25.0,39012
39,13,2,1,50.0,1,50.0,39013
39,14,7,3,42.86,4,57.14,39014
39,15,20,11,55.0,9,45.0,39015
39,16,6,3,50.0,3,50.0,39016
39,17,4,1,25.0,3,75.0,39017
39,18,13,8,61.54,5,38.46,39018
39,19,6,6,100.0,0,0.0,39019
39,20,19,12,63.16,7,36.84,39020
39,21,7,6,85.71,1,14.29,39021
39,22,6,3,50.0,3,50.0,39022
39,23,8,5,62.5,3,37.5,39023
39,24,4,3,75.0,1,25.0,39024
39,25,20,13,65.0,7,35.0,39025
39,26,24,15,62.5,9,37.5,39026
39,27,21,11,52.38,10,47.62,39027
39,28,18,10,55.56,8,44.44,39028
39,29,14,6,42.86,8,57.14,39029
39,30,7,4,57.14,3,42.86,39030
39,31,11,6,54.55,5,45.45,39031
39,32,4,2,50.0,2,50.0,39032
39,33,18,12,66.67,6,33.33,39033
39,34,24,9,37.5,15,62.5,39034
39,35,25,14,56.0,11,44.0,39035
39,36,8,5,62.5,3,37.5,39036
39,37,31,22,70.97,9,29.03,39037
39,38,24,10,41.67,14,58.33,39038
39,39,3,2,66.67,1,33.33,39039
39,40,17,7,41.18,10,58.82,39040
39,41,5,4,80.0,1,20.0,39041
39,42,15,12,80.0,3,20.0,39042
39,43,29,21,72.41,8,27.59,39043
39,44,14,9,64.29,5,35.71,39044
39,45,11,5,45.45,6,54.55,39045
39,46,9,6,66.67,3,33.33,39046
39,47,12,6,50.0,6,50.0,39047
