ward,precinct,total,Tony Peraica (Bush),Tony Peraica (Bush) Percent,Mary Rob Clarke (Bush),Mary Rob Clarke (Bush) Percent,precinct_id
19,34,37,19,51.35,18,48.65,19034
19,35,23,12,52.17,11,47.83,19035
19,36,28,13,46.43,15,53.57,19036
19,37,32,16,50.0,16,50.0,19037
19,38,37,18,48.65,19,51.35,19038
19,39,6,3,50.0,3,50.0,19039
19,40,33,17,51.52,16,48.48,19040
19,41,44,22,50.0,22,50.0,19041
19,42,16,8,50.0,8,50.0,19042
19,44,18,10,55.56,8,44.44,19044
19,45,31,17,54.84,14,45.16,19045
19,46,32,16,50.0,16,50.0,19046
19,47,6,4,66.67,2,33.33,19047
19,49,29,14,48.28,15,51.72,19049
19,51,26,14,53.85,12,46.15,19051
19,52,30,16,53.33,14,46.67,19052
19,53,16,7,43.75,9,56.25,19053
19,54,41,20,48.78,21,51.22,19054
19,55,30,15,50.0,15,50.0,19055
19,56,41,21,51.22,20,48.78,19056
19,57,42,21,50.0,21,50.0,19057
19,58,51,26,50.98,25,49.02,19058
19,59,53,27,50.94,26,49.06,19059
19,61,19,9,47.37,10,52.63,19061
19,62,23,11,47.83,12,52.17,19062
19,63,8,4,50.0,4,50.0,19063
19,64,26,13,50.0,13,50.0,19064
19,65,15,8,53.33,7,46.67,19065
19,67,18,8,44.44,10,55.56,19067
20,41,0,0,0.0,0,0.0,20041
20,51,5,2,40.0,3,60.0,20051
23,1,29,15,51.72,14,48.28,23001
23,2,7,4,57.14,3,42.86,23002
23,3,39,20,51.28,19,48.72,23003
23,4,40,24,60.0,16,40.0,23004
23,5,31,16,51.61,15,48.39,23005
23,6,32,17,53.13,15,46.88,23006
23,7,0,0,0.0,0,0.0,23007
23,8,20,10,50.0,10,50.0,23008
23,10,17,9,52.94,8,47.06,23010
23,11,32,17,53.13,15,46.88,23011
23,12,25,13,52.0,12,48.0,23012
23,13,36,17,47.22,19,52.78,23013
23,14,0,0,0.0,0,0.0,23014
23,15,23,14,60.87,9,39.13,23015
23,16,24,13,54.17,11,45.83,23016
23,17,40,20,50.0,20,50.0,23017
23,18,20,10,50.0,10,50.0,23018
23,19,29,14,48.28,15,51.72,23019
23,20,18,9,50.0,9,50.0,23020
23,21,0,0,0.0,0,0.0,23021
23,22,18,11,61.11,7,38.89,23022
23,23,23,12,52.17,11,47.83,23023
23,25,19,10,52.63,9,47.37,23025
23,26,24,12,50.0,12,50.0,23026
23,27,29,16,55.17,13,44.83,23027
23,28,26,13,50.0,13,50.0,23028
23,30,14,7,50.0,7,50.0,23030
23,31,19,11,57.89,8,42.11,23031
23,32,27,15,55.56,12,44.44,23032
23,33,9,4,44.44,5,55.56,23033
23,34,18,10,55.56,8,44.44,23034
23,35,3,1,33.33,2,66.67,23035
23,36,35,19,54.29,16,45.71,23036
23,37,7,4,57.14,3,42.86,23037
23,38,15,7,46.67,8,53.33,23038
23,39,35,18,51.43,17,48.57,23039
23,40,39,21,53.85,18,46.15,23040
23,41,20,11,55.0,9,45.0,23041
23,42,13,8,61.54,5,38.46,23042
23,43,46,23,50.0,23,50.0,23043
23,44,17,8,47.06,9,52.94,23044
23,45,37,19,51.35,18,48.65,23045
23,46,16,8,50.0,8,50.0,23046
23,47,38,19,50.0,19,50.0,23047
23,48,13,6,46.15,7,53.85,23048
23,49,37,20,54.05,17,45.95,23049
23,50,17,9,52.94,8,47.06,23050
23,51,9,4,44.44,5,55.56,23051
23,52,20,11,55.0,9,45.0,23052
23,53,10,5,50.0,5,50.0,23053
23,54,47,25,53.19,22,46.81,23054
23,55,24,13,54.17,11,45.83,23055
23,56,41,22,53.66,19,46.34,23056
