ward,precinct,total,G. A. Finch (Bush),G. A. Finch (Bush) Percent,E. Suzanne Davis (Bush),E. Suzanne Davis (Bush) Percent,precinct_id
1,7,6,3,50.0,3,50.0,01007
1,28,0,0,0.0,0,0.0,01028
29,2,12,6,50.0,6,50.0,29002
29,9,10,5,50.0,5,50.0,29009
29,24,8,4,50.0,4,50.0,29024
29,32,6,3,50.0,3,50.0,29032
29,53,2,1,50.0,1,50.0,29053
29,54,19,10,52.63,9,47.37,29054
30,1,20,11,55.0,9,45.0,30001
30,2,14,7,50.0,7,50.0,30002
30,3,27,14,51.85,13,48.15,30003
30,7,16,8,50.0,8,50.0,30007
30,8,27,14,51.85,13,48.15,30008
30,9,11,5,45.45,6,54.55,30009
30,10,16,8,50.0,8,50.0,30010
30,11,7,4,57.14,3,42.86,30011
30,12,13,6,46.15,7,53.85,30012
30,13,22,9,40.91,13,59.09,30013
30,14,10,5,50.0,5,50.0,30014
30,15,22,10,45.45,12,54.55,30015
30,16,17,8,47.06,9,52.94,30016
30,17,1,1,100.0,0,0.0,30017
30,25,8,4,50.0,4,50.0,30025
30,28,11,5,45.45,6,54.55,30028
30,30,26,14,53.85,12,46.15,30030
30,34,5,2,40.0,3,60.0,30034
30,37,20,9,45.0,11,55.0,30037
30,38,24,11,45.83,13,54.17,30038
30,39,16,9,56.25,7,43.75,30039
30,40,20,10,50.0,10,50.0,30040
31,3,15,8,53.33,7,46.67,31003
31,8,11,6,54.55,5,45.45,31008
31,9,8,5,62.5,3,37.5,31009
31,15,9,5,55.56,4,44.44,31015
31,16,2,1,50.0,1,50.0,31016
31,19,14,7,50.0,7,50.0,31019
31,26,6,3,50.0,3,50.0,31026
31,28,2,1,50.0,1,50.0,31028
31,29,19,11,57.89,8,42.11,31029
31,32,10,5,50.0,5,50.0,31032
31,33,12,6,50.0,6,50.0,31033
31,35,2,1,50.0,1,50.0,31035
31,38,9,5,55.56,4,44.44,31038
31,41,6,3,50.0,3,50.0,31041
31,43,18,10,55.56,8,44.44,31043
31,45,11,4,36.36,7,63.64,31045
31,46,8,4,50.0,4,50.0,31046
31,47,9,6,66.67,3,33.33,31047
31,48,7,4,57.14,3,42.86,31048
31,50,23,9,39.13,14,60.87,31050
32,7,22,10,45.45,12,54.55,32007
32,8,61,29,47.54,32,52.46,32008
32,9,47,24,51.06,23,48.94,32009
32,10,20,9,45.0,11,55.0,32010
32,13,15,8,53.33,7,46.67,32013
32,15,23,11,47.83,12,52.17,32015
32,18,33,16,48.48,17,51.52,32018
32,19,22,11,50.0,11,50.0,32019
32,20,18,8,44.44,10,55.56,32020
32,21,25,12,48.0,13,52.0,32021
32,22,36,17,47.22,19,52.78,32022
32,23,45,22,48.89,23,51.11,32023
32,24,30,14,46.67,16,53.33,32024
32,25,14,7,50.0,7,50.0,32025
32,27,19,10,52.63,9,47.37,32027
32,30,22,11,50.0,11,50.0,32030
32,32,61,29,47.54,32,52.46,32032
32,37,14,7,50.0,7,50.0,32037
32,38,7,3,42.86,4,57.14,32038
32,39,40,21,52.5,19,47.5,32039
32,40,29,14,48.28,15,51.72,32040
32,41,46,23,50.0,23,50.0,32041
32,42,24,10,41.67,14,58.33,32042
32,43,60,30,50.0,30,50.0,32043
32,44,24,10,41.67,14,58.33,32044
32,45,12,6,50.0,6,50.0,32045
32,47,71,37,52.11,34,47.89,32047
32,48,53,26,49.06,27,50.94,32048
32,49,34,17,50.0,17,50.0,32049
32,50,13,6,46.15,7,53.85,32050
33,5,23,11,47.83,12,52.17,33005
33,7,5,3,60.0,2,40.0,33007
33,10,12,6,50.0,6,50.0,33010
33,14,10,5,50.0,5,50.0,33014
33,16,36,19,52.78,17,47.22,33016
33,18,11,5,45.45,6,54.55,33018
33,22,9,4,44.44,5,55.56,33022
33,23,27,12,44.44,15,55.56,33023
