ward,precinct,total,Kurt James Eckhardt,Kurt James Eckhardt Percent,precinct_id
48,1,14,14,100.0,48001
48,2,22,22,100.0,48002
48,3,18,18,100.0,48003
48,4,35,35,100.0,48004
48,5,24,24,100.0,48005
48,6,14,14,100.0,48006
48,7,6,6,100.0,48007
48,8,11,11,100.0,48008
48,9,14,14,100.0,48009
48,10,11,11,100.0,48010
48,11,9,9,100.0,48011
48,12,8,8,100.0,48012
48,13,9,9,100.0,48013
48,14,31,31,100.0,48014
48,15,5,5,100.0,48015
48,16,18,18,100.0,48016
48,17,8,8,100.0,48017
48,18,8,8,100.0,48018
48,19,5,5,100.0,48019
48,20,4,4,100.0,48020
48,21,3,3,100.0,48021
48,22,34,34,100.0,48022
48,23,25,25,100.0,48023
48,24,11,11,100.0,48024
48,25,6,6,100.0,48025
48,26,20,20,100.0,48026
48,27,12,12,100.0,48027
48,28,16,16,100.0,48028
48,29,17,17,100.0,48029
48,30,14,14,100.0,48030
48,31,9,9,100.0,48031
48,32,12,12,100.0,48032
48,33,12,12,100.0,48033
48,34,8,8,100.0,48034
48,35,10,10,100.0,48035
48,36,14,14,100.0,48036
48,37,9,9,100.0,48037
48,38,8,8,100.0,48038
48,39,16,16,100.0,48039
48,40,4,4,100.0,48040
48,41,11,11,100.0,48041
48,42,5,5,100.0,48042
48,43,10,10,100.0,48043
48,44,7,7,100.0,48044
48,45,10,10,100.0,48045
48,46,10,10,100.0,48046
48,47,8,8,100.0,48047
48,48,10,10,100.0,48048
48,49,5,5,100.0,48049
48,50,15,15,100.0,48050
48,51,6,6,100.0,48051
48,52,9,9,100.0,48052
48,53,14,14,100.0,48053
48,54,8,8,100.0,48054
48,55,7,7,100.0,48055
48,56,8,8,100.0,48056
