ward,precinct,total,Jamie Potash Curry (Bush),Jamie Potash Curry (Bush) Percent,Peter M. Friedman (Bush),Peter M. Friedman (Bush) Percent,precinct_id
1,1,2,1,50.0,1,50.0,01001
1,2,6,3,50.0,3,50.0,01002
1,3,13,7,53.85,6,46.15,01003
1,4,8,4,50.0,4,50.0,01004
1,5,8,5,62.5,3,37.5,01005
1,7,20,10,50.0,10,50.0,01007
1,8,11,6,54.55,5,45.45,01008
1,9,10,5,50.0,5,50.0,01009
1,10,16,8,50.0,8,50.0,01010
1,11,5,2,40.0,3,60.0,01011
1,12,18,8,44.44,10,55.56,01012
1,13,11,7,63.64,4,36.36,01013
1,14,8,4,50.0,4,50.0,01014
1,15,0,0,0.0,0,0.0,01015
1,16,2,1,50.0,1,50.0,01016
1,17,12,6,50.0,6,50.0,01017
1,18,4,2,50.0,2,50.0,01018
1,19,15,8,53.33,7,46.67,01019
1,20,16,7,43.75,9,56.25,01020
1,21,20,10,50.0,10,50.0,01021
1,22,14,7,50.0,7,50.0,01022
1,23,17,7,41.18,10,58.82,01023
1,24,11,6,54.55,5,45.45,01024
1,25,6,3,50.0,3,50.0,01025
1,26,15,8,53.33,7,46.67,01026
1,27,14,8,57.14,6,42.86,01027
1,28,4,3,75.0,1,25.0,01028
1,29,15,8,53.33,7,46.67,01029
1,30,21,11,52.38,10,47.62,01030
1,31,24,12,50.0,12,50.0,01031
1,32,12,6,50.0,6,50.0,01032
1,33,12,6,50.0,6,50.0,01033
1,34,2,1,50.0,1,50.0,01034
1,35,7,4,57.14,3,42.86,01035
1,36,31,16,51.61,15,48.39,01036
1,37,14,7,50.0,7,50.0,01037
1,38,2,1,50.0,1,50.0,01038
1,39,22,9,40.91,13,59.09,01039
1,40,7,4,57.14,3,42.86,01040
3,13,10,5,50.0,5,50.0,03013
11,3,9,5,55.56,4,44.44,11003
11,10,12,6,50.0,6,50.0,11010
11,18,4,2,50.0,2,50.0,11018
11,26,0,0,0.0,0,0.0,11026
12,1,6,4,66.67,2,33.33,12001
12,2,7,3,42.86,4,57.14,12002
12,3,5,2,40.0,3,60.0,12003
12,4,7,4,57.14,3,42.86,12004
12,5,18,8,44.44,10,55.56,12005
12,6,5,3,60.0,2,40.0,12006
12,7,0,0,0.0,0,0.0,12007
12,8,24,11,45.83,13,54.17,12008
12,9,2,1,50.0,1,50.0,12009
12,10,11,3,27.27,8,72.73,12010
12,11,6,3,50.0,3,50.0,12011
12,12,3,2,66.67,1,33.33,12012
12,13,8,4,50.0,4,50.0,12013
12,14,6,2,33.33,4,66.67,12014
12,15,6,2,33.33,4,66.67,12015
12,16,5,4,80.0,1,20.0,12016
12,17,3,1,33.33,2,66.67,12017
12,18,2,1,50.0,1,50.0,12018
12,19,8,5,62.5,3,37.5,12019
12,20,8,4,50.0,4,50.0,12020
12,21,8,4,50.0,4,50.0,12021
12,22,8,3,37.5,5,62.5,12022
12,23,10,5,50.0,5,50.0,12023
12,24,10,5,50.0,5,50.0,12024
12,25,5,2,40.0,3,60.0,12025
12,26,3,1,33.33,2,66.67,12026
12,27,14,7,50.0,7,50.0,12027
12,28,14,7,50.0,7,50.0,12028
12,29,20,10,50.0,10,50.0,12029
13,3,35,17,48.57,18,51.43,13003
14,1,13,8,61.54,5,38.46,14001
14,3,1,0,0.0,1,100.0,14003
14,4,15,7,46.67,8,53.33,14004
14,5,4,2,50.0,2,50.0,14005
14,6,10,5,50.0,5,50.0,14006
14,7,13,5,38.46,8,61.54,14007
14,8,6,3,50.0,3,50.0,14008
14,9,4,3,75.0,1,25.0,14009
14,10,26,13,50.0,13,50.0,14010
14,11,11,6,54.55,5,45.45,14011
14,12,16,8,50.0,8,50.0,14012
14,13,16,8,50.0,8,50.0,14013
