ward,precinct,total,George J. Preski,George J. Preski Percent,Carl Segvich,Carl Segvich Percent,precinct_id
11,1,13,9,69.23,4,30.77,11001
11,2,8,4,50.0,3,37.5,11002
11,3,6,0,0.0,5,83.33,11003
11,4,7,4,57.14,1,14.29,11004
11,5,8,3,37.5,5,62.5,11005
11,6,10,7,70.0,3,30.0,11006
11,7,13,5,38.46,5,38.46,11007
11,8,12,4,33.33,3,25.0,11008
11,9,4,3,75.0,0,0.0,11009
11,10,5,1,20.0,3,60.0,11010
11,11,12,5,41.67,6,50.0,11011
11,12,5,2,40.0,3,60.0,11012
11,13,8,7,87.5,1,12.5,11013
11,14,14,5,35.71,9,64.29,11014
11,15,10,6,60.0,3,30.0,11015
11,16,9,4,44.44,3,33.33,11016
11,17,15,9,60.0,4,26.67,11017
11,18,11,9,81.82,2,18.18,11018
11,19,10,7,70.0,3,30.0,11019
11,20,1,1,100.0,0,0.0,11020
11,21,6,3,50.0,3,50.0,11021
11,22,7,4,57.14,3,42.86,11022
11,23,0,0,0.0,0,0.0,11023
11,24,9,3,33.33,5,55.56,11024
11,25,8,5,62.5,2,25.0,11025
11,26,15,13,86.67,2,13.33,11026
11,27,19,5,26.32,14,73.68,11027
11,28,7,3,42.86,4,57.14,11028
11,29,14,12,85.71,1,7.14,11029
11,30,5,3,60.0,2,40.0,11030
11,31,8,0,0.0,8,100.0,11031
11,32,3,2,66.67,1,33.33,11032
11,33,4,1,25.0,1,25.0,11033
11,34,9,3,33.33,6,66.67,11034
11,35,9,5,55.56,3,33.33,11035
11,36,3,2,66.67,1,33.33,11036
11,37,13,3,23.08,1,7.69,11037
11,38,4,2,50.0,2,50.0,11038
11,39,9,4,44.44,4,44.44,11039
11,40,7,4,57.14,1,14.29,11040
11,41,9,4,44.44,3,33.33,11041
11,42,2,1,50.0,1,50.0,11042
11,43,11,6,54.55,1,9.09,11043
11,44,2,2,100.0,0,0.0,11044
11,45,5,1,20.0,4,80.0,11045
11,46,5,3,60.0,2,40.0,11046
11,47,6,2,33.33,3,50.0,11047
11,48,6,1,16.67,5,83.33,11048
11,49,4,1,25.0,3,75.0,11049
11,50,7,3,42.86,4,57.14,11050
