ward,precinct,total,Kevin J. Hacker,Kevin J. Hacker Percent,precinct_id
36,1,19,19,100.0,36001
36,2,8,8,100.0,36002
36,3,10,10,100.0,36003
36,4,7,7,100.0,36004
36,5,7,7,100.0,36005
36,6,16,16,100.0,36006
36,7,17,17,100.0,36007
36,8,9,9,100.0,36008
36,9,15,15,100.0,36009
36,10,2,2,100.0,36010
36,11,11,11,100.0,36011
36,12,14,14,100.0,36012
36,13,11,11,100.0,36013
36,14,9,9,100.0,36014
36,15,13,13,100.0,36015
36,16,7,7,100.0,36016
36,17,7,7,100.0,36017
36,18,18,18,100.0,36018
36,19,6,6,100.0,36019
36,20,18,18,100.0,36020
36,21,25,25,100.0,36021
36,22,14,14,100.0,36022
36,23,1,1,100.0,36023
36,24,5,5,100.0,36024
36,25,11,11,100.0,36025
36,26,27,27,100.0,36026
36,27,6,6,100.0,36027
36,28,14,14,100.0,36028
36,29,6,6,100.0,36029
36,30,21,21,100.0,36030
36,31,14,14,100.0,36031
36,32,10,10,100.0,36032
36,33,5,5,100.0,36033
36,34,14,14,100.0,36034
36,35,12,12,100.0,36035
36,36,13,13,100.0,36036
36,37,6,6,100.0,36037
36,38,9,9,100.0,36038
36,39,13,13,100.0,36039
36,40,12,12,100.0,36040
36,41,12,12,100.0,36041
36,42,6,6,100.0,36042
36,43,10,10,100.0,36043
36,44,4,4,100.0,36044
36,45,5,5,100.0,36045
36,46,13,13,100.0,36046
36,47,11,11,100.0,36047
36,48,10,10,100.0,36048
36,49,20,20,100.0,36049
36,50,15,15,100.0,36050
36,51,8,8,100.0,36051
36,52,13,13,100.0,36052
36,53,11,11,100.0,36053
36,54,6,6,100.0,36054
36,55,4,4,100.0,36055
