ward,precinct,total,Thomas M. Malesh,Thomas M. Malesh Percent,precinct_id
10,1,2,2,100.0,10001
10,2,5,5,100.0,10002
10,3,10,10,100.0,10003
10,4,3,3,100.0,10004
10,5,7,7,100.0,10005
10,6,1,1,100.0,10006
10,7,1,1,100.0,10007
10,8,11,11,100.0,10008
10,9,13,13,100.0,10009
10,10,36,36,100.0,10010
10,11,21,21,100.0,10011
10,12,15,15,100.0,10012
10,13,3,3,100.0,10013
10,14,17,17,100.0,10014
10,15,9,9,100.0,10015
10,16,4,4,100.0,10016
10,17,7,7,100.0,10017
10,18,0,0,0.0,10018
10,19,16,16,100.0,10019
10,20,10,10,100.0,10020
10,21,18,18,100.0,10021
10,22,1,1,100.0,10022
10,23,10,10,100.0,10023
10,24,12,12,100.0,10024
10,25,4,4,100.0,10025
10,26,7,7,100.0,10026
10,27,5,5,100.0,10027
10,28,2,2,100.0,10028
10,29,1,1,100.0,10029
10,30,4,4,100.0,10030
10,31,15,15,100.0,10031
10,32,19,19,100.0,10032
10,33,14,14,100.0,10033
10,34,6,6,100.0,10034
10,35,3,3,100.0,10035
10,36,3,3,100.0,10036
10,37,2,2,100.0,10037
10,38,16,16,100.0,10038
10,39,8,8,100.0,10039
10,40,2,2,100.0,10040
10,41,20,20,100.0,10041
10,42,13,13,100.0,10042
10,43,0,0,0.0,10043
10,44,6,6,100.0,10044
10,45,6,6,100.0,10045
10,46,10,10,100.0,10046
10,47,7,7,100.0,10047
10,48,0,0,0.0,10048
10,49,0,0,0.0,10049
