ward,precinct,total,Jaime Rivera,Jaime Rivera Percent,precinct_id
22,1,3,3,100.0,22001
22,2,1,1,100.0,22002
22,3,5,5,100.0,22003
22,4,3,3,100.0,22004
22,5,2,2,100.0,22005
22,6,2,2,100.0,22006
22,7,0,0,0.0,22007
22,8,1,1,100.0,22008
22,9,5,5,100.0,22009
22,10,6,6,100.0,22010
22,11,1,1,100.0,22011
22,12,1,1,100.0,22012
22,13,2,2,100.0,22013
22,14,2,2,100.0,22014
22,15,1,1,100.0,22015
22,16,5,5,100.0,22016
22,17,3,3,100.0,22017
22,18,3,3,100.0,22018
22,19,0,0,0.0,22019
22,20,6,6,100.0,22020
22,21,0,0,0.0,22021
22,22,0,0,0.0,22022
22,23,0,0,0.0,22023
22,24,1,1,100.0,22024
22,25,1,1,100.0,22025
22,26,3,3,100.0,22026
22,27,6,6,100.0,22027
22,28,3,3,100.0,22028
22,29,0,0,0.0,22029
22,30,2,2,100.0,22030
