ward,precinct,total,"Erma """"Jean"""" Kohn","Erma """"Jean"""" Kohn Percent",Randal D. Perry,Randal D. Perry Percent,Glenn L. Harris,Glenn L. Harris Percent,precinct_id
37,1,3,2,66.67,1,33.33,0,0.0,37001
37,2,8,3,37.5,3,37.5,2,25.0,37002
37,3,3,0,0.0,1,33.33,2,66.67,37003
37,4,2,0,0.0,1,50.0,1,50.0,37004
37,5,1,0,0.0,1,100.0,0,0.0,37005
37,6,2,1,50.0,0,0.0,1,50.0,37006
37,7,0,0,0.0,0,0.0,0,0.0,37007
37,8,2,0,0.0,2,100.0,0,0.0,37008
37,9,2,0,0.0,1,50.0,1,50.0,37009
37,10,3,0,0.0,3,100.0,0,0.0,37010
37,11,4,0,0.0,3,75.0,1,25.0,37011
37,12,3,0,0.0,2,66.67,1,33.33,37012
37,13,0,0,0.0,0,0.0,0,0.0,37013
37,14,1,1,100.0,0,0.0,0,0.0,37014
37,15,2,0,0.0,2,100.0,0,0.0,37015
37,16,2,1,50.0,1,50.0,0,0.0,37016
37,17,0,0,0.0,0,0.0,0,0.0,37017
37,18,3,0,0.0,0,0.0,3,100.0,37018
37,19,1,0,0.0,0,0.0,1,100.0,37019
37,20,1,1,100.0,0,0.0,0,0.0,37020
37,21,1,1,100.0,0,0.0,0,0.0,37021
37,22,2,0,0.0,2,100.0,0,0.0,37022
37,23,0,0,0.0,0,0.0,0,0.0,37023
37,24,1,0,0.0,0,0.0,1,100.0,37024
37,25,7,1,14.29,0,0.0,6,85.71,37025
37,26,9,2,22.22,7,77.78,0,0.0,37026
37,27,0,0,0.0,0,0.0,0,0.0,37027
37,28,0,0,0.0,0,0.0,0,0.0,37028
37,29,1,1,100.0,0,0.0,0,0.0,37029
37,30,3,0,0.0,0,0.0,3,100.0,37030
37,31,6,1,16.67,3,50.0,2,33.33,37031
37,32,0,0,0.0,0,0.0,0,0.0,37032
37,33,1,0,0.0,1,100.0,0,0.0,37033
37,34,0,0,0.0,0,0.0,0,0.0,37034
37,35,4,0,0.0,0,0.0,4,100.0,37035
37,36,2,2,100.0,0,0.0,0,0.0,37036
37,37,2,1,50.0,1,50.0,0,0.0,37037
37,38,1,0,0.0,1,100.0,0,0.0,37038
37,39,3,0,0.0,0,0.0,3,100.0,37039
37,40,0,0,0.0,0,0.0,0,0.0,37040
37,41,1,1,100.0,0,0.0,0,0.0,37041
37,42,0,0,0.0,0,0.0,0,0.0,37042
37,43,3,1,33.33,2,66.67,0,0.0,37043
37,44,7,2,28.57,1,14.29,4,57.14,37044
37,45,0,0,0.0,0,0.0,0,0.0,37045
37,46,4,0,0.0,1,25.0,3,75.0,37046
37,47,0,0,0.0,0,0.0,0,0.0,37047
37,48,0,0,0.0,0,0.0,0,0.0,37048
37,49,1,0,0.0,0,0.0,1,100.0,37049
37,50,9,2,22.22,2,22.22,5,55.56,37050
37,51,1,0,0.0,1,100.0,0,0.0,37051
37,52,1,0,0.0,1,100.0,0,0.0,37052
37,53,1,0,0.0,1,100.0,0,0.0,37053
37,54,1,0,0.0,0,0.0,1,100.0,37054
37,55,2,0,0.0,1,50.0,1,50.0,37055
37,56,1,0,0.0,0,0.0,1,100.0,37056
37,57,0,0,0.0,0,0.0,0,0.0,37057
37,58,5,1,20.0,3,60.0,1,20.0,37058
