ward,precinct,total,Edwin A. Burke,Edwin A. Burke Percent,precinct_id
47,1,11,11,100.0,47001
47,2,7,7,100.0,47002
47,3,10,10,100.0,47003
47,4,10,10,100.0,47004
47,5,13,13,100.0,47005
47,6,6,6,100.0,47006
47,7,12,12,100.0,47007
47,8,15,15,100.0,47008
47,9,7,7,100.0,47009
47,10,8,8,100.0,47010
47,11,10,10,100.0,47011
47,12,15,15,100.0,47012
47,13,12,12,100.0,47013
47,14,7,7,100.0,47014
47,15,2,2,100.0,47015
47,16,7,7,100.0,47016
47,17,11,11,100.0,47017
47,18,16,16,100.0,47018
47,19,11,11,100.0,47019
47,20,10,10,100.0,47020
47,21,19,19,100.0,47021
47,22,12,12,100.0,47022
47,23,4,4,100.0,47023
47,24,11,11,100.0,47024
47,25,11,11,100.0,47025
47,26,19,19,100.0,47026
47,27,11,11,100.0,47027
47,28,8,8,100.0,47028
47,29,16,16,100.0,47029
47,30,19,19,100.0,47030
47,31,4,4,100.0,47031
47,32,7,7,100.0,47032
47,33,3,3,100.0,47033
47,34,7,7,100.0,47034
47,35,13,13,100.0,47035
47,36,9,9,100.0,47036
47,37,22,22,100.0,47037
47,38,8,8,100.0,47038
47,39,12,12,100.0,47039
47,40,11,11,100.0,47040
47,41,21,21,100.0,47041
47,42,5,5,100.0,47042
47,43,11,11,100.0,47043
47,44,16,16,100.0,47044
47,45,16,16,100.0,47045
47,46,12,12,100.0,47046
47,47,20,20,100.0,47047
47,48,0,0,0.0,47048
47,49,10,10,100.0,47049
47,50,15,15,100.0,47050
47,51,2,2,100.0,47051
