ward,precinct,total,Danny Carbol,Danny Carbol Percent,Malvina R. Hazard,Malvina R. Hazard Percent,James Parrilli,James Parrilli Percent,precinct_id
19,1,13,6,46.15,2,15.38,5,38.46,19001
19,2,9,3,33.33,4,44.44,2,22.22,19002
19,3,20,11,55.0,5,25.0,4,20.0,19003
19,4,15,6,40.0,2,13.33,7,46.67,19004
19,5,9,4,44.44,2,22.22,3,33.33,19005
19,6,22,9,40.91,5,22.73,8,36.36,19006
19,7,14,7,50.0,5,35.71,2,14.29,19007
19,8,13,7,53.85,1,7.69,5,38.46,19008
19,9,17,13,76.47,2,11.76,2,11.76,19009
19,10,20,6,30.0,6,30.0,8,40.0,19010
19,11,15,5,33.33,5,33.33,5,33.33,19011
19,12,20,10,50.0,0,0.0,10,50.0,19012
19,13,7,4,57.14,2,28.57,1,14.29,19013
19,14,15,5,33.33,8,53.33,2,13.33,19014
19,15,9,2,22.22,2,22.22,5,55.56,19015
19,16,14,6,42.86,4,28.57,4,28.57,19016
19,17,16,9,56.25,1,6.25,6,37.5,19017
19,18,21,6,28.57,3,14.29,12,57.14,19018
19,19,15,6,40.0,6,40.0,3,20.0,19019
19,20,7,2,28.57,3,42.86,2,28.57,19020
19,21,8,4,50.0,1,12.5,3,37.5,19021
19,22,26,7,26.92,9,34.62,10,38.46,19022
19,23,18,7,38.89,2,11.11,9,50.0,19023
19,24,15,3,20.0,2,13.33,10,66.67,19024
19,25,29,7,24.14,8,27.59,14,48.28,19025
19,26,39,8,20.51,9,23.08,22,56.41,19026
19,27,14,1,7.14,9,64.29,4,28.57,19027
19,28,9,3,33.33,3,33.33,3,33.33,19028
19,29,13,5,38.46,4,30.77,4,30.77,19029
19,30,36,15,41.67,7,19.44,14,38.89,19030
19,31,31,10,32.26,7,22.58,14,45.16,19031
19,32,22,9,40.91,2,9.09,11,50.0,19032
19,33,22,17,77.27,1,4.55,4,18.18,19033
19,34,20,7,35.0,4,20.0,9,45.0,19034
19,35,14,6,42.86,4,28.57,4,28.57,19035
19,36,16,9,56.25,3,18.75,4,25.0,19036
19,37,17,9,52.94,4,23.53,4,23.53,19037
19,38,21,4,19.05,8,38.1,9,42.86,19038
19,39,5,0,0.0,4,80.0,1,20.0,19039
19,40,18,8,44.44,5,27.78,5,27.78,19040
19,41,22,10,45.45,2,9.09,10,45.45,19041
19,42,8,2,25.0,4,50.0,2,25.0,19042
19,43,3,1,33.33,2,66.67,0,0.0,19043
19,44,12,8,66.67,0,0.0,4,33.33,19044
19,45,21,7,33.33,3,14.29,11,52.38,19045
19,46,19,9,47.37,3,15.79,7,36.84,19046
19,47,4,2,50.0,1,25.0,1,25.0,19047
19,48,1,1,100.0,0,0.0,0,0.0,19048
19,49,24,3,12.5,15,62.5,6,25.0,19049
19,50,0,0,0.0,0,0.0,0,0.0,19050
19,51,15,5,33.33,4,26.67,6,40.0,19051
19,52,18,9,50.0,0,0.0,9,50.0,19052
19,53,12,3,25.0,4,33.33,5,41.67,19053
19,54,22,4,18.18,6,27.27,12,54.55,19054
19,55,17,5,29.41,2,11.76,10,58.82,19055
19,56,21,2,9.52,7,33.33,12,57.14,19056
19,57,22,6,27.27,9,40.91,7,31.82,19057
19,58,27,8,29.63,10,37.04,9,33.33,19058
19,59,31,16,51.61,4,12.9,11,35.48,19059
19,60,2,1,50.0,1,50.0,0,0.0,19060
19,61,10,4,40.0,4,40.0,2,20.0,19061
19,62,13,5,38.46,3,23.08,5,38.46,19062
19,63,4,0,0.0,1,25.0,3,75.0,19063
19,64,15,5,33.33,6,40.0,4,26.67,19064
19,65,8,0,0.0,4,50.0,4,50.0,19065
19,66,0,0,0.0,0,0.0,0,0.0,19066
19,67,12,7,58.33,3,25.0,2,16.67,19067
