ward,precinct,total,Jeffrey P. Malinowski,Jeffrey P. Malinowski Percent,precinct_id
13,1,13,13,100.0,13001
13,2,3,3,100.0,13002
13,4,10,10,100.0,13004
13,5,2,2,100.0,13005
13,6,15,15,100.0,13006
13,7,6,6,100.0,13007
13,8,11,11,100.0,13008
13,9,9,9,100.0,13009
13,10,6,6,100.0,13010
13,11,3,3,100.0,13011
13,12,3,3,100.0,13012
13,13,11,11,100.0,13013
13,14,6,6,100.0,13014
13,15,10,10,100.0,13015
13,16,8,8,100.0,13016
13,17,14,14,100.0,13017
13,21,5,5,100.0,13021
13,22,7,7,100.0,13022
13,23,8,8,100.0,13023
13,24,4,4,100.0,13024
13,25,10,10,100.0,13025
13,27,12,12,100.0,13027
13,28,4,4,100.0,13028
13,29,8,8,100.0,13029
13,32,9,9,100.0,13032
13,33,4,4,100.0,13033
13,34,8,8,100.0,13034
13,35,10,10,100.0,13035
13,36,4,4,100.0,13036
13,37,5,5,100.0,13037
13,38,13,13,100.0,13038
13,39,7,7,100.0,13039
13,40,10,10,100.0,13040
13,41,6,6,100.0,13041
13,42,9,9,100.0,13042
13,43,2,2,100.0,13043
13,44,1,1,100.0,13044
13,45,13,13,100.0,13045
13,46,6,6,100.0,13046
13,48,8,8,100.0,13048
13,49,9,9,100.0,13049
13,50,7,7,100.0,13050
13,51,11,11,100.0,13051
13,52,11,11,100.0,13052
13,53,15,15,100.0,13053
13,54,7,7,100.0,13054
23,1,16,16,100.0,23001
23,2,4,4,100.0,23002
23,3,18,18,100.0,23003
23,4,23,23,100.0,23004
23,7,0,0,0.0,23007
23,8,15,15,100.0,23008
23,11,19,19,100.0,23011
23,12,15,15,100.0,23012
23,13,19,19,100.0,23013
23,14,0,0,0.0,23014
23,15,14,14,100.0,23015
23,16,13,13,100.0,23016
23,17,23,23,100.0,23017
23,18,12,12,100.0,23018
23,19,15,15,100.0,23019
23,20,12,12,100.0,23020
23,21,0,0,0.0,23021
23,22,10,10,100.0,23022
23,23,17,17,100.0,23023
23,26,16,16,100.0,23026
23,27,15,15,100.0,23027
23,28,13,13,100.0,23028
23,30,7,7,100.0,23030
23,34,10,10,100.0,23034
23,35,1,1,100.0,23035
23,36,21,21,100.0,23036
23,37,4,4,100.0,23037
23,38,8,8,100.0,23038
23,39,20,20,100.0,23039
23,40,20,20,100.0,23040
23,42,10,10,100.0,23042
23,43,24,24,100.0,23043
23,44,9,9,100.0,23044
23,45,22,22,100.0,23045
23,46,8,8,100.0,23046
23,47,22,22,100.0,23047
23,48,8,8,100.0,23048
23,49,21,21,100.0,23049
23,52,10,10,100.0,23052
23,54,26,26,100.0,23054
23,55,15,15,100.0,23055
23,56,21,21,100.0,23056
