ward,precinct,total,Eloise Gerson (Bush),Eloise Gerson (Bush) Percent,Carol Smith Donovan (Bush),Carol Smith Donovan (Bush) Percent,precinct_id
24,27,0,0,0.0,0,0.0,24027
24,28,3,1,33.33,2,66.67,24028
24,29,4,2,50.0,2,50.0,24029
24,30,5,3,60.0,2,40.0,24030
24,31,2,1,50.0,1,50.0,24031
24,32,3,1,33.33,2,66.67,24032
24,33,2,1,50.0,1,50.0,24033
24,34,2,1,50.0,1,50.0,24034
24,35,0,0,0.0,0,0.0,24035
24,36,0,0,0.0,0,0.0,24036
24,37,1,0,0.0,1,100.0,24037
24,38,0,0,0.0,0,0.0,24038
24,39,0,0,0.0,0,0.0,24039
24,40,5,2,40.0,3,60.0,24040
24,41,0,0,0.0,0,0.0,24041
24,42,0,0,0.0,0,0.0,24042
24,43,0,0,0.0,0,0.0,24043
24,44,1,1,100.0,0,0.0,24044
24,45,0,0,0.0,0,0.0,24045
24,46,0,0,0.0,0,0.0,24046
24,47,2,1,50.0,1,50.0,24047
24,48,0,0,0.0,0,0.0,24048
24,49,0,0,0.0,0,0.0,24049
24,50,5,1,20.0,4,80.0,24050
24,51,6,3,50.0,3,50.0,24051
24,52,0,0,0.0,0,0.0,24052
24,53,0,0,0.0,0,0.0,24053
24,54,1,0,0.0,1,100.0,24054
24,55,0,0,0.0,0,0.0,24055
24,56,0,0,0.0,0,0.0,24056
24,58,2,1,50.0,1,50.0,24058
24,59,0,0,0.0,0,0.0,24059
25,3,8,4,50.0,4,50.0,25003
25,4,17,9,52.94,8,47.06,25004
25,5,0,0,0.0,0,0.0,25005
25,6,0,0,0.0,0,0.0,25006
25,8,0,0,0.0,0,0.0,25008
25,10,1,1,100.0,0,0.0,25010
25,14,14,6,42.86,8,57.14,25014
25,16,12,7,58.33,5,41.67,25016
25,18,8,4,50.0,4,50.0,25018
25,21,15,7,46.67,8,53.33,25021
25,25,22,11,50.0,11,50.0,25025
25,26,11,6,54.55,5,45.45,25026
25,27,28,14,50.0,14,50.0,25027
25,28,24,12,50.0,12,50.0,25028
25,29,10,5,50.0,5,50.0,25029
26,17,38,18,47.37,20,52.63,26017
26,28,0,0,0.0,0,0.0,26028
26,33,44,24,54.55,20,45.45,26033
26,46,17,8,47.06,9,52.94,26046
27,1,26,14,53.85,12,46.15,27001
27,2,0,0,0.0,0,0.0,27002
27,3,1,0,0.0,1,100.0,27003
27,4,7,4,57.14,3,42.86,27004
27,5,12,6,50.0,6,50.0,27005
27,6,0,0,0.0,0,0.0,27006
27,7,36,17,47.22,19,52.78,27007
27,8,4,2,50.0,2,50.0,27008
27,9,2,1,50.0,1,50.0,27009
27,10,3,1,33.33,2,66.67,27010
27,11,0,0,0.0,0,0.0,27011
27,12,26,12,46.15,14,53.85,27012
27,13,8,4,50.0,4,50.0,27013
27,14,0,0,0.0,0,0.0,27014
27,15,3,1,33.33,2,66.67,27015
27,16,22,11,50.0,11,50.0,27016
27,17,15,8,53.33,7,46.67,27017
27,18,10,5,50.0,5,50.0,27018
27,19,3,2,66.67,1,33.33,27019
27,20,2,1,50.0,1,50.0,27020
27,21,0,0,0.0,0,0.0,27021
27,22,0,0,0.0,0,0.0,27022
27,23,3,2,66.67,1,33.33,27023
27,24,2,1,50.0,1,50.0,27024
27,25,0,0,0.0,0,0.0,27025
27,26,5,3,60.0,2,40.0,27026
27,27,5,3,60.0,2,40.0,27027
27,28,31,16,51.61,15,48.39,27028
27,29,5,3,60.0,2,40.0,27029
27,30,2,1,50.0,1,50.0,27030
27,31,0,0,0.0,0,0.0,27031
27,33,6,3,50.0,3,50.0,27033
27,34,0,0,0.0,0,0.0,27034
27,36,5,2,40.0,3,60.0,27036
27,37,6,3,50.0,3,50.0,27037
27,39,0,0,0.0,0,0.0,27039
27,40,0,0,0.0,0,0.0,27040
27,41,2,0,0.0,2,100.0,27041
27,42,21,11,52.38,10,47.62,27042
27,43,0,0,0.0,0,0.0,27043
27,44,0,0,0.0,0,0.0,27044
27,45,1,0,0.0,1,100.0,27045
27,46,8,4,50.0,4,50.0,27046
27,47,0,0,0.0,0,0.0,27047
27,48,1,1,100.0,0,0.0,27048
27,49,2,1,50.0,1,50.0,27049
27,50,36,19,52.78,17,47.22,27050
27,51,0,0,0.0,0,0.0,27051
27,52,2,1,50.0,1,50.0,27052
27,53,6,3,50.0,3,50.0,27053
27,54,38,19,50.0,19,50.0,27054
27,55,4,2,50.0,2,50.0,27055
27,57,19,9,47.37,10,52.63,27057
27,58,30,17,56.67,13,43.33,27058
27,60,0,0,0.0,0,0.0,27060
27,61,0,0,0.0,0,0.0,27061
27,62,4,2,50.0,2,50.0,27062
27,63,0,0,0.0,0,0.0,27063
27,64,1,1,100.0,0,0.0,27064
27,65,1,1,100.0,0,0.0,27065
27,66,2,1,50.0,1,50.0,27066
28,1,2,1,50.0,1,50.0,28001
28,2,2,1,50.0,1,50.0,28002
28,3,3,1,33.33,2,66.67,28003
28,4,2,1,50.0,1,50.0,28004
28,5,0,0,0.0,0,0.0,28005
28,6,0,0,0.0,0,0.0,28006
28,7,0,0,0.0,0,0.0,28007
28,8,0,0,0.0,0,0.0,28008
28,9,0,0,0.0,0,0.0,28009
28,10,0,0,0.0,0,0.0,28010
28,11,0,0,0.0,0,0.0,28011
28,12,0,0,0.0,0,0.0,28012
28,13,6,3,50.0,3,50.0,28013
28,14,0,0,0.0,0,0.0,28014
28,15,0,0,0.0,0,0.0,28015
28,16,0,0,0.0,0,0.0,28016
28,17,1,1,100.0,0,0.0,28017
28,18,2,1,50.0,1,50.0,28018
28,19,0,0,0.0,0,0.0,28019
28,20,2,1,50.0,1,50.0,28020
28,21,0,0,0.0,0,0.0,28021
28,22,0,0,0.0,0,0.0,28022
28,23,0,0,0.0,0,0.0,28023
28,24,0,0,0.0,0,0.0,28024
28,25,4,2,50.0,2,50.0,28025
28,26,0,0,0.0,0,0.0,28026
28,27,2,1,50.0,1,50.0,28027
28,28,2,1,50.0,1,50.0,28028
28,30,2,1,50.0,1,50.0,28030
28,31,2,1,50.0,1,50.0,28031
28,32,2,1,50.0,1,50.0,28032
28,33,0,0,0.0,0,0.0,28033
28,35,1,1,100.0,0,0.0,28035
28,36,0,0,0.0,0,0.0,28036
28,37,0,0,0.0,0,0.0,28037
28,39,4,2,50.0,2,50.0,28039
28,40,2,1,50.0,1,50.0,28040
28,41,0,0,0.0,0,0.0,28041
28,42,0,0,0.0,0,0.0,28042
28,43,2,1,50.0,1,50.0,28043
28,44,2,1,50.0,1,50.0,28044
28,45,0,0,0.0,0,0.0,28045
28,46,0,0,0.0,0,0.0,28046
28,47,0,0,0.0,0,0.0,28047
28,48,0,0,0.0,0,0.0,28048
28,49,0,0,0.0,0,0.0,28049
28,50,2,1,50.0,1,50.0,28050
28,51,1,0,0.0,1,100.0,28051
28,52,0,0,0.0,0,0.0,28052
28,53,0,0,0.0,0,0.0,28053
28,54,1,0,0.0,1,100.0,28054
28,55,0,0,0.0,0,0.0,28055
28,56,0,0,0.0,0,0.0,28056
28,57,1,0,0.0,1,100.0,28057
28,58,2,1,50.0,1,50.0,28058
28,59,0,0,0.0,0,0.0,28059
28,60,3,1,33.33,2,66.67,28060
28,61,0,0,0.0,0,0.0,28061
28,62,0,0,0.0,0,0.0,28062
28,63,0,0,0.0,0,0.0,28063
28,64,0,0,0.0,0,0.0,28064
28,65,0,0,0.0,0,0.0,28065
28,66,0,0,0.0,0,0.0,28066
28,67,0,0,0.0,0,0.0,28067
28,68,0,0,0.0,0,0.0,28068
28,69,0,0,0.0,0,0.0,28069
28,70,0,0,0.0,0,0.0,28070
28,71,10,4,40.0,6,60.0,28071
28,72,4,2,50.0,2,50.0,28072
28,73,4,2,50.0,2,50.0,28073
29,1,4,2,50.0,2,50.0,29001
29,3,0,0,0.0,0,0.0,29003
29,4,0,0,0.0,0,0.0,29004
29,5,1,1,100.0,0,0.0,29005
29,8,2,1,50.0,1,50.0,29008
29,10,0,0,0.0,0,0.0,29010
29,11,4,2,50.0,2,50.0,29011
29,12,6,3,50.0,3,50.0,29012
29,13,6,3,50.0,3,50.0,29013
29,14,4,2,50.0,2,50.0,29014
29,15,0,0,0.0,0,0.0,29015
29,16,1,1,100.0,0,0.0,29016
29,17,0,0,0.0,0,0.0,29017
29,18,0,0,0.0,0,0.0,29018
29,19,2,1,50.0,1,50.0,29019
29,20,0,0,0.0,0,0.0,29020
29,21,2,2,100.0,0,0.0,29021
29,22,27,12,44.44,15,55.56,29022
29,23,0,0,0.0,0,0.0,29023
29,25,0,0,0.0,0,0.0,29025
29,26,4,2,50.0,2,50.0,29026
29,27,0,0,0.0,0,0.0,29027
29,28,4,1,25.0,3,75.0,29028
29,29,6,3,50.0,3,50.0,29029
29,31,0,0,0.0,0,0.0,29031
29,33,0,0,0.0,0,0.0,29033
29,34,16,8,50.0,8,50.0,29034
29,35,0,0,0.0,0,0.0,29035
29,36,1,0,0.0,1,100.0,29036
29,37,2,1,50.0,1,50.0,29037
29,38,0,0,0.0,0,0.0,29038
29,40,0,0,0.0,0,0.0,29040
29,41,0,0,0.0,0,0.0,29041
29,42,0,0,0.0,0,0.0,29042
29,43,0,0,0.0,0,0.0,29043
29,44,14,6,42.86,8,57.14,29044
29,45,3,1,33.33,2,66.67,29045
29,46,0,0,0.0,0,0.0,29046
29,47,10,5,50.0,5,50.0,29047
29,48,0,0,0.0,0,0.0,29048
29,49,0,0,0.0,0,0.0,29049
29,50,1,0,0.0,1,100.0,29050
29,51,7,3,42.86,4,57.14,29051
32,1,21,11,52.38,10,47.62,32001
32,6,22,10,45.45,12,54.55,32006
32,12,0,0,0.0,0,0.0,32012
32,17,13,6,46.15,7,53.85,32017
32,26,11,7,63.64,4,36.36,32026
32,46,0,0,0.0,0,0.0,32046
32,50,64,31,48.44,33,51.56,32050
32,51,46,23,50.0,23,50.0,32051
36,23,4,2,50.0,2,50.0,36023
36,24,18,8,44.44,10,55.56,36024
36,44,7,2,28.57,5,71.43,36044
36,54,12,6,50.0,6,50.0,36054
37,2,8,5,62.5,3,37.5,37002
37,3,3,1,33.33,2,66.67,37003
37,4,2,1,50.0,1,50.0,37004
37,5,2,1,50.0,1,50.0,37005
37,6,1,0,0.0,1,100.0,37006
37,7,0,0,0.0,0,0.0,37007
37,8,1,0,0.0,1,100.0,37008
37,9,3,1,33.33,2,66.67,37009
37,10,2,1,50.0,1,50.0,37010
37,12,4,1,25.0,3,75.0,37012
37,13,0,0,0.0,0,0.0,37013
37,14,2,1,50.0,1,50.0,37014
37,15,4,2,50.0,2,50.0,37015
37,16,3,1,33.33,2,66.67,37016
37,17,0,0,0.0,0,0.0,37017
37,18,0,0,0.0,0,0.0,37018
37,19,2,1,50.0,1,50.0,37019
37,20,1,1,100.0,0,0.0,37020
37,21,3,1,33.33,2,66.67,37021
37,22,0,0,0.0,0,0.0,37022
37,23,0,0,0.0,0,0.0,37023
37,24,2,1,50.0,1,50.0,37024
37,25,6,3,50.0,3,50.0,37025
37,26,7,4,57.14,3,42.86,37026
37,27,2,1,50.0,1,50.0,37027
37,28,0,0,0.0,0,0.0,37028
37,29,1,0,0.0,1,100.0,37029
37,30,7,3,42.86,4,57.14,37030
37,31,5,2,40.0,3,60.0,37031
37,32,0,0,0.0,0,0.0,37032
37,33,1,0,0.0,1,100.0,37033
37,34,0,0,0.0,0,0.0,37034
37,35,8,4,50.0,4,50.0,37035
37,36,2,1,50.0,1,50.0,37036
37,37,0,0,0.0,0,0.0,37037
37,38,2,1,50.0,1,50.0,37038
37,40,0,0,0.0,0,0.0,37040
37,41,2,1,50.0,1,50.0,37041
37,42,0,0,0.0,0,0.0,37042
37,43,4,1,25.0,3,75.0,37043
37,44,12,7,58.33,5,41.67,37044
37,45,0,0,0.0,0,0.0,37045
37,46,6,3,50.0,3,50.0,37046
37,48,0,0,0.0,0,0.0,37048
37,49,4,2,50.0,2,50.0,37049
37,51,1,1,100.0,0,0.0,37051
37,53,2,1,50.0,1,50.0,37053
37,54,1,0,0.0,1,100.0,37054
37,55,2,1,50.0,1,50.0,37055
37,56,2,1,50.0,1,50.0,37056
37,57,0,0,0.0,0,0.0,37057
37,58,4,2,50.0,2,50.0,37058
42,1,64,33,51.56,31,48.44,42001
42,2,44,23,52.27,21,47.73,42002
42,3,40,20,50.0,20,50.0,42003
42,4,68,36,52.94,32,47.06,42004
42,5,72,37,51.39,35,48.61,42005
42,6,104,51,49.04,53,50.96,42006
42,7,52,25,48.08,27,51.92,42007
42,8,64,32,50.0,32,50.0,42008
42,9,71,35,49.3,36,50.7,42009
42,10,39,19,48.72,20,51.28,42010
42,11,76,36,47.37,40,52.63,42011
42,12,38,17,44.74,21,55.26,42012
42,13,112,57,50.89,55,49.11,42013
42,14,58,29,50.0,29,50.0,42014
42,15,67,34,50.75,33,49.25,42015
42,16,46,22,47.83,24,52.17,42016
42,17,35,18,51.43,17,48.57,42017
42,18,47,23,48.94,24,51.06,42018
42,19,10,5,50.0,5,50.0,42019
42,20,43,22,51.16,21,48.84,42020
42,21,31,15,48.39,16,51.61,42021
42,22,45,22,48.89,23,51.11,42022
42,23,87,43,49.43,44,50.57,42023
42,24,65,32,49.23,33,50.77,42024
42,25,68,33,48.53,35,51.47,42025
42,26,28,14,50.0,14,50.0,42026
42,27,73,34,46.58,39,53.42,42027
42,28,70,35,50.0,35,50.0,42028
42,29,84,44,52.38,40,47.62,42029
42,30,43,21,48.84,22,51.16,42030
42,31,41,19,46.34,22,53.66,42031
42,32,57,29,50.88,28,49.12,42032
42,33,70,34,48.57,36,51.43,42033
42,34,47,22,46.81,25,53.19,42034
42,35,31,16,51.61,15,48.39,42035
42,36,65,32,49.23,33,50.77,42036
42,37,57,28,49.12,29,50.88,42037
42,38,68,32,47.06,36,52.94,42038
42,39,33,17,51.52,16,48.48,42039
42,40,36,18,50.0,18,50.0,42040
42,41,91,46,50.55,45,49.45,42041
42,42,29,14,48.28,15,51.72,42042
42,43,124,61,49.19,63,50.81,42043
42,44,72,35,48.61,37,51.39,42044
42,45,29,14,48.28,15,51.72,42045
42,46,14,7,50.0,7,50.0,42046
42,47,43,22,51.16,21,48.84,42047
42,48,60,29,48.33,31,51.67,42048
42,49,31,16,51.61,15,48.39,42049
42,50,68,34,50.0,34,50.0,42050
42,51,60,30,50.0,30,50.0,42051
42,52,26,13,50.0,13,50.0,42052
42,53,69,36,52.17,33,47.83,42053
42,54,37,18,48.65,19,51.35,42054
42,55,93,46,49.46,47,50.54,42055
42,56,37,20,54.05,17,45.95,42056
42,57,22,11,50.0,11,50.0,42057
42,58,11,5,45.45,6,54.55,42058
42,59,16,8,50.0,8,50.0,42059
42,60,15,8,53.33,7,46.67,42060
42,61,61,31,50.82,30,49.18,42061
42,62,51,25,49.02,26,50.98,42062
42,63,84,45,53.57,39,46.43,42063
42,64,31,16,51.61,15,48.39,42064
42,65,54,26,48.15,28,51.85,42065
42,66,27,13,48.15,14,51.85,42066
42,67,32,16,50.0,16,50.0,42067
42,68,71,36,50.7,35,49.3,42068
42,69,55,26,47.27,29,52.73,42069
43,1,24,12,50.0,12,50.0,43001
43,3,30,15,50.0,15,50.0,43003
43,4,61,30,49.18,31,50.82,43004
43,5,36,17,47.22,19,52.78,43005
43,9,22,11,50.0,11,50.0,43009
43,10,22,11,50.0,11,50.0,43010
43,11,22,10,45.45,12,54.55,43011
43,13,24,11,45.83,13,54.17,43013
43,15,55,29,52.73,26,47.27,43015
43,16,54,26,48.15,28,51.85,43016
43,18,98,50,51.02,48,48.98,43018
43,21,4,2,50.0,2,50.0,43021
43,23,14,7,50.0,7,50.0,43023
43,24,53,26,49.06,27,50.94,43024
43,25,27,14,51.85,13,48.15,43025
43,26,71,36,50.7,35,49.3,43026
43,28,31,15,48.39,16,51.61,43028
43,30,23,11,47.83,12,52.17,43030
43,36,74,35,47.3,39,52.7,43036
43,37,54,27,50.0,27,50.0,43037
43,40,25,12,48.0,13,52.0,43040
43,41,6,3,50.0,3,50.0,43041
43,42,47,24,51.06,23,48.94,43042
43,46,56,28,50.0,28,50.0,43046
43,47,49,24,48.98,25,51.02,43047
43,49,47,22,46.81,25,53.19,43049
43,51,49,24,48.98,25,51.02,43051
43,52,77,38,49.35,39,50.65,43052
43,54,35,18,51.43,17,48.57,43054
43,55,27,12,44.44,15,55.56,43055
43,60,22,11,50.0,11,50.0,43060
43,61,14,7,50.0,7,50.0,43061
43,62,62,31,50.0,31,50.0,43062
43,63,24,12,50.0,12,50.0,43063
43,64,43,21,48.84,22,51.16,43064
43,65,35,17,48.57,18,51.43,43065
43,66,13,6,46.15,7,53.85,43066
43,67,57,29,50.88,28,49.12,43067
