ward,precinct,total,Don Beachem Jr.,Don Beachem Jr. Percent,Bobbie Johnson,Bobbie Johnson Percent,precinct_id
3,1,1,0,0.0,1,100.0,03001
3,2,0,0,0.0,0,0.0,03002
3,3,5,3,60.0,2,40.0,03003
3,4,0,0,0.0,0,0.0,03004
3,5,4,3,75.0,1,25.0,03005
3,6,0,0,0.0,0,0.0,03006
3,7,6,2,33.33,4,66.67,03007
3,8,0,0,0.0,0,0.0,03008
3,9,3,2,66.67,1,33.33,03009
3,10,0,0,0.0,0,0.0,03010
3,11,1,1,100.0,0,0.0,03011
3,12,5,1,20.0,4,80.0,03012
3,13,5,4,80.0,1,20.0,03013
3,14,0,0,0.0,0,0.0,03014
3,15,1,1,100.0,0,0.0,03015
3,16,2,1,50.0,1,50.0,03016
3,17,0,0,0.0,0,0.0,03017
3,18,0,0,0.0,0,0.0,03018
3,19,4,0,0.0,4,100.0,03019
3,20,1,0,0.0,1,100.0,03020
3,21,0,0,0.0,0,0.0,03021
3,22,0,0,0.0,0,0.0,03022
3,23,0,0,0.0,0,0.0,03023
3,24,2,0,0.0,2,100.0,03024
3,25,1,1,100.0,0,0.0,03025
3,26,2,0,0.0,2,100.0,03026
3,27,0,0,0.0,0,0.0,03027
3,28,2,2,100.0,0,0.0,03028
3,29,1,0,0.0,1,100.0,03029
3,30,0,0,0.0,0,0.0,03030
3,31,2,1,50.0,1,50.0,03031
3,32,2,1,50.0,1,50.0,03032
3,33,2,0,0.0,2,100.0,03033
3,34,0,0,0.0,0,0.0,03034
3,35,0,0,0.0,0,0.0,03035
3,36,0,0,0.0,0,0.0,03036
3,37,2,1,50.0,1,50.0,03037
3,38,0,0,0.0,0,0.0,03038
3,39,2,1,50.0,1,50.0,03039
3,40,2,1,50.0,1,50.0,03040
3,41,3,3,100.0,0,0.0,03041
3,42,0,0,0.0,0,0.0,03042
3,43,2,0,0.0,2,100.0,03043
3,44,0,0,0.0,0,0.0,03044
3,45,0,0,0.0,0,0.0,03045
3,46,2,0,0.0,2,100.0,03046
3,47,4,0,0.0,4,100.0,03047
3,48,1,0,0.0,1,100.0,03048
3,49,0,0,0.0,0,0.0,03049
3,50,0,0,0.0,0,0.0,03050
3,51,0,0,0.0,0,0.0,03051
3,52,0,0,0.0,0,0.0,03052
3,53,2,2,100.0,0,0.0,03053
3,54,5,5,100.0,0,0.0,03054
3,55,0,0,0.0,0,0.0,03055
3,56,1,0,0.0,1,100.0,03056
3,57,8,7,87.5,1,12.5,03057
3,58,8,8,100.0,0,0.0,03058
3,59,17,17,100.0,0,0.0,03059
3,60,0,0,0.0,0,0.0,03060
3,61,4,0,0.0,4,100.0,03061
3,62,2,1,50.0,1,50.0,03062
3,63,6,4,66.67,2,33.33,03063
