ward,precinct,total,Ambrosio Medrano,Ambrosio Medrano Percent,precinct_id
25,1,12,12,100.0,25001
25,2,14,14,100.0,25002
25,3,3,3,100.0,25003
25,4,7,7,100.0,25004
25,5,5,5,100.0,25005
25,6,7,7,100.0,25006
25,7,5,5,100.0,25007
25,8,1,1,100.0,25008
25,9,7,7,100.0,25009
25,10,2,2,100.0,25010
25,11,10,10,100.0,25011
25,12,6,6,100.0,25012
25,13,7,7,100.0,25013
25,14,6,6,100.0,25014
25,15,4,4,100.0,25015
25,16,5,5,100.0,25016
25,17,11,11,100.0,25017
25,18,6,6,100.0,25018
25,19,4,4,100.0,25019
25,20,3,3,100.0,25020
25,21,5,5,100.0,25021
25,22,9,9,100.0,25022
25,23,4,4,100.0,25023
25,24,7,7,100.0,25024
25,25,8,8,100.0,25025
25,26,7,7,100.0,25026
25,27,12,12,100.0,25027
25,28,11,11,100.0,25028
25,29,5,5,100.0,25029
25,30,3,3,100.0,25030
25,31,5,5,100.0,25031
