ward,precinct,total,Frankie M. Nelson-Owens,Frankie M. Nelson-Owens Percent,precinct_id
9,1,2,2,100.0,09001
9,2,10,10,100.0,09002
9,3,1,1,100.0,09003
9,4,0,0,0.0,09004
9,5,0,0,0.0,09005
9,6,0,0,0.0,09006
9,7,0,0,0.0,09007
9,8,1,1,100.0,09008
9,9,2,2,100.0,09009
9,10,4,4,100.0,09010
9,11,1,1,100.0,09011
9,12,1,1,100.0,09012
9,13,2,2,100.0,09013
9,14,0,0,0.0,09014
9,15,0,0,0.0,09015
9,16,0,0,0.0,09016
9,17,0,0,0.0,09017
9,18,0,0,0.0,09018
9,19,1,1,100.0,09019
9,20,0,0,0.0,09020
9,21,0,0,0.0,09021
9,22,1,1,100.0,09022
9,23,1,1,100.0,09023
9,24,3,3,100.0,09024
9,25,0,0,0.0,09025
9,26,0,0,0.0,09026
9,27,0,0,0.0,09027
9,28,1,1,100.0,09028
9,29,1,1,100.0,09029
9,30,1,1,100.0,09030
9,31,2,2,100.0,09031
9,32,1,1,100.0,09032
9,33,0,0,0.0,09033
9,34,1,1,100.0,09034
9,35,0,0,0.0,09035
9,36,1,1,100.0,09036
9,37,8,8,100.0,09037
9,38,1,1,100.0,09038
9,39,0,0,0.0,09039
9,40,1,1,100.0,09040
9,41,3,3,100.0,09041
9,42,3,3,100.0,09042
9,43,1,1,100.0,09043
9,44,0,0,0.0,09044
9,45,0,0,0.0,09045
9,46,2,2,100.0,09046
9,47,2,2,100.0,09047
9,48,3,3,100.0,09048
9,49,0,0,0.0,09049
9,50,0,0,0.0,09050
9,51,1,1,100.0,09051
9,52,2,2,100.0,09052
9,53,0,0,0.0,09053
9,54,1,1,100.0,09054
9,55,5,5,100.0,09055
9,56,0,0,0.0,09056
9,57,10,10,100.0,09057
9,58,0,0,0.0,09058
