ward,precinct,total,Harold B. Smith (Bush),Harold B. Smith (Bush) Percent,Brian G. Doherty (Bush),Brian G. Doherty (Bush) Percent,precinct_id
40,3,10,5,50.0,5,50.0,40003
40,4,27,13,48.15,14,51.85,40004
40,7,14,7,50.0,7,50.0,40007
40,8,13,7,53.85,6,46.15,40008
40,9,13,7,53.85,6,46.15,40009
40,11,14,6,42.86,8,57.14,40011
40,12,14,7,50.0,7,50.0,40012
40,13,16,8,50.0,8,50.0,40013
40,16,17,11,64.71,6,35.29,40016
40,18,11,6,54.55,5,45.45,40018
40,22,1,1,100.0,0,0.0,40022
40,26,15,8,53.33,7,46.67,40026
40,27,18,9,50.0,9,50.0,40027
40,28,27,14,51.85,13,48.15,40028
40,33,20,10,50.0,10,50.0,40033
40,35,27,13,48.15,14,51.85,40035
40,37,8,4,50.0,4,50.0,40037
40,39,26,13,50.0,13,50.0,40039
40,41,17,9,52.94,8,47.06,40041
40,42,23,12,52.17,11,47.83,40042
40,43,13,7,53.85,6,46.15,40043
40,46,20,9,45.0,11,55.0,40046
40,47,8,4,50.0,4,50.0,40047
41,1,88,40,45.45,48,54.55,41001
41,2,106,46,43.4,60,56.6,41002
41,4,56,24,42.86,32,57.14,41004
41,5,119,48,40.34,71,59.66,41005
41,6,94,37,39.36,57,60.64,41006
41,7,89,38,42.7,51,57.3,41007
41,8,72,32,44.44,40,55.56,41008
41,11,72,29,40.28,43,59.72,41011
41,13,42,18,42.86,24,57.14,41013
41,15,36,14,38.89,22,61.11,41015
41,17,74,32,43.24,42,56.76,41017
41,18,62,26,41.94,36,58.06,41018
41,20,124,56,45.16,68,54.84,41020
41,25,18,8,44.44,10,55.56,41025
41,26,42,17,40.48,25,59.52,41026
41,27,24,10,41.67,14,58.33,41027
41,28,41,18,43.9,23,56.1,41028
41,29,27,13,48.15,14,51.85,41029
41,31,109,43,39.45,66,60.55,41031
41,32,58,27,46.55,31,53.45,41032
41,33,103,41,39.81,62,60.19,41033
41,34,125,53,42.4,72,57.6,41034
41,36,91,39,42.86,52,57.14,41036
41,37,149,63,42.28,86,57.72,41037
41,38,55,25,45.45,30,54.55,41038
41,39,60,25,41.67,35,58.33,41039
41,40,58,27,46.55,31,53.45,41040
41,41,83,33,39.76,50,60.24,41041
41,42,117,46,39.32,71,60.68,41042
41,44,84,38,45.24,46,54.76,41044
41,45,37,15,40.54,22,59.46,41045
41,48,43,19,44.19,24,55.81,41048
41,49,77,35,45.45,42,54.55,41049
41,52,91,40,43.96,51,56.04,41052
41,53,152,64,42.11,88,57.89,41053
41,55,136,49,36.03,87,63.97,41055
41,56,115,43,37.39,72,62.61,41056
41,58,62,27,43.55,35,56.45,41058
41,60,69,30,43.48,39,56.52,41060
41,61,76,30,39.47,46,60.53,41061
41,63,71,30,42.25,41,57.75,41063
41,64,90,43,47.78,47,52.22,41064
44,3,33,16,48.48,17,51.52,44003
44,4,57,29,50.88,28,49.12,44004
44,7,59,30,50.85,29,49.15,44007
44,18,0,0,0.0,0,0.0,44018
44,35,29,14,48.28,15,51.72,44035
44,48,36,17,47.22,19,52.78,44048
44,49,90,46,51.11,44,48.89,44049
46,1,85,43,50.59,42,49.41,46001
46,2,9,5,55.56,4,44.44,46002
46,4,39,20,51.28,19,48.72,46004
46,6,8,4,50.0,4,50.0,46006
46,7,37,18,48.65,19,51.35,46007
46,8,20,11,55.0,9,45.0,46008
46,9,47,23,48.94,24,51.06,46009
46,10,18,9,50.0,9,50.0,46010
46,11,24,12,50.0,12,50.0,46011
46,12,34,17,50.0,17,50.0,46012
46,14,4,2,50.0,2,50.0,46014
46,15,44,23,52.27,21,47.73,46015
46,16,8,4,50.0,4,50.0,46016
46,19,13,8,61.54,5,38.46,46019
46,20,18,11,61.11,7,38.89,46020
46,21,9,5,55.56,4,44.44,46021
46,22,38,18,47.37,20,52.63,46022
46,23,16,10,62.5,6,37.5,46023
46,25,17,8,47.06,9,52.94,46025
46,26,14,7,50.0,7,50.0,46026
46,27,31,14,45.16,17,54.84,46027
46,28,38,19,50.0,19,50.0,46028
46,30,38,19,50.0,19,50.0,46030
46,32,33,16,48.48,17,51.52,46032
46,33,23,12,52.17,11,47.83,46033
46,34,22,11,50.0,11,50.0,46034
46,35,41,23,56.1,18,43.9,46035
46,38,15,8,53.33,7,46.67,46038
46,39,19,9,47.37,10,52.63,46039
46,40,13,6,46.15,7,53.85,46040
