ward,precinct,registered,ballots,turnout,precinct_id
1,1,848,8,0.94,01001
1,2,949,5,0.53,01002
1,3,554,8,1.44,01003
1,4,659,4,0.61,01004
1,5,737,6,0.81,01005
1,6,512,10,1.95,01006
1,7,904,22,2.43,01007
1,8,631,11,1.74,01008
1,9,529,9,1.7,01009
1,10,538,11,2.04,01010
1,11,922,6,0.65,01011
1,12,468,12,2.56,01012
1,13,564,10,1.77,01013
1,14,845,10,1.18,01014
1,15,636,0,0.0,01015
1,16,422,1,0.24,01016
1,17,825,8,0.97,01017
1,18,446,3,0.67,01018
1,19,739,12,1.62,01019
1,20,534,17,3.18,01020
1,21,870,11,1.26,01021
1,22,747,10,1.34,01022
1,23,902,14,1.55,01023
1,24,724,8,1.1,01024
1,25,635,5,0.79,01025
1,26,881,11,1.25,01026
1,27,898,13,1.45,01027
1,28,794,8,1.01,01028
1,29,575,12,2.09,01029
1,30,727,16,2.2,01030
1,31,605,15,2.48,01031
1,32,739,7,0.95,01032
1,33,861,7,0.81,01033
1,34,584,2,0.34,01034
1,35,334,7,2.1,01035
1,36,904,16,1.77,01036
1,37,919,12,1.31,01037
1,38,449,2,0.45,01038
1,39,922,14,1.52,01039
1,40,289,5,1.73,01040
2,1,785,22,2.8,02001
2,2,25,0,0.0,02002
2,3,563,14,2.49,02003
2,4,484,3,0.62,02004
2,5,283,9,3.18,02005
2,6,534,18,3.37,02006
2,7,516,0,0.0,02007
2,8,554,31,5.6,02008
2,9,290,0,0.0,02009
2,10,215,0,0.0,02010
2,11,262,20,7.63,02011
2,12,584,35,5.99,02012
2,13,495,6,1.21,02013
2,14,578,5,0.87,02014
2,15,261,0,0.0,02015
2,16,659,9,1.37,02016
2,17,645,0,0.0,02017
2,18,1042,41,3.93,02018
2,19,456,0,0.0,02019
2,20,467,5,1.07,02020
2,21,480,6,1.25,02021
2,22,717,22,3.07,02022
2,23,332,1,0.3,02023
2,24,320,3,0.94,02024
2,25,237,3,1.27,02025
2,26,679,15,2.21,02026
2,27,433,1,0.23,02027
2,28,403,10,2.48,02028
2,29,270,8,2.96,02029
2,30,469,4,0.85,02030
2,31,475,2,0.42,02031
2,32,379,2,0.53,02032
2,33,477,1,0.21,02033
2,34,515,0,0.0,02034
2,35,374,13,3.48,02035
2,36,263,0,0.0,02036
2,37,511,23,4.5,02037
2,38,561,7,1.25,02038
2,39,571,6,1.05,02039
2,40,585,6,1.03,02040
2,41,397,0,0.0,02041
2,42,208,1,0.48,02042
2,43,584,33,5.65,02043
2,44,295,0,0.0,02044
2,45,736,0,0.0,02045
2,46,597,4,0.67,02046
2,47,430,2,0.47,02047
2,48,405,2,0.49,02048
2,49,666,16,2.4,02049
2,50,423,8,1.89,02050
2,51,533,4,0.75,02051
2,52,692,1,0.14,02052
2,53,305,0,0.0,02053
2,54,502,25,4.98,02054
2,55,117,5,4.27,02055
2,56,516,3,0.58,02056
2,57,210,0,0.0,02057
2,58,301,3,1.0,02058
2,59,420,27,6.43,02059
3,1,326,1,0.31,03001
3,2,377,0,0.0,03002
3,3,328,7,2.13,03003
3,4,78,1,1.28,03004
3,5,282,6,2.13,03005
3,6,680,0,0.0,03006
3,7,401,7,1.75,03007
3,8,205,0,0.0,03008
3,9,329,4,1.22,03009
3,10,300,0,0.0,03010
3,11,220,1,0.45,03011
3,12,500,6,1.2,03012
3,13,507,6,1.18,03013
3,14,241,1,0.41,03014
3,15,552,1,0.18,03015
3,16,742,3,0.4,03016
3,17,293,0,0.0,03017
3,18,290,0,0.0,03018
3,19,65,4,6.15,03019
3,20,170,1,0.59,03020
3,21,292,0,0.0,03021
3,22,331,0,0.0,03022
3,23,0,0,0.0,03023
3,24,306,2,0.65,03024
3,25,16,1,6.25,03025
3,26,260,2,0.77,03026
3,27,0,0,0.0,03027
3,28,547,2,0.37,03028
3,29,521,1,0.19,03029
3,30,440,0,0.0,03030
3,31,652,3,0.46,03031
3,32,314,3,0.96,03032
