ward,precinct,total,Percy V. Coleman,Percy V. Coleman Percent,precinct_id
34,1,0,0,0.0,34001
34,2,0,0,0.0,34002
34,3,3,3,100.0,34003
34,4,4,4,100.0,34004
34,5,2,2,100.0,34005
34,6,1,1,100.0,34006
34,7,2,2,100.0,34007
34,8,2,2,100.0,34008
34,9,3,3,100.0,34009
34,10,2,2,100.0,34010
34,11,2,2,100.0,34011
34,12,1,1,100.0,34012
34,13,0,0,0.0,34013
34,14,0,0,0.0,34014
34,15,0,0,0.0,34015
34,16,0,0,0.0,34016
34,17,1,1,100.0,34017
34,18,0,0,0.0,34018
34,19,1,1,100.0,34019
34,20,2,2,100.0,34020
34,21,1,1,100.0,34021
34,22,1,1,100.0,34022
34,23,2,2,100.0,34023
34,24,2,2,100.0,34024
34,25,0,0,0.0,34025
34,26,0,0,0.0,34026
34,27,1,1,100.0,34027
34,28,0,0,0.0,34028
34,29,2,2,100.0,34029
34,30,2,2,100.0,34030
34,31,1,1,100.0,34031
34,32,2,2,100.0,34032
34,33,1,1,100.0,34033
34,34,0,0,0.0,34034
34,35,3,3,100.0,34035
34,36,2,2,100.0,34036
34,37,0,0,0.0,34037
34,38,1,1,100.0,34038
34,39,1,1,100.0,34039
34,40,1,1,100.0,34040
34,41,0,0,0.0,34041
34,42,1,1,100.0,34042
34,43,1,1,100.0,34043
34,44,3,3,100.0,34044
34,45,3,3,100.0,34045
34,46,0,0,0.0,34046
34,47,0,0,0.0,34047
34,48,1,1,100.0,34048
34,49,3,3,100.0,34049
34,50,3,3,100.0,34050
34,51,4,4,100.0,34051
34,52,1,1,100.0,34052
34,53,0,0,0.0,34053
34,54,1,1,100.0,34054
34,55,1,1,100.0,34055
34,56,3,3,100.0,34056
34,57,1,1,100.0,34057
34,58,1,1,100.0,34058
34,59,0,0,0.0,34059
34,60,3,3,100.0,34060
34,61,1,1,100.0,34061
34,62,0,0,0.0,34062
34,63,0,0,0.0,34063
34,64,0,0,0.0,34064
34,65,0,0,0.0,34065
34,66,0,0,0.0,34066
34,67,3,3,100.0,34067
34,68,0,0,0.0,34068
34,69,1,1,100.0,34069
34,70,2,2,100.0,34070
34,71,1,1,100.0,34071
34,72,1,1,100.0,34072
34,73,0,0,0.0,34073
