ward,precinct,total,ROBIN LEE MEYER,ROBIN LEE MEYER Percent,EARLEAN COLLINS,EARLEAN COLLINS Percent,precinct_id
1,2,303,62,20.46,241,79.54,01002
1,3,220,38,17.27,182,82.73,01003
1,4,215,36,16.74,179,83.26,01004
1,5,241,54,22.41,187,77.59,01005
1,6,171,51,29.82,120,70.18,01006
1,8,222,35,15.77,187,84.23,01008
1,10,189,47,24.87,142,75.13,01010
1,11,158,31,19.62,127,80.38,01011
1,17,254,57,22.44,197,77.56,01017
1,21,346,103,29.77,243,70.23,01021
1,23,147,36,24.49,111,75.51,01023
1,25,189,29,15.34,160,84.66,01025
1,26,258,46,17.83,212,82.17,01026
1,36,253,72,28.46,181,71.54,01036
1,37,256,54,21.09,202,78.91,01037
2,3,159,21,13.21,138,86.79,02003
2,5,126,3,2.38,123,97.62,02005
2,6,19,18,94.74,1,5.26,02006
2,16,96,82,85.42,14,14.58,02016
2,23,139,5,3.6,134,96.4,02023
2,24,130,4,3.08,126,96.92,02024
2,45,184,4,2.17,180,97.83,02045
2,52,229,5,2.18,224,97.82,02052
2,53,109,7,6.42,102,93.58,02053
2,57,110,6,5.45,104,94.55,02057
24,55,112,4,3.57,108,96.43,24055
24,59,120,9,7.5,111,92.5,24059
26,46,88,21,23.86,67,76.14,26046
27,2,193,8,4.15,185,95.85,27002
27,3,229,3,1.31,226,98.69,27003
27,4,126,19,15.08,107,84.92,27004
27,7,194,58,29.9,136,70.1,27007
27,8,116,6,5.17,110,94.83,27008
27,10,347,5,1.44,342,98.56,27010
27,11,126,4,3.17,122,96.83,27011
27,15,142,15,10.56,127,89.44,27015
27,17,82,27,32.93,55,67.07,27017
27,18,86,28,32.56,58,67.44,27018
27,19,223,4,1.79,219,98.21,27019
27,22,193,4,2.07,189,97.93,27022
27,23,75,2,2.67,73,97.33,27023
27,24,210,2,0.95,208,99.05,27024
27,25,159,5,3.14,154,96.86,27025
27,26,182,0,0.0,182,100.0,27026
27,27,30,16,53.33,14,46.67,27027
27,29,192,7,3.65,185,96.35,27029
27,30,141,5,3.55,136,96.45,27030
27,31,203,0,0.0,203,100.0,27031
27,33,188,13,6.91,175,93.09,27033
