ward,precinct,total,GREGORY HEAD,GREGORY HEAD Percent,MONIQUE D. DAVIS,MONIQUE D. DAVIS Percent,precinct_id
9,10,290,4,1.38,286,98.62,09010
9,20,331,6,1.81,325,98.19,09020
9,21,225,2,0.89,223,99.11,09021
9,27,181,6,3.31,175,96.69,09027
9,51,216,4,1.85,212,98.15,09051
19,13,295,22,7.46,273,92.54,19013
19,20,299,55,18.39,244,81.61,19020
19,27,242,53,21.9,189,78.1,19027
19,28,432,32,7.41,400,92.59,19028
19,31,340,125,36.76,215,63.24,19031
19,40,331,89,26.89,242,73.11,19040
19,42,284,53,18.66,231,81.34,19042
19,43,373,15,4.02,358,95.98,19043
19,48,276,4,1.45,272,98.55,19048
19,49,413,59,14.29,354,85.71,19049
19,50,365,8,2.19,357,97.81,19050
19,60,315,10,3.17,305,96.83,19060
19,63,236,44,18.64,192,81.36,19063
19,64,413,74,17.92,339,82.08,19064
19,66,328,7,2.13,321,97.87,19066
19,67,83,35,42.17,48,57.83,19067
21,1,411,7,1.7,404,98.3,21001
21,3,444,10,2.25,434,97.75,21003
21,4,377,6,1.59,371,98.41,21004
21,5,305,8,2.62,297,97.38,21005
21,6,295,5,1.69,290,98.31,21006
21,7,325,5,1.54,320,98.46,21007
21,8,322,4,1.24,318,98.76,21008
21,9,299,4,1.34,295,98.66,21009
21,10,206,2,0.97,204,99.03,21010
21,11,312,2,0.64,310,99.36,21011
21,12,329,6,1.82,323,98.18,21012
21,13,152,3,1.97,149,98.03,21013
21,14,278,2,0.72,276,99.28,21014
21,18,296,6,2.03,290,97.97,21018
21,19,259,3,1.16,256,98.84,21019
21,20,148,3,2.03,145,97.97,21020
21,21,323,10,3.1,313,96.9,21021
21,22,342,10,2.92,332,97.08,21022
21,24,307,1,0.33,306,99.67,21024
21,27,334,7,2.1,327,97.9,21027
21,28,228,2,0.88,226,99.12,21028
21,31,393,9,2.29,384,97.71,21031
21,33,311,9,2.89,302,97.11,21033
21,38,289,4,1.38,285,98.62,21038
21,40,284,3,1.06,281,98.94,21040
21,42,299,9,3.01,290,96.99,21042
21,44,284,0,0.0,284,100.0,21044
21,45,248,7,2.82,241,97.18,21045
21,47,369,6,1.63,363,98.37,21047
21,49,367,12,3.27,355,96.73,21049
21,50,300,9,3.0,291,97.0,21050
21,51,339,9,2.65,330,97.35,21051
21,53,181,7,3.87,174,96.13,21053
21,54,269,7,2.6,262,97.4,21054
21,56,209,2,0.96,207,99.04,21056
21,58,213,3,1.41,210,98.59,21058
21,59,364,6,1.65,358,98.35,21059
21,60,281,9,3.2,272,96.8,21060
21,61,329,4,1.22,325,98.78,21061
21,63,282,3,1.06,279,98.94,21063
21,66,238,5,2.1,233,97.9,21066
21,68,303,8,2.64,295,97.36,21068
34,1,368,4,1.09,364,98.91,34001
34,7,363,3,0.83,360,99.17,34007
34,8,324,3,0.93,321,99.07,34008
34,12,285,5,1.75,280,98.25,34012
34,13,267,6,2.25,261,97.75,34013
34,21,340,3,0.88,337,99.12,34021
34,25,180,2,1.11,178,98.89,34025
34,29,368,10,2.72,358,97.28,34029
34,32,325,6,1.85,319,98.15,34032
34,33,155,1,0.65,154,99.35,34033
34,34,285,0,0.0,285,100.0,34034
34,44,411,7,1.7,404,98.3,34044
34,45,347,3,0.86,344,99.14,34045
34,46,206,2,0.97,204,99.03,34046
34,47,158,2,1.27,156,98.73,34047
34,48,292,5,1.71,287,98.29,34048
34,49,346,3,0.87,343,99.13,34049
34,51,432,7,1.62,425,98.38,34051
34,62,345,6,1.74,339,98.26,34062
34,64,73,0,0.0,73,100.0,34064
34,66,297,4,1.35,293,98.65,34066
34,67,226,4,1.77,222,98.23,34067
34,68,163,3,1.84,160,98.16,34068
34,69,201,2,1.0,199,99.0,34069
34,70,275,4,1.45,271,98.55,34070
34,71,254,8,3.15,246,96.85,34071
34,72,221,5,2.26,216,97.74,34072
34,73,208,2,0.96,206,99.04,34073
