ward,precinct,total,JOHN A. FRITCHEY,JOHN A. FRITCHEY Percent,JOHN E. YACKLEY,JOHN E. YACKLEY Percent,precinct_id
1,7,19,15,78.95,4,21.05,01007
1,28,73,64,87.67,9,12.33,01028
32,7,211,174,82.46,37,17.54,32007
32,8,366,309,84.43,57,15.57,32008
32,9,416,371,89.18,45,10.82,32009
32,10,275,240,87.27,35,12.73,32010
32,13,130,117,90.0,13,10.0,32013
32,15,235,196,83.4,39,16.6,32015
32,16,277,236,85.2,41,14.8,32016
32,18,259,211,81.47,48,18.53,32018
32,19,253,232,91.7,21,8.3,32019
32,20,274,242,88.32,32,11.68,32020
32,21,264,243,92.05,21,7.95,32021
32,22,350,310,88.57,40,11.43,32022
32,23,300,258,86.0,42,14.0,32023
32,24,248,220,88.71,28,11.29,32024
32,25,237,203,85.65,34,14.35,32025
32,27,238,206,86.55,32,13.45,32027
32,28,215,182,84.65,33,15.35,32028
32,29,0,0,0.0,0,0.0,32029
32,30,225,201,89.33,24,10.67,32030
32,32,291,239,82.13,52,17.87,32032
32,34,69,52,75.36,17,24.64,32034
32,37,240,215,89.58,25,10.42,32037
32,38,289,249,86.16,40,13.84,32038
32,39,358,312,87.15,46,12.85,32039
32,40,325,282,86.77,43,13.23,32040
32,41,332,295,88.86,37,11.14,32041
32,42,340,304,89.41,36,10.59,32042
32,43,319,271,84.95,48,15.05,32043
32,44,173,154,89.02,19,10.98,32044
32,45,242,214,88.43,28,11.57,32045
32,47,286,250,87.41,36,12.59,32047
32,48,385,326,84.68,59,15.32,32048
32,49,197,167,84.77,30,15.23,32049
32,50,317,245,77.29,72,22.71,32050
33,7,287,268,93.38,19,6.62,33007
33,8,324,296,91.36,28,8.64,33008
33,10,387,372,96.12,15,3.88,33010
33,16,94,86,91.49,8,8.51,33016
33,24,275,260,94.55,15,5.45,33024
33,28,288,263,91.32,25,8.68,33028
40,5,113,98,86.73,15,13.27,40005
40,6,207,185,89.37,22,10.63,40006
40,20,154,131,85.06,23,14.94,40020
43,2,268,224,83.58,44,16.42,43002
43,6,231,192,83.12,39,16.88,43006
43,7,154,133,86.36,21,13.64,43007
43,20,270,233,86.3,37,13.7,43020
43,21,166,137,82.53,29,17.47,43021
43,22,173,138,79.77,35,20.23,43022
43,29,247,199,80.57,48,19.43,43029
43,31,212,173,81.6,39,18.4,43031
43,35,276,232,84.06,44,15.94,43035
43,39,195,159,81.54,36,18.46,43039
43,41,177,147,83.05,30,16.95,43041
43,50,200,169,84.5,31,15.5,43050
43,56,176,150,85.23,26,14.77,43056
43,57,235,183,77.87,52,22.13,43057
44,9,476,393,82.56,83,17.44,44009
44,11,354,292,82.49,62,17.51,44011
44,13,205,183,89.27,22,10.73,44013
44,16,309,271,87.7,38,12.3,44016
44,25,294,242,82.31,52,17.69,44025
44,27,350,295,84.29,55,15.71,44027
44,40,295,250,84.75,45,15.25,44040
44,43,308,265,86.04,43,13.96,44043
44,47,391,331,84.65,60,15.35,44047
47,1,309,273,88.35,36,11.65,47001
47,2,283,255,90.11,28,9.89,47002
47,3,273,232,84.98,41,15.02,47003
47,4,350,315,90.0,35,10.0,47004
47,6,363,331,91.18,32,8.82,47006
47,7,303,274,90.43,29,9.57,47007
47,8,424,381,89.86,43,10.14,47008
47,9,202,191,94.55,11,5.45,47009
47,12,294,262,89.12,32,10.88,47012
47,13,451,409,90.69,42,9.31,47013
47,14,216,195,90.28,21,9.72,47014
47,15,344,317,92.15,27,7.85,47015
47,16,302,265,87.75,37,12.25,47016
47,17,284,260,91.55,24,8.45,47017
47,18,348,316,90.8,32,9.2,47018
47,21,337,301,89.32,36,10.68,47021
47,24,308,270,87.66,38,12.34,47024
47,25,354,310,87.57,44,12.43,47025
47,27,298,261,87.58,37,12.42,47027
47,29,322,281,87.27,41,12.73,47029
47,35,438,386,88.13,52,11.87,47035
47,40,268,230,85.82,38,14.18,47040
47,42,243,215,88.48,28,11.52,47042
47,43,211,188,89.1,23,10.9,47043
47,44,355,300,84.51,55,15.49,47044
47,46,232,209,90.09,23,9.91,47046
47,47,305,269,88.2,36,11.8,47047
47,48,59,56,94.92,3,5.08,47048
47,49,253,228,90.12,25,9.88,47049
47,50,213,189,88.73,24,11.27,47050
47,51,214,183,85.51,31,14.49,47051
