ward,precinct,total,RICHARD J. DANIELS,RICHARD J. DANIELS Percent,MARIA PAPPAS,MARIA PAPPAS Percent,precinct_id
1,1,261,34,13.03,227,86.97,01001
1,2,320,57,17.81,263,82.19,01002
1,3,245,41,16.73,204,83.27,01003
1,4,242,40,16.53,202,83.47,01004
1,5,256,44,17.19,212,82.81,01005
1,6,244,56,22.95,188,77.05,01006
1,7,316,80,25.32,236,74.68,01007
1,8,240,43,17.92,197,82.08,01008
1,9,258,27,10.47,231,89.53,01009
1,10,200,40,20.0,160,80.0,01010
1,11,304,43,14.14,261,85.86,01011
1,12,216,46,21.3,170,78.7,01012
1,13,236,36,15.25,200,84.75,01013
1,14,317,48,15.14,269,84.86,01014
1,15,145,10,6.9,135,93.1,01015
1,16,156,9,5.77,147,94.23,01016
1,17,281,54,19.22,227,80.78,01017
1,18,202,12,5.94,190,94.06,01018
1,19,310,60,19.35,250,80.65,01019
1,20,237,44,18.57,193,81.43,01020
1,21,373,98,26.27,275,73.73,01021
1,22,263,28,10.65,235,89.35,01022
1,23,283,48,16.96,235,83.04,01023
1,24,330,42,12.73,288,87.27,01024
1,25,207,32,15.46,175,84.54,01025
1,26,273,43,15.75,230,84.25,01026
1,27,247,57,23.08,190,76.92,01027
1,28,247,44,17.81,203,82.19,01028
1,29,209,33,15.79,176,84.21,01029
1,30,299,44,14.72,255,85.28,01030
1,31,239,74,30.96,165,69.04,01031
1,32,189,30,15.87,159,84.13,01032
1,33,301,43,14.29,258,85.71,01033
1,34,161,27,16.77,134,83.23,01034
1,35,179,62,34.64,117,65.36,01035
1,36,376,84,22.34,292,77.66,01036
1,37,269,46,17.1,223,82.9,01037
1,38,120,17,14.17,103,85.83,01038
1,39,312,41,13.14,271,86.86,01039
2,1,355,87,24.51,268,75.49,02001
2,2,12,0,0.0,12,100.0,02002
2,3,170,23,13.53,147,86.47,02003
2,4,171,7,4.09,164,95.91,02004
2,5,125,2,1.6,123,98.4,02005
2,6,177,42,23.73,135,76.27,02006
2,7,287,9,3.14,278,96.86,02007
2,8,304,67,22.04,237,77.96,02008
2,9,161,9,5.59,152,94.41,02009
2,10,112,5,4.46,107,95.54,02010
2,11,170,48,28.24,122,71.76,02011
2,12,263,90,34.22,173,65.78,02012
2,13,195,34,17.44,161,82.56,02013
2,14,376,29,7.71,347,92.29,02014
2,15,93,1,1.08,92,98.92,02015
2,16,223,51,22.87,172,77.13,02016
2,17,203,10,4.93,193,95.07,02017
2,18,500,104,20.8,396,79.2,02018
2,19,165,4,2.42,161,97.58,02019
2,20,227,18,7.93,209,92.07,02020
2,21,314,36,11.46,278,88.54,02021
