ward,precinct,total,MIKE QUIGLEY,MIKE QUIGLEY Percent,precinct_id
32,32,6,6,100.0,32032
32,44,149,149,100.0,32044
32,47,252,252,100.0,32047
32,49,173,173,100.0,32049
32,50,279,279,100.0,32050
32,51,255,255,100.0,32051
39,1,195,195,100.0,39001
39,2,300,300,100.0,39002
39,3,232,232,100.0,39003
39,4,155,155,100.0,39004
39,15,179,179,100.0,39015
39,16,150,150,100.0,39016
39,17,167,167,100.0,39017
39,18,234,234,100.0,39018
39,20,176,176,100.0,39020
39,26,218,218,100.0,39026
39,32,252,252,100.0,39032
39,36,305,305,100.0,39036
39,37,287,287,100.0,39037
39,39,106,106,100.0,39039
39,40,141,141,100.0,39040
39,41,94,94,100.0,39041
39,42,195,195,100.0,39042
39,47,145,145,100.0,39047
40,2,159,159,100.0,40002
40,3,191,191,100.0,40003
40,4,195,195,100.0,40004
40,7,191,191,100.0,40007
40,8,58,58,100.0,40008
40,9,121,121,100.0,40009
40,10,232,232,100.0,40010
40,11,177,177,100.0,40011
40,12,162,162,100.0,40012
40,13,234,234,100.0,40013
40,15,235,235,100.0,40015
40,16,187,187,100.0,40016
40,18,203,203,100.0,40018
40,22,77,77,100.0,40022
40,25,149,149,100.0,40025
40,26,215,215,100.0,40026
40,27,165,165,100.0,40027
40,28,214,214,100.0,40028
40,29,255,255,100.0,40029
40,30,88,88,100.0,40030
40,31,192,192,100.0,40031
40,33,209,209,100.0,40033
40,35,199,199,100.0,40035
40,37,166,166,100.0,40037
40,39,165,165,100.0,40039
40,45,286,286,100.0,40045
40,46,232,232,100.0,40046
40,47,214,214,100.0,40047
40,49,74,74,100.0,40049
41,69,187,187,100.0,41069
43,1,156,156,100.0,43001
43,2,231,231,100.0,43002
43,3,199,199,100.0,43003
43,4,260,260,100.0,43004
43,5,236,236,100.0,43005
43,6,205,205,100.0,43006
43,7,132,132,100.0,43007
43,8,237,237,100.0,43008
43,9,183,183,100.0,43009
43,10,117,117,100.0,43010
43,11,161,161,100.0,43011
43,12,263,263,100.0,43012
43,13,111,111,100.0,43013
43,14,211,211,100.0,43014
43,15,184,184,100.0,43015
43,16,230,230,100.0,43016
43,17,146,146,100.0,43017
43,18,288,288,100.0,43018
43,19,175,175,100.0,43019
43,20,240,240,100.0,43020
43,21,143,143,100.0,43021
43,22,158,158,100.0,43022
43,23,200,200,100.0,43023
43,24,192,192,100.0,43024
43,25,218,218,100.0,43025
43,26,168,168,100.0,43026
43,27,193,193,100.0,43027
43,28,181,181,100.0,43028
43,29,213,213,100.0,43029
43,31,188,188,100.0,43031
43,32,189,189,100.0,43032
43,33,132,132,100.0,43033
43,34,135,135,100.0,43034
43,35,234,234,100.0,43035
43,36,184,184,100.0,43036
43,37,183,183,100.0,43037
43,38,203,203,100.0,43038
43,39,185,185,100.0,43039
43,40,131,131,100.0,43040
43,41,156,156,100.0,43041
43,42,213,213,100.0,43042
43,43,195,195,100.0,43043
43,44,271,271,100.0,43044
43,45,43,43,100.0,43045
43,46,281,281,100.0,43046
43,47,215,215,100.0,43047
43,48,238,238,100.0,43048
43,49,162,162,100.0,43049
43,50,179,179,100.0,43050
43,52,245,245,100.0,43052
43,53,258,258,100.0,43053
43,55,165,165,100.0,43055
43,56,154,154,100.0,43056
43,57,191,191,100.0,43057
43,58,238,238,100.0,43058
43,59,226,226,100.0,43059
44,1,250,250,100.0,44001
44,2,202,202,100.0,44002
44,3,281,281,100.0,44003
44,4,288,288,100.0,44004
44,5,293,293,100.0,44005
44,6,245,245,100.0,44006
44,7,301,301,100.0,44007
44,8,158,158,100.0,44008
44,9,368,368,100.0,44009
44,10,204,204,100.0,44010
44,11,309,309,100.0,44011
44,12,181,181,100.0,44012
44,13,183,183,100.0,44013
44,14,263,263,100.0,44014
44,15,313,313,100.0,44015
44,16,281,281,100.0,44016
44,17,305,305,100.0,44017
44,18,195,195,100.0,44018
44,19,160,160,100.0,44019
44,20,236,236,100.0,44020
44,21,309,309,100.0,44021
44,22,316,316,100.0,44022
44,23,280,280,100.0,44023
44,24,208,208,100.0,44024
44,25,272,272,100.0,44025
44,26,223,223,100.0,44026
44,27,298,298,100.0,44027
44,28,196,196,100.0,44028
44,29,282,282,100.0,44029
44,30,243,243,100.0,44030
44,31,308,308,100.0,44031
44,32,173,173,100.0,44032
44,33,354,354,100.0,44033
44,34,181,181,100.0,44034
44,35,220,220,100.0,44035
44,36,268,268,100.0,44036
44,37,328,328,100.0,44037
44,38,263,263,100.0,44038
44,39,299,299,100.0,44039
44,40,264,264,100.0,44040
44,41,279,279,100.0,44041
44,42,294,294,100.0,44042
44,43,283,283,100.0,44043
44,44,313,313,100.0,44044
44,45,289,289,100.0,44045
44,46,198,198,100.0,44046
44,47,249,249,100.0,44047
44,48,206,206,100.0,44048
44,49,397,397,100.0,44049
44,50,292,292,100.0,44050
45,4,97,97,100.0,45004
45,5,187,187,100.0,45005
46,1,425,425,100.0,46001
46,2,230,230,100.0,46002
46,3,335,335,100.0,46003
46,4,217,217,100.0,46004
46,5,236,236,100.0,46005
46,6,233,233,100.0,46006
46,7,355,355,100.0,46007
46,8,269,269,100.0,46008
46,9,294,294,100.0,46009
46,10,147,147,100.0,46010
46,11,274,274,100.0,46011
46,12,230,230,100.0,46012
46,13,372,372,100.0,46013
46,14,218,218,100.0,46014
46,15,280,280,100.0,46015
46,16,260,260,100.0,46016
46,17,417,417,100.0,46017
46,18,293,293,100.0,46018
46,19,287,287,100.0,46019
46,20,231,231,100.0,46020
46,22,170,170,100.0,46022
46,23,198,198,100.0,46023
46,24,246,246,100.0,46024
46,25,184,184,100.0,46025
46,26,217,217,100.0,46026
46,27,262,262,100.0,46027
46,28,275,275,100.0,46028
46,29,245,245,100.0,46029
46,30,296,296,100.0,46030
46,31,306,306,100.0,46031
46,32,234,234,100.0,46032
46,33,259,259,100.0,46033
46,34,349,349,100.0,46034
46,35,159,159,100.0,46035
46,36,295,295,100.0,46036
