ward,precinct,total,"EMIL JONES, JR.","EMIL JONES, JR. Percent",precinct_id
9,1,340,340,100.0,09001
9,2,346,346,100.0,09002
9,5,325,325,100.0,09005
9,9,335,335,100.0,09009
9,10,288,288,100.0,09010
9,12,311,311,100.0,09012
9,13,379,379,100.0,09013
9,14,399,399,100.0,09014
9,17,267,267,100.0,09017
9,18,21,21,100.0,09018
9,20,337,337,100.0,09020
9,21,226,226,100.0,09021
9,22,368,368,100.0,09022
9,23,234,234,100.0,09023
9,27,180,180,100.0,09027
9,29,259,259,100.0,09029
9,31,259,259,100.0,09031
9,32,322,322,100.0,09032
9,34,294,294,100.0,09034
9,35,294,294,100.0,09035
9,38,309,309,100.0,09038
9,40,319,319,100.0,09040
9,43,229,229,100.0,09043
9,46,265,265,100.0,09046
9,48,313,313,100.0,09048
9,51,224,224,100.0,09051
9,52,284,284,100.0,09052
9,53,17,17,100.0,09053
9,55,26,26,100.0,09055
19,13,274,274,100.0,19013
19,20,269,269,100.0,19020
19,27,221,221,100.0,19027
19,28,413,413,100.0,19028
19,31,294,294,100.0,19031
19,40,295,295,100.0,19040
19,42,268,268,100.0,19042
19,43,360,360,100.0,19043
19,48,276,276,100.0,19048
19,49,389,389,100.0,19049
19,50,350,350,100.0,19050
19,60,310,310,100.0,19060
19,63,224,224,100.0,19063
19,64,390,390,100.0,19064
19,66,321,321,100.0,19066
19,67,67,67,100.0,19067
21,1,402,402,100.0,21001
21,3,429,429,100.0,21003
21,4,360,360,100.0,21004
21,5,296,296,100.0,21005
21,6,282,282,100.0,21006
21,7,313,313,100.0,21007
21,8,304,304,100.0,21008
21,9,289,289,100.0,21009
21,10,199,199,100.0,21010
21,11,298,298,100.0,21011
21,12,317,317,100.0,21012
21,13,149,149,100.0,21013
21,14,270,270,100.0,21014
21,18,287,287,100.0,21018
21,19,255,255,100.0,21019
21,20,147,147,100.0,21020
21,21,307,307,100.0,21021
21,22,328,328,100.0,21022
21,24,300,300,100.0,21024
21,27,321,321,100.0,21027
21,28,223,223,100.0,21028
21,31,390,390,100.0,21031
21,33,298,298,100.0,21033
21,38,279,279,100.0,21038
21,40,284,284,100.0,21040
21,42,281,281,100.0,21042
21,44,269,269,100.0,21044
21,45,238,238,100.0,21045
21,47,363,363,100.0,21047
21,49,360,360,100.0,21049
21,50,291,291,100.0,21050
21,51,315,315,100.0,21051
21,53,169,169,100.0,21053
21,54,258,258,100.0,21054
21,56,198,198,100.0,21056
21,58,211,211,100.0,21058
21,59,352,352,100.0,21059
21,60,276,276,100.0,21060
21,61,318,318,100.0,21061
21,63,274,274,100.0,21063
21,66,233,233,100.0,21066
21,68,293,293,100.0,21068
34,1,382,382,100.0,34001
34,2,265,265,100.0,34002
34,3,194,194,100.0,34003
34,4,263,263,100.0,34004
34,5,219,219,100.0,34005
34,7,379,379,100.0,34007
34,8,318,318,100.0,34008
34,9,251,251,100.0,34009
34,10,368,368,100.0,34010
34,11,231,231,100.0,34011
34,12,284,284,100.0,34012
34,13,263,263,100.0,34013
34,14,224,224,100.0,34014
34,15,212,212,100.0,34015
34,16,223,223,100.0,34016
34,17,252,252,100.0,34017
34,18,220,220,100.0,34018
34,19,207,207,100.0,34019
34,20,361,361,100.0,34020
34,21,337,337,100.0,34021
34,22,324,324,100.0,34022
34,23,248,248,100.0,34023
34,24,276,276,100.0,34024
34,25,183,183,100.0,34025
34,26,239,239,100.0,34026
34,27,215,215,100.0,34027
34,28,189,189,100.0,34028
34,29,368,368,100.0,34029
34,30,358,358,100.0,34030
34,31,191,191,100.0,34031
34,32,335,335,100.0,34032
34,33,154,154,100.0,34033
34,34,275,275,100.0,34034
34,36,277,277,100.0,34036
34,37,185,185,100.0,34037
34,38,202,202,100.0,34038
34,39,194,194,100.0,34039
34,40,328,328,100.0,34040
34,41,263,263,100.0,34041
34,42,315,315,100.0,34042
34,43,292,292,100.0,34043
34,44,414,414,100.0,34044
34,45,348,348,100.0,34045
34,46,198,198,100.0,34046
34,47,158,158,100.0,34047
34,48,294,294,100.0,34048
34,49,347,347,100.0,34049
34,50,247,247,100.0,34050
34,51,424,424,100.0,34051
34,52,242,242,100.0,34052
34,53,245,245,100.0,34053
34,54,226,226,100.0,34054
34,55,220,220,100.0,34055
34,56,235,235,100.0,34056
34,57,193,193,100.0,34057
34,58,237,237,100.0,34058
34,59,241,241,100.0,34059
34,60,190,190,100.0,34060
34,61,232,232,100.0,34061
34,62,346,346,100.0,34062
34,63,244,244,100.0,34063
34,64,75,75,100.0,34064
34,66,300,300,100.0,34066
34,67,234,234,100.0,34067
34,68,161,161,100.0,34068
34,69,199,199,100.0,34069
34,70,266,266,100.0,34070
34,71,249,249,100.0,34071
34,72,214,214,100.0,34072
34,73,201,201,100.0,34073
