ward,precinct,total,JAMES D. BROSNAHAN,JAMES D. BROSNAHAN Percent,precinct_id
18,19,193,193,100.0,18019
18,24,282,282,100.0,18024
18,25,280,280,100.0,18025
18,26,223,223,100.0,18026
18,30,231,231,100.0,18030
18,32,314,314,100.0,18032
18,34,318,318,100.0,18034
18,45,251,251,100.0,18045
18,46,224,224,100.0,18046
18,51,157,157,100.0,18051
18,52,224,224,100.0,18052
18,53,204,204,100.0,18053
18,62,195,195,100.0,18062
18,63,242,242,100.0,18063
19,9,263,263,100.0,19009
19,56,380,380,100.0,19056
21,15,237,237,100.0,21015
21,29,126,126,100.0,21029
21,35,171,171,100.0,21035
21,36,236,236,100.0,21036
21,57,260,260,100.0,21057
21,73,325,325,100.0,21073
21,75,183,183,100.0,21075
21,76,267,267,100.0,21076
