ward,precinct,total,JUAN MORENO,JUAN MORENO Percent,JOSEPH MARIO MORENO,JOSEPH MARIO MORENO Percent,precinct_id
3,13,165,30,18.18,135,81.82,03013
3,51,40,3,7.5,37,92.5,03051
11,2,243,32,13.17,211,86.83,11002
11,3,207,36,17.39,171,82.61,11003
11,6,376,52,13.83,324,86.17,11006
11,10,0,0,0.0,0,0.0,11010
11,17,342,49,14.33,293,85.67,11017
12,1,86,16,18.6,70,81.4,12001
12,2,153,23,15.03,130,84.97,12002
12,3,146,21,14.38,125,85.62,12003
12,4,133,16,12.03,117,87.97,12004
12,5,178,26,14.61,152,85.39,12005
12,6,65,11,16.92,54,83.08,12006
12,7,58,10,17.24,48,82.76,12007
12,8,128,19,14.84,109,85.16,12008
12,9,112,14,12.5,98,87.5,12009
12,10,91,18,19.78,73,80.22,12010
12,11,135,20,14.81,115,85.19,12011
12,12,112,30,26.79,82,73.21,12012
12,13,134,25,18.66,109,81.34,12013
12,14,112,21,18.75,91,81.25,12014
12,15,149,18,12.08,131,87.92,12015
12,16,156,22,14.1,134,85.9,12016
12,17,110,16,14.55,94,85.45,12017
12,18,92,13,14.13,79,85.87,12018
12,19,155,39,25.16,116,74.84,12019
12,20,168,26,15.48,142,84.52,12020
12,21,188,36,19.15,152,80.85,12021
12,22,117,19,16.24,98,83.76,12022
12,23,119,28,23.53,91,76.47,12023
12,24,205,35,17.07,170,82.93,12024
12,25,142,26,18.31,116,81.69,12025
12,26,154,28,18.18,126,81.82,12026
12,27,93,30,32.26,63,67.74,12027
12,28,167,33,19.76,134,80.24,12028
12,29,168,27,16.07,141,83.93,12029
13,3,310,56,18.06,254,81.94,13003
13,5,47,5,10.64,42,89.36,13005
13,15,308,47,15.26,261,84.74,13015
13,16,81,13,16.05,68,83.95,13016
13,18,271,37,13.65,234,86.35,13018
13,20,281,49,17.44,232,82.56,13020
13,21,204,33,16.18,171,83.82,13021
13,26,69,12,17.39,57,82.61,13026
13,28,226,32,14.16,194,85.84,13028
13,30,265,44,16.6,221,83.4,13030
13,31,292,30,10.27,262,89.73,13031
13,33,277,35,12.64,242,87.36,13033
13,34,35,4,11.43,31,88.57,13034
13,35,74,13,17.57,61,82.43,13035
13,39,37,8,21.62,29,78.38,13039
13,40,259,28,10.81,231,89.19,13040
13,50,361,40,11.08,321,88.92,13050
13,54,104,11,10.58,93,89.42,13054
14,1,168,31,18.45,137,81.55,14001
14,3,259,24,9.27,235,90.73,14003
14,4,182,24,13.19,158,86.81,14004
14,5,267,19,7.12,248,92.88,14005
14,6,168,27,16.07,141,83.93,14006
14,7,197,34,17.26,163,82.74,14007
14,8,118,25,21.19,93,78.81,14008
