ward,precinct,total,FORREST CLAYPOOL,FORREST CLAYPOOL Percent,precinct_id
1,7,11,11,100.0,01007
1,12,180,180,100.0,01012
1,14,260,260,100.0,01014
1,31,187,187,100.0,01031
1,32,116,116,100.0,01032
1,35,133,133,100.0,01035
27,50,171,171,100.0,27050
27,54,161,161,100.0,27054
30,1,173,173,100.0,30001
30,7,135,135,100.0,30007
30,9,166,166,100.0,30009
30,10,189,189,100.0,30010
30,11,153,153,100.0,30011
30,13,161,161,100.0,30013
30,14,55,55,100.0,30014
30,28,125,125,100.0,30028
30,30,182,182,100.0,30030
30,34,164,164,100.0,30034
30,35,148,148,100.0,30035
30,37,131,131,100.0,30037
30,38,233,233,100.0,30038
30,39,160,160,100.0,30039
30,40,148,148,100.0,30040
31,3,128,128,100.0,31003
31,6,12,12,100.0,31006
31,8,99,99,100.0,31008
31,9,173,173,100.0,31009
31,15,84,84,100.0,31015
31,18,40,40,100.0,31018
31,19,122,122,100.0,31019
31,26,83,83,100.0,31026
31,28,136,136,100.0,31028
31,29,116,116,100.0,31029
31,32,110,110,100.0,31032
31,35,103,103,100.0,31035
31,38,83,83,100.0,31038
31,41,113,113,100.0,31041
31,43,154,154,100.0,31043
31,45,110,110,100.0,31045
31,46,119,119,100.0,31046
31,47,154,154,100.0,31047
31,48,113,113,100.0,31048
31,49,75,75,100.0,31049
31,50,177,177,100.0,31050
31,51,83,83,100.0,31051
32,1,264,264,100.0,32001
32,2,239,239,100.0,32002
32,3,176,176,100.0,32003
32,4,278,278,100.0,32004
32,5,166,166,100.0,32005
32,6,182,182,100.0,32006
32,7,182,182,100.0,32007
32,8,311,311,100.0,32008
32,9,366,366,100.0,32009
32,10,225,225,100.0,32010
32,12,85,85,100.0,32012
32,13,118,118,100.0,32013
32,14,186,186,100.0,32014
32,15,202,202,100.0,32015
32,16,237,237,100.0,32016
32,17,189,189,100.0,32017
32,18,213,213,100.0,32018
32,20,234,234,100.0,32020
32,21,226,226,100.0,32021
32,22,315,315,100.0,32022
32,23,257,257,100.0,32023
32,24,214,214,100.0,32024
32,25,194,194,100.0,32025
32,26,177,177,100.0,32026
32,27,192,192,100.0,32027
32,28,197,197,100.0,32028
32,29,204,204,100.0,32029
32,30,194,194,100.0,32030
32,31,300,300,100.0,32031
32,32,236,236,100.0,32032
32,33,191,191,100.0,32033
32,34,247,247,100.0,32034
32,35,268,268,100.0,32035
32,36,258,258,100.0,32036
32,37,200,200,100.0,32037
32,38,241,241,100.0,32038
32,39,307,307,100.0,32039
32,40,275,275,100.0,32040
32,41,285,285,100.0,32041
32,42,284,284,100.0,32042
32,43,270,270,100.0,32043
32,45,205,205,100.0,32045
32,46,48,48,100.0,32046
32,48,320,320,100.0,32048
32,52,140,140,100.0,32052
33,14,192,192,100.0,33014
33,18,100,100,100.0,33018
33,34,40,40,100.0,33034
36,36,139,139,100.0,36036
36,41,176,176,100.0,36041
36,43,179,179,100.0,36043
38,1,229,229,100.0,38001
38,2,160,160,100.0,38002
38,4,105,105,100.0,38004
38,5,313,313,100.0,38005
38,6,187,187,100.0,38006
38,7,261,261,100.0,38007
38,9,179,179,100.0,38009
38,10,279,279,100.0,38010
38,11,159,159,100.0,38011
38,13,192,192,100.0,38013
38,14,179,179,100.0,38014
38,15,152,152,100.0,38015
38,16,240,240,100.0,38016
38,17,168,168,100.0,38017
38,18,191,191,100.0,38018
38,20,231,231,100.0,38020
38,21,204,204,100.0,38021
38,22,197,197,100.0,38022
38,23,171,171,100.0,38023
38,24,147,147,100.0,38024
