ward,precinct,total,DANIEL J. BURKE,DANIEL J. BURKE Percent,precinct_id
13,3,259,259,100.0,13003
13,18,194,194,100.0,13018
13,20,211,211,100.0,13020
13,31,219,219,100.0,13031
14,1,133,133,100.0,14001
14,2,161,161,100.0,14002
14,3,194,194,100.0,14003
14,4,141,141,100.0,14004
14,5,169,169,100.0,14005
14,6,142,142,100.0,14006
14,9,196,196,100.0,14009
14,11,141,141,100.0,14011
14,13,198,198,100.0,14013
14,15,203,203,100.0,14015
14,24,108,108,100.0,14024
14,25,198,198,100.0,14025
14,27,127,127,100.0,14027
14,28,193,193,100.0,14028
14,32,121,121,100.0,14032
14,34,80,80,100.0,14034
14,35,88,88,100.0,14035
15,1,58,58,100.0,15001
15,10,160,160,100.0,15010
15,16,144,144,100.0,15016
16,17,248,248,100.0,16017
16,32,80,80,100.0,16032
16,39,91,91,100.0,16039
22,2,95,95,100.0,22002
22,3,117,117,100.0,22003
22,4,146,146,100.0,22004
22,5,151,151,100.0,22005
22,6,120,120,100.0,22006
22,10,126,126,100.0,22010
22,12,98,98,100.0,22012
22,13,169,169,100.0,22013
22,14,107,107,100.0,22014
22,16,168,168,100.0,22016
22,17,132,132,100.0,22017
22,18,134,134,100.0,22018
22,20,168,168,100.0,22020
22,23,86,86,100.0,22023
22,24,112,112,100.0,22024
22,25,109,109,100.0,22025
22,26,108,108,100.0,22026
22,27,141,141,100.0,22027
22,28,98,98,100.0,22028
22,30,143,143,100.0,22030
23,5,226,226,100.0,23005
23,6,315,315,100.0,23006
23,7,35,35,100.0,23007
23,9,242,242,100.0,23009
23,10,356,356,100.0,23010
23,14,94,94,100.0,23014
23,24,193,193,100.0,23024
23,25,203,203,100.0,23025
23,29,237,237,100.0,23029
23,31,258,258,100.0,23031
23,32,315,315,100.0,23032
23,33,308,308,100.0,23033
23,37,45,45,100.0,23037
23,41,279,279,100.0,23041
23,50,209,209,100.0,23050
23,51,263,263,100.0,23051
23,53,223,223,100.0,23053
