ward,precinct,total,WILLIAM J. WALSH,WILLIAM J. WALSH Percent,JOHN P. DALEY,JOHN P. DALEY Percent,precinct_id
3,10,108,3,2.78,105,97.22,03010
3,51,20,5,25.0,15,75.0,03051
11,1,287,39,13.59,248,86.41,11001
11,4,325,29,8.92,296,91.08,11004
11,5,183,22,12.02,161,87.98,11005
11,7,288,32,11.11,256,88.89,11007
11,8,290,42,14.48,248,85.52,11008
11,9,275,21,7.64,254,92.36,11009
11,10,155,20,12.9,135,87.1,11010
11,11,314,40,12.74,274,87.26,11011
11,12,317,24,7.57,293,92.43,11012
11,13,298,29,9.73,269,90.27,11013
11,15,231,21,9.09,210,90.91,11015
11,16,291,36,12.37,255,87.63,11016
11,17,2,0,0.0,2,100.0,11017
11,18,207,33,15.94,174,84.06,11018
11,19,245,29,11.84,216,88.16,11019
11,20,225,9,4.0,216,96.0,11020
11,21,371,22,5.93,349,94.07,11021
11,22,246,7,2.85,239,97.15,11022
11,23,237,19,8.02,218,91.98,11023
11,24,410,17,4.15,393,95.85,11024
11,25,199,18,9.05,181,90.95,11025
11,26,393,46,11.7,347,88.3,11026
11,28,241,18,7.47,223,92.53,11028
11,29,337,33,9.79,304,90.21,11029
11,30,274,35,12.77,239,87.23,11030
11,31,242,16,6.61,226,93.39,11031
11,32,226,13,5.75,213,94.25,11032
11,33,206,18,8.74,188,91.26,11033
11,34,77,9,11.69,68,88.31,11034
11,35,350,29,8.29,321,91.71,11035
11,37,275,27,9.82,248,90.18,11037
11,38,401,34,8.48,367,91.52,11038
11,39,391,28,7.16,363,92.84,11039
11,40,164,9,5.49,155,94.51,11040
11,41,168,16,9.52,152,90.48,11041
11,42,229,15,6.55,214,93.45,11042
11,43,385,50,12.99,335,87.01,11043
11,44,270,44,16.3,226,83.7,11044
11,45,185,24,12.97,161,87.03,11045
11,47,259,22,8.49,237,91.51,11047
11,48,151,20,13.25,131,86.75,11048
11,49,238,26,10.92,212,89.08,11049
11,50,198,17,8.59,181,91.41,11050
12,8,156,31,19.87,125,80.13,12008
13,1,303,66,21.78,237,78.22,13001
13,2,256,49,19.14,207,80.86,13002
13,4,455,91,20.0,364,80.0,13004
13,5,212,28,13.21,184,86.79,13005
13,6,285,61,21.4,224,78.6,13006
13,7,307,47,15.31,260,84.69,13007
13,8,340,71,20.88,269,79.12,13008
13,9,302,52,17.22,250,82.78,13009
13,10,283,64,22.61,219,77.39,13010
13,11,268,42,15.67,226,84.33,13011
13,12,320,60,18.75,260,81.25,13012
13,13,353,47,13.31,306,86.69,13013
13,14,251,55,21.91,196,78.09,13014
13,16,166,32,19.28,134,80.72,13016
13,17,329,56,17.02,273,82.98,13017
13,19,244,31,12.7,213,87.3,13019
13,22,323,43,13.31,280,86.69,13022
13,23,239,35,14.64,204,85.36,13023
13,24,331,42,12.69,289,87.31,13024
13,25,252,52,20.63,200,79.37,13025
13,26,142,18,12.68,124,87.32,13026
13,27,357,64,17.93,293,82.07,13027
13,29,297,59,19.87,238,80.13,13029
13,32,277,39,14.08,238,85.92,13032
13,34,242,51,21.07,191,78.93,13034
13,35,263,39,14.83,224,85.17,13035
13,36,189,33,17.46,156,82.54,13036
13,37,231,41,17.75,190,82.25,13037
13,38,327,78,23.85,249,76.15,13038
13,39,244,39,15.98,205,84.02,13039
13,41,235,38,16.17,197,83.83,13041
13,42,357,61,17.09,296,82.91,13042
13,43,241,27,11.2,214,88.8,13043
13,44,366,23,6.28,343,93.72,13044
13,45,417,83,19.9,334,80.1,13045
13,46,280,34,12.14,246,87.86,13046
13,47,313,51,16.29,262,83.71,13047
13,48,282,49,17.38,233,82.62,13048
13,49,345,53,15.36,292,84.64,13049
13,51,255,37,14.51,218,85.49,13051
13,52,360,72,20.0,288,80.0,13052
13,53,353,64,18.13,289,81.87,13053
13,54,196,31,15.82,165,84.18,13054
14,2,182,41,22.53,141,77.47,14002
14,25,227,37,16.3,190,83.7,14025
14,28,229,32,13.97,197,86.03,14028
15,6,188,23,12.23,165,87.77,15006
15,13,139,14,10.07,125,89.93,15013
15,15,248,22,8.87,226,91.13,15015
15,22,216,13,6.02,203,93.98,15022
15,24,178,20,11.24,158,88.76,15024
15,29,98,6,6.12,92,93.88,15029
15,33,77,73,94.81,4,5.19,15033
15,44,28,3,10.71,25,89.29,15044
15,45,88,4,4.55,84,95.45,15045
15,50,189,10,5.29,179,94.71,15050
16,1,57,6,10.53,51,89.47,16001
16,2,146,9,6.16,137,93.84,16002
16,6,81,2,2.47,79,97.53,16006
16,7,183,12,6.56,171,93.44,16007
16,8,165,9,5.45,156,94.55,16008
16,10,149,8,5.37,141,94.63,16010
16,11,237,9,3.8,228,96.2,16011
16,12,141,5,3.55,136,96.45,16012
16,13,34,1,2.94,33,97.06,16013
16,18,170,7,4.12,163,95.88,16018
16,19,144,6,4.17,138,95.83,16019
16,23,62,8,12.9,54,87.1,16023
16,24,116,8,6.9,108,93.1,16024
16,29,102,6,5.88,96,94.12,16029
16,30,146,9,6.16,137,93.84,16030
16,38,178,10,5.62,168,94.38,16038
16,44,165,12,7.27,153,92.73,16044
16,47,79,4,5.06,75,94.94,16047
18,1,168,10,5.95,158,94.05,18001
18,2,289,38,13.15,251,86.85,18002
18,3,277,93,33.57,184,66.43,18003
18,6,282,101,35.82,181,64.18,18006
18,7,1,1,100.0,0,0.0,18007
18,11,274,50,18.25,224,81.75,18011
18,15,182,41,22.53,141,77.47,18015
18,17,249,38,15.26,211,84.74,18017
18,23,260,27,10.38,233,89.62,18023
18,28,347,88,25.36,259,74.64,18028
18,29,315,68,21.59,247,78.41,18029
18,36,143,30,20.98,113,79.02,18036
18,41,331,102,30.82,229,69.18,18041
18,43,253,38,15.02,215,84.98,18043
18,48,217,61,28.11,156,71.89,18048
18,55,352,116,32.95,236,67.05,18055
18,56,270,43,15.93,227,84.07,18056
18,57,237,29,12.24,208,87.76,18057
18,64,233,37,15.88,196,84.12,18064
19,1,396,99,25.0,297,75.0,19001
19,2,325,62,19.08,263,80.92,19002
19,3,359,143,39.83,216,60.17,19003
19,4,349,114,32.66,235,67.34,19004
19,5,338,71,21.01,267,78.99,19005
19,6,363,110,30.3,253,69.7,19006
19,7,342,65,19.01,277,80.99,19007
19,8,301,95,31.56,206,68.44,19008
19,9,289,93,32.18,196,67.82,19009
19,10,440,91,20.68,349,79.32,19010
19,11,404,165,40.84,239,59.16,19011
19,12,365,137,37.53,228,62.47,19012
19,13,276,31,11.23,245,88.77,19013
19,14,255,80,31.37,175,68.63,19014
19,15,217,68,31.34,149,68.66,19015
19,16,443,116,26.19,327,73.81,19016
19,17,368,81,22.01,287,77.99,19017
19,18,444,112,25.23,332,74.77,19018
19,19,382,92,24.08,290,75.92,19019
19,20,294,52,17.69,242,82.31,19020
19,21,316,79,25.0,237,75.0,19021
19,22,421,109,25.89,312,74.11,19022
19,23,428,118,27.57,310,72.43,19023
19,24,296,84,28.38,212,71.62,19024
19,25,413,113,27.36,300,72.64,19025
19,26,402,108,26.87,294,73.13,19026
19,27,229,54,23.58,175,76.42,19027
19,28,421,52,12.35,369,87.65,19028
19,29,325,98,30.15,227,69.85,19029
19,30,361,115,31.86,246,68.14,19030
19,31,335,112,33.43,223,66.57,19031
19,32,442,123,27.83,319,72.17,19032
19,33,426,150,35.21,276,64.79,19033
19,34,388,93,23.97,295,76.03,19034
19,35,332,61,18.37,271,81.63,19035
19,36,384,76,19.79,308,80.21,19036
19,37,325,61,18.77,264,81.23,19037
19,38,431,68,15.78,363,84.22,19038
19,39,231,19,8.23,212,91.77,19039
19,40,331,78,23.56,253,76.44,19040
19,41,401,149,37.16,252,62.84,19041
19,42,272,47,17.28,225,82.72,19042
19,44,325,97,29.85,228,70.15,19044
19,45,428,132,30.84,296,69.16,19045
19,46,472,131,27.75,341,72.25,19046
19,47,253,47,18.58,206,81.42,19047
19,49,407,67,16.46,340,83.54,19049
19,51,336,91,27.08,245,72.92,19051
19,52,322,114,35.4,208,64.6,19052
19,53,372,93,25.0,279,75.0,19053
19,54,293,105,35.84,188,64.16,19054
19,55,334,94,28.14,240,71.86,19055
19,56,432,115,26.62,317,73.38,19056
19,57,377,91,24.14,286,75.86,19057
19,58,404,141,34.9,263,65.1,19058
19,59,418,138,33.01,280,66.99,19059
19,60,308,25,8.12,283,91.88,19060
19,61,471,102,21.66,369,78.34,19061
19,62,362,76,20.99,286,79.01,19062
19,63,236,39,16.53,197,83.47,19063
19,64,411,77,18.73,334,81.27,19064
19,65,230,43,18.7,187,81.3,19065
19,67,88,31,35.23,57,64.77,19067
20,45,48,3,6.25,45,93.75,20045
20,51,0,0,0.0,0,0.0,20051
23,1,300,75,25.0,225,75.0,23001
23,2,378,69,18.25,309,81.75,23002
23,3,314,104,33.12,210,66.88,23003
23,4,311,115,36.98,196,63.02,23004
23,5,238,42,17.65,196,82.35,23005
23,6,216,56,25.93,160,74.07,23006
23,7,53,4,7.55,49,92.45,23007
23,8,357,87,24.37,270,75.63,23008
23,10,379,50,13.19,329,86.81,23010
23,11,359,105,29.25,254,70.75,23011
23,12,298,98,32.89,200,67.11,23012
23,13,385,112,29.09,273,70.91,23013
23,14,1,0,0.0,1,100.0,23014
23,15,340,99,29.12,241,70.88,23015
23,16,371,94,25.34,277,74.66,23016
23,17,398,120,30.15,278,69.85,23017
23,18,272,70,25.74,202,74.26,23018
23,19,306,72,23.53,234,76.47,23019
23,20,293,73,24.91,220,75.09,23020
23,21,245,11,4.49,234,95.51,23021
23,22,354,96,27.12,258,72.88,23022
23,23,315,92,29.21,223,70.79,23023
23,25,222,51,22.97,171,77.03,23025
23,26,331,105,31.72,226,68.28,23026
23,27,307,83,27.04,224,72.96,23027
23,28,331,89,26.89,242,73.11,23028
23,30,321,70,21.81,251,78.19,23030
23,31,279,57,20.43,222,79.57,23031
23,32,339,59,17.4,280,82.6,23032
23,33,334,68,20.36,266,79.64,23033
23,34,261,64,24.52,197,75.48,23034
23,35,187,9,4.81,178,95.19,23035
23,36,417,109,26.14,308,73.86,23036
23,37,221,11,4.98,210,95.02,23037
23,38,248,49,19.76,199,80.24,23038
23,39,313,90,28.75,223,71.25,23039
23,40,313,93,29.71,220,70.29,23040
23,41,315,64,20.32,251,79.68,23041
23,42,270,59,21.85,211,78.15,23042
23,43,371,113,30.46,258,69.54,23043
23,44,326,66,20.25,260,79.75,23044
23,45,367,102,27.79,265,72.21,23045
23,46,336,94,27.98,242,72.02,23046
23,47,362,105,29.01,257,70.99,23047
23,48,268,69,25.75,199,74.25,23048
23,49,412,135,32.77,277,67.23,23049
23,50,212,49,23.11,163,76.89,23050
23,51,279,59,21.15,220,78.85,23051
23,52,401,102,25.44,299,74.56,23052
23,53,236,53,22.46,183,77.54,23053
23,54,444,111,25.0,333,75.0,23054
23,55,341,102,29.91,239,70.09,23055
23,56,276,97,35.14,179,64.86,23056
