ward,precinct,total,RANDY KANTNER,RANDY KANTNER Percent,ROBERT S. MOLARO,ROBERT S. MOLARO Percent,precinct_id
13,4,119,20,16.81,99,83.19,13004
23,1,301,58,19.27,243,80.73,23001
23,2,392,67,17.09,325,82.91,23002
23,3,326,89,27.3,237,72.7,23003
23,4,318,93,29.25,225,70.75,23004
23,7,116,7,6.03,109,93.97,23007
23,8,360,67,18.61,293,81.39,23008
23,11,366,91,24.86,275,75.14,23011
23,12,307,89,28.99,218,71.01,23012
23,13,392,87,22.19,305,77.81,23013
23,14,1,0,0.0,1,100.0,23014
23,15,347,82,23.63,265,76.37,23015
23,16,367,82,22.34,285,77.66,23016
23,17,406,100,24.63,306,75.37,23017
23,18,286,62,21.68,224,78.32,23018
23,19,311,61,19.61,250,80.39,23019
23,20,299,61,20.4,238,79.6,23020
23,21,252,7,2.78,245,97.22,23021
23,22,365,89,24.38,276,75.62,23022
23,23,322,71,22.05,251,77.95,23023
23,26,338,89,26.33,249,73.67,23026
23,27,307,71,23.13,236,76.87,23027
23,28,343,69,20.12,274,79.88,23028
23,30,325,51,15.69,274,84.31,23030
23,34,268,60,22.39,208,77.61,23034
23,35,187,7,3.74,180,96.26,23035
23,36,424,115,27.12,309,72.88,23036
23,37,171,4,2.34,167,97.66,23037
23,38,248,51,20.56,197,79.44,23038
23,39,320,80,25.0,240,75.0,23039
23,40,321,73,22.74,248,77.26,23040
23,42,273,49,17.95,224,82.05,23042
23,43,375,82,21.87,293,78.13,23043
23,44,330,60,18.18,270,81.82,23044
23,45,370,80,21.62,290,78.38,23045
23,46,342,70,20.47,272,79.53,23046
23,47,375,79,21.07,296,78.93,23047
23,48,272,46,16.91,226,83.09,23048
23,49,418,120,28.71,298,71.29,23049
23,52,407,81,19.9,326,80.1,23052
23,54,460,96,20.87,364,79.13,23054
23,55,354,82,23.16,272,76.84,23055
23,56,286,83,29.02,203,70.98,23056
