ward,precinct,total,CATHERINE A. DOHERTY,CATHERINE A. DOHERTY Percent,"CONSTANCE A. """"CONNIE"""" HOWARD","CONSTANCE A. """"CONNIE"""" HOWARD Percent",precinct_id
5,12,203,4,1.97,199,98.03,05012
5,20,153,3,1.96,150,98.04,05020
5,50,242,6,2.48,236,97.52,05050
6,1,348,11,3.16,337,96.84,06001
6,2,348,4,1.15,344,98.85,06002
6,3,312,14,4.49,298,95.51,06003
6,8,292,6,2.05,286,97.95,06008
6,9,234,7,2.99,227,97.01,06009
6,10,380,8,2.11,372,97.89,06010
6,13,281,5,1.78,276,98.22,06013
6,14,303,6,1.98,297,98.02,06014
6,16,312,9,2.88,303,97.12,06016
6,17,367,3,0.82,364,99.18,06017
6,21,276,7,2.54,269,97.46,06021
6,22,295,5,1.69,290,98.31,06022
6,23,249,1,0.4,248,99.6,06023
6,24,302,3,0.99,299,99.01,06024
6,25,190,5,2.63,185,97.37,06025
6,26,313,7,2.24,306,97.76,06026
6,27,384,3,0.78,381,99.22,06027
6,28,469,10,2.13,459,97.87,06028
6,29,356,8,2.25,348,97.75,06029
6,31,344,9,2.62,335,97.38,06031
6,34,247,5,2.02,242,97.98,06034
6,35,366,7,1.91,359,98.09,06035
6,37,329,5,1.52,324,98.48,06037
6,38,319,12,3.76,307,96.24,06038
6,39,265,4,1.51,261,98.49,06039
6,41,304,6,1.97,298,98.03,06041
6,43,352,5,1.42,347,98.58,06043
6,44,310,10,3.23,300,96.77,06044
6,45,190,5,2.63,185,97.37,06045
6,46,275,4,1.45,271,98.55,06046
6,47,306,10,3.27,296,96.73,06047
6,50,285,8,2.81,277,97.19,06050
6,51,245,7,2.86,238,97.14,06051
6,52,245,4,1.63,241,98.37,06052
6,53,261,6,2.3,255,97.7,06053
6,54,268,5,1.87,263,98.13,06054
6,55,259,8,3.09,251,96.91,06055
6,56,219,3,1.37,216,98.63,06056
6,57,158,0,0.0,158,100.0,06057
6,58,311,6,1.93,305,98.07,06058
6,59,253,4,1.58,249,98.42,06059
6,60,208,7,3.37,201,96.63,06060
6,62,111,3,2.7,108,97.3,06062
6,63,245,5,2.04,240,97.96,06063
6,64,345,5,1.45,340,98.55,06064
7,36,176,8,4.55,168,95.45,07036
7,37,116,2,1.72,114,98.28,07037
7,43,273,7,2.56,266,97.44,07043
8,18,208,2,0.96,206,99.04,08018
8,32,490,8,1.63,482,98.37,08032
8,34,351,11,3.13,340,96.87,08034
8,37,291,5,1.72,286,98.28,08037
8,39,338,3,0.89,335,99.11,08039
8,43,285,8,2.81,277,97.19,08043
8,45,222,7,3.15,215,96.85,08045
8,47,306,6,1.96,300,98.04,08047
8,56,367,13,3.54,354,96.46,08056
8,59,200,9,4.5,191,95.5,08059
8,66,408,7,1.72,401,98.28,08066
8,67,145,2,1.38,143,98.62,08067
8,68,179,5,2.79,174,97.21,08068
8,69,180,5,2.78,175,97.22,08069
9,8,225,2,0.89,223,99.11,09008
9,25,140,2,1.43,138,98.57,09025
9,36,170,3,1.76,167,98.24,09036
9,37,268,79,29.48,189,70.52,09037
9,49,131,5,3.82,126,96.18,09049
9,54,253,5,1.98,248,98.02,09054
9,55,55,2,3.64,53,96.36,09055
9,56,170,1,0.59,169,99.41,09056
9,57,171,45,26.32,126,73.68,09057
9,58,222,3,1.35,219,98.65,09058
10,2,196,61,31.12,135,68.88,10002
10,3,61,12,19.67,49,80.33,10003
10,5,230,50,21.74,180,78.26,10005
10,15,117,43,36.75,74,63.25,10015
10,16,5,2,40.0,3,60.0,10016
10,17,235,77,32.77,158,67.23,10017
10,21,212,94,44.34,118,55.66,10021
10,22,82,18,21.95,64,78.05,10022
10,42,0,0,0.0,0,0.0,10042
21,23,231,2,0.87,229,99.13,21023
21,25,237,8,3.38,229,96.62,21025
21,26,224,3,1.34,221,98.66,21026
21,43,276,5,1.81,271,98.19,21043
21,46,233,4,1.72,229,98.28,21046
21,48,368,5,1.36,363,98.64,21048
21,53,67,1,1.49,66,98.51,21053
21,55,313,6,1.92,307,98.08,21055
