ward,precinct,total,JUDY BAAR TOPINKA,JUDY BAAR TOPINKA Percent,THOMAS J. DART,THOMAS J. DART Percent,RHYS READ,RHYS READ Percent,precinct_id
1,1,282,64,22.7,206,73.05,12,4.26,01001
1,2,334,107,32.04,212,63.47,15,4.49,01002
1,3,260,70,26.92,176,67.69,14,5.38,01003
1,4,249,65,26.1,173,69.48,11,4.42,01004
1,5,266,85,31.95,164,61.65,17,6.39,01005
1,6,255,114,44.71,128,50.2,13,5.1,01006
1,7,331,145,43.81,174,52.57,12,3.63,01007
1,8,240,67,27.92,169,70.42,4,1.67,01008
1,9,255,62,24.31,185,72.55,8,3.14,01009
1,10,209,77,36.84,118,56.46,14,6.7,01010
1,11,313,84,26.84,214,68.37,15,4.79,01011
1,12,226,85,37.61,134,59.29,7,3.1,01012
1,13,236,70,29.66,158,66.95,8,3.39,01013
1,14,320,94,29.38,217,67.81,9,2.81,01014
1,15,151,19,12.58,129,85.43,3,1.99,01015
1,16,171,13,7.6,154,90.06,4,2.34,01016
1,17,281,91,32.38,171,60.85,19,6.76,01017
1,18,208,35,16.83,160,76.92,13,6.25,01018
1,19,320,97,30.31,212,66.25,11,3.44,01019
1,20,248,60,24.19,181,72.98,7,2.82,01020
1,21,379,132,34.83,228,60.16,19,5.01,01021
1,22,256,54,21.09,197,76.95,5,1.95,01022
1,23,289,79,27.34,193,66.78,17,5.88,01023
1,24,337,78,23.15,233,69.14,26,7.72,01024
1,25,212,50,23.58,157,74.06,5,2.36,01025
1,26,283,81,28.62,193,68.2,9,3.18,01026
1,27,254,66,25.98,180,70.87,8,3.15,01027
1,28,269,59,21.93,202,75.09,8,2.97,01028
1,29,210,60,28.57,145,69.05,5,2.38,01029
1,30,309,86,27.83,216,69.9,7,2.27,01030
1,31,241,111,46.06,124,51.45,6,2.49,01031
1,32,189,39,20.63,143,75.66,7,3.7,01032
1,33,306,87,28.43,213,69.61,6,1.96,01033
1,34,164,56,34.15,103,62.8,5,3.05,01034
1,35,185,89,48.11,92,49.73,4,2.16,01035
1,36,383,140,36.55,229,59.79,14,3.66,01036
1,37,284,77,27.11,189,66.55,18,6.34,01037
1,38,129,27,20.93,100,77.52,2,1.55,01038
1,39,329,95,28.88,223,67.78,11,3.34,01039
2,1,367,148,40.33,201,54.77,18,4.9,02001
2,2,13,1,7.69,12,92.31,0,0.0,02002
2,3,172,50,29.07,120,69.77,2,1.16,02003
2,4,180,15,8.33,165,91.67,0,0.0,02004
2,5,131,23,17.56,106,80.92,2,1.53,02005
2,6,186,96,51.61,87,46.77,3,1.61,02006
2,7,292,53,18.15,237,81.16,2,0.68,02007
2,8,315,132,41.9,173,54.92,10,3.17,02008
2,9,161,27,16.77,131,81.37,3,1.86,02009
2,10,121,10,8.26,110,90.91,1,0.83,02010
2,11,173,95,54.91,74,42.77,4,2.31,02011
2,12,270,169,62.59,92,34.07,9,3.33,02012
2,13,206,66,32.04,135,65.53,5,2.43,02013
2,14,378,127,33.6,243,64.29,8,2.12,02014
2,15,98,13,13.27,83,84.69,2,2.04,02015
2,16,233,84,36.05,143,61.37,6,2.58,02016
2,17,202,21,10.4,180,89.11,1,0.5,02017
2,18,516,237,45.93,273,52.91,6,1.16,02018
2,19,164,8,4.88,156,95.12,0,0.0,02019
2,20,231,65,28.14,162,70.13,4,1.73,02020
2,21,325,111,34.15,210,64.62,4,1.23,02021
2,22,462,219,47.4,237,51.3,6,1.3,02022
2,23,146,22,15.07,119,81.51,5,3.42,02023
2,24,132,26,19.7,105,79.55,1,0.76,02024
2,25,201,50,24.88,148,73.63,3,1.49,02025
2,26,251,79,31.47,167,66.53,5,1.99,02026
2,27,147,30,20.41,116,78.91,1,0.68,02027
2,28,147,77,52.38,70,47.62,0,0.0,02028
2,29,104,44,42.31,57,54.81,3,2.88,02029
2,30,148,6,4.05,141,95.27,1,0.68,02030
2,31,280,74,26.43,203,72.5,3,1.07,02031
2,32,118,9,7.63,109,92.37,0,0.0,02032
2,33,182,20,10.99,160,87.91,2,1.1,02033
2,34,234,38,16.24,196,83.76,0,0.0,02034
2,35,95,49,51.58,41,43.16,5,5.26,02035
2,36,116,9,7.76,105,90.52,2,1.72,02036
2,37,277,117,42.24,148,53.43,12,4.33,02037
2,38,253,54,21.34,194,76.68,5,1.98,02038
2,39,219,48,21.92,166,75.8,5,2.28,02039
2,40,315,86,27.3,217,68.89,12,3.81,02040
2,41,159,21,13.21,136,85.53,2,1.26,02041
2,42,95,20,21.05,74,77.89,1,1.05,02042
2,43,434,185,42.63,239,55.07,10,2.3,02043
2,44,154,42,27.27,107,69.48,5,3.25,02044
2,45,193,23,11.92,167,86.53,3,1.55,02045
2,46,353,105,29.75,242,68.56,6,1.7,02046
2,47,202,24,11.88,175,86.63,3,1.49,02047
2,48,176,18,10.23,157,89.2,1,0.57,02048
2,49,257,103,40.08,144,56.03,10,3.89,02049
2,50,187,51,27.27,131,70.05,5,2.67,02050
2,51,198,24,12.12,173,87.37,1,0.51,02051
2,52,236,36,15.25,194,82.2,6,2.54,02052
2,53,113,6,5.31,107,94.69,0,0.0,02053
2,54,389,172,44.22,206,52.96,11,2.83,02054
2,55,76,32,42.11,43,56.58,1,1.32,02055
2,56,200,41,20.5,159,79.5,0,0.0,02056
2,57,130,16,12.31,113,86.92,1,0.77,02057
2,58,130,46,35.38,83,63.85,1,0.77,02058
2,59,317,142,44.79,168,53.0,7,2.21,02059
3,1,190,18,9.47,170,89.47,2,1.05,03001
3,2,371,51,13.75,318,85.71,2,0.54,03002
3,3,224,73,32.59,150,66.96,1,0.45,03003
3,4,127,5,3.94,122,96.06,0,0.0,03004
3,5,113,22,19.47,90,79.65,1,0.88,03005
3,6,182,13,7.14,169,92.86,0,0.0,03006
3,7,219,30,13.7,186,84.93,3,1.37,03007
3,8,79,4,5.06,73,92.41,2,2.53,03008
3,9,110,9,8.18,99,90.0,2,1.82,03009
3,10,117,11,9.4,104,88.89,2,1.71,03010
3,11,129,19,14.73,109,84.5,1,0.78,03011
3,12,237,26,10.97,209,88.19,2,0.84,03012
3,13,164,50,30.49,111,67.68,3,1.83,03013
3,14,99,13,13.13,84,84.85,2,2.02,03014
3,15,235,37,15.74,196,83.4,2,0.85,03015
3,16,403,55,13.65,344,85.36,4,0.99,03016
3,17,137,5,3.65,131,95.62,1,0.73,03017
3,18,146,16,10.96,128,87.67,2,1.37,03018
3,19,82,2,2.44,80,97.56,0,0.0,03019
3,20,52,4,7.69,46,88.46,2,3.85,03020
3,21,149,7,4.7,140,93.96,2,1.34,03021
3,22,140,18,12.86,119,85.0,3,2.14,03022
3,23,65,3,4.62,62,95.38,0,0.0,03023
3,24,169,17,10.06,149,88.17,3,1.78,03024
3,25,60,1,1.67,59,98.33,0,0.0,03025
3,26,147,19,12.93,125,85.03,3,2.04,03026
3,27,27,0,0.0,26,96.3,1,3.7,03027
