ward,precinct,total,KRIS O'ROURKE COHN,KRIS O'ROURKE COHN Percent,JESSE WHITE,JESSE WHITE Percent,MATT BEAUCHAMP,MATT BEAUCHAMP Percent,precinct_id
1,1,282,26,9.22,240,85.11,16,5.67,01001
1,2,337,43,12.76,279,82.79,15,4.45,01002
1,3,265,26,9.81,220,83.02,19,7.17,01003
1,4,254,26,10.24,216,85.04,12,4.72,01004
1,5,278,40,14.39,223,80.22,15,5.4,01005
1,6,263,49,18.63,204,77.57,10,3.8,01006
1,7,350,59,16.86,277,79.14,14,4.0,01007
1,8,262,30,11.45,229,87.4,3,1.15,01008
1,9,265,33,12.45,223,84.15,9,3.4,01009
1,10,211,33,15.64,164,77.73,14,6.64,01010
1,11,327,34,10.4,277,84.71,16,4.89,01011
1,12,231,27,11.69,195,84.42,9,3.9,01012
1,13,247,26,10.53,211,85.43,10,4.05,01013
1,14,341,39,11.44,291,85.34,11,3.23,01014
1,15,156,7,4.49,142,91.03,7,4.49,01015
1,16,189,6,3.17,181,95.77,2,1.06,01016
1,17,289,38,13.15,231,79.93,20,6.92,01017
1,18,219,6,2.74,206,94.06,7,3.2,01018
1,19,332,47,14.16,274,82.53,11,3.31,01019
1,20,265,28,10.57,227,85.66,10,3.77,01020
1,21,385,69,17.92,295,76.62,21,5.45,01021
1,22,273,27,9.89,242,88.64,4,1.47,01022
1,23,299,36,12.04,250,83.61,13,4.35,01023
1,24,344,28,8.14,298,86.63,18,5.23,01024
1,25,217,23,10.6,188,86.64,6,2.76,01025
1,26,293,30,10.24,250,85.32,13,4.44,01026
1,27,261,38,14.56,211,80.84,12,4.6,01027
1,28,276,32,11.59,240,86.96,4,1.45,01028
1,29,219,32,14.61,180,82.19,7,3.2,01029
1,30,317,27,8.52,281,88.64,9,2.84,01030
1,31,256,51,19.92,199,77.73,6,2.34,01031
1,32,208,20,9.62,184,88.46,4,1.92,01032
1,33,318,34,10.69,276,86.79,8,2.52,01033
1,34,168,21,12.5,144,85.71,3,1.79,01034
1,35,191,48,25.13,139,72.77,4,2.09,01035
1,36,396,69,17.42,305,77.02,22,5.56,01036
1,37,295,29,9.83,253,85.76,13,4.41,01037
1,38,135,14,10.37,121,89.63,0,0.0,01038
1,39,339,40,11.8,287,84.66,12,3.54,01039
2,1,377,68,18.04,291,77.19,18,4.77,02001
2,2,13,0,0.0,13,100.0,0,0.0,02002
2,3,183,16,8.74,166,90.71,1,0.55,02003
2,4,198,3,1.52,194,97.98,1,0.51,02004
2,5,138,1,0.72,137,99.28,0,0.0,02005
2,6,188,33,17.55,153,81.38,2,1.06,02006
2,7,308,2,0.65,305,99.03,1,0.32,02007
2,8,320,53,16.56,260,81.25,7,2.19,02008
2,9,171,3,1.75,168,98.25,0,0.0,02009
2,10,121,1,0.83,119,98.35,1,0.83,02010
2,11,175,36,20.57,135,77.14,4,2.29,02011
2,12,274,71,25.91,190,69.34,13,4.74,02012
2,13,217,22,10.14,191,88.02,4,1.84,02013
2,14,387,19,4.91,358,92.51,10,2.58,02014
2,15,103,0,0.0,102,99.03,1,0.97,02015
2,16,239,40,16.74,190,79.5,9,3.77,02016
2,17,204,4,1.96,200,98.04,0,0.0,02017
2,18,516,89,17.25,415,80.43,12,2.33,02018
2,19,173,1,0.58,171,98.84,1,0.58,02019
2,20,259,6,2.32,249,96.14,4,1.54,02020
2,21,358,20,5.59,337,94.13,1,0.28,02021
2,22,466,68,14.59,389,83.48,9,1.93,02022
2,23,153,2,1.31,147,96.08,4,2.61,02023
2,24,145,3,2.07,137,94.48,5,3.45,02024
2,25,206,18,8.74,184,89.32,4,1.94,02025
2,26,265,22,8.3,236,89.06,7,2.64,02026
2,27,165,1,0.61,164,99.39,0,0.0,02027
2,28,150,31,20.67,117,78.0,2,1.33,02028
2,29,105,8,7.62,94,89.52,3,2.86,02029
2,30,154,0,0.0,151,98.05,3,1.95,02030
2,31,290,4,1.38,286,98.62,0,0.0,02031
2,32,119,1,0.84,117,98.32,1,0.84,02032
2,33,187,3,1.6,184,98.4,0,0.0,02033
2,34,279,3,1.08,274,98.21,2,0.72,02034
2,35,100,23,23.0,75,75.0,2,2.0,02035
2,36,130,1,0.77,128,98.46,1,0.77,02036
2,37,289,48,16.61,229,79.24,12,4.15,02037
2,38,273,8,2.93,262,95.97,3,1.1,02038
2,39,228,11,4.82,210,92.11,7,3.07,02039
2,40,322,21,6.52,293,90.99,8,2.48,02040
2,41,168,3,1.79,165,98.21,0,0.0,02041
2,42,105,5,4.76,99,94.29,1,0.95,02042
2,43,457,54,11.82,393,86.0,10,2.19,02043
2,44,164,0,0.0,164,100.0,0,0.0,02044
2,45,199,2,1.01,197,98.99,0,0.0,02045
2,46,363,5,1.38,357,98.35,1,0.28,02046
2,47,210,4,1.9,204,97.14,2,0.95,02047
2,48,181,1,0.55,179,98.9,1,0.55,02048
2,49,260,44,16.92,206,79.23,10,3.85,02049
2,50,192,15,7.81,173,90.1,4,2.08,02050
2,51,209,5,2.39,203,97.13,1,0.48,02051
2,52,240,3,1.25,235,97.92,2,0.83,02052
2,53,116,2,1.72,113,97.41,1,0.86,02053
2,54,388,72,18.56,303,78.09,13,3.35,02054
2,55,76,9,11.84,67,88.16,0,0.0,02055
2,56,217,0,0.0,216,99.54,1,0.46,02056
2,57,151,4,2.65,146,96.69,1,0.66,02057
2,58,139,21,15.11,114,82.01,4,2.88,02058
2,59,323,41,12.69,273,84.52,9,2.79,02059
3,1,198,3,1.52,195,98.48,0,0.0,03001
3,2,413,4,0.97,409,99.03,0,0.0,03002
3,3,231,23,9.96,203,87.88,5,2.16,03003
3,4,125,1,0.8,124,99.2,0,0.0,03004
3,5,119,4,3.36,115,96.64,0,0.0,03005
3,6,186,3,1.61,183,98.39,0,0.0,03006
3,7,241,3,1.24,237,98.34,1,0.41,03007
3,8,81,2,2.47,79,97.53,0,0.0,03008
3,9,116,0,0.0,115,99.14,1,0.86,03009
3,10,118,1,0.85,117,99.15,0,0.0,03010
3,11,136,0,0.0,136,100.0,0,0.0,03011
3,12,242,7,2.89,234,96.69,1,0.41,03012
3,13,175,19,10.86,152,86.86,4,2.29,03013
3,14,127,3,2.36,122,96.06,2,1.57,03014
3,15,246,4,1.63,240,97.56,2,0.81,03015
3,16,426,5,1.17,421,98.83,0,0.0,03016
3,17,146,0,0.0,146,100.0,0,0.0,03017
3,18,152,2,1.32,148,97.37,2,1.32,03018
3,19,89,1,1.12,88,98.88,0,0.0,03019
3,20,52,1,1.92,51,98.08,0,0.0,03020
3,21,155,0,0.0,154,99.35,1,0.65,03021
3,22,143,2,1.4,141,98.6,0,0.0,03022
3,23,68,0,0.0,67,98.53,1,1.47,03023
3,24,183,1,0.55,181,98.91,1,0.55,03024
3,25,64,0,0.0,64,100.0,0,0.0,03025
3,26,153,0,0.0,153,100.0,0,0.0,03026
3,27,29,0,0.0,28,96.55,1,3.45,03027
3,28,160,7,4.38,153,95.63,0,0.0,03028
3,29,286,3,1.05,281,98.25,2,0.7,03029
3,30,155,0,0.0,155,100.0,0,0.0,03030
3,31,336,1,0.3,334,99.4,1,0.3,03031
3,32,180,2,1.11,178,98.89,0,0.0,03032
3,33,255,3,1.18,250,98.04,2,0.78,03033
3,34,153,3,1.96,149,97.39,1,0.65,03034
3,35,218,2,0.92,215,98.62,1,0.46,03035
3,36,132,4,3.03,128,96.97,0,0.0,03036
3,37,127,2,1.57,123,96.85,2,1.57,03037
3,38,51,0,0.0,51,100.0,0,0.0,03038
3,39,288,2,0.69,284,98.61,2,0.69,03039
3,40,229,4,1.75,225,98.25,0,0.0,03040
3,41,232,3,1.29,228,98.28,1,0.43,03041
3,42,187,1,0.53,185,98.93,1,0.53,03042
3,43,82,3,3.66,79,96.34,0,0.0,03043
3,44,119,1,0.84,117,98.32,1,0.84,03044
3,45,145,2,1.38,140,96.55,3,2.07,03045
3,46,222,2,0.9,220,99.1,0,0.0,03046
3,47,150,1,0.67,148,98.67,1,0.67,03047
3,48,201,3,1.49,198,98.51,0,0.0,03048
3,49,68,0,0.0,68,100.0,0,0.0,03049
3,50,112,0,0.0,111,99.11,1,0.89,03050
3,51,67,9,13.43,57,85.07,1,1.49,03051
3,52,113,0,0.0,112,99.12,1,0.88,03052
3,53,197,13,6.6,180,91.37,4,2.03,03053
3,54,232,37,15.95,182,78.45,13,5.6,03054
3,55,177,1,0.56,176,99.44,0,0.0,03055
3,56,187,2,1.07,183,97.86,2,1.07,03056
3,57,264,2,0.76,260,98.48,2,0.76,03057
3,58,82,1,1.22,81,98.78,0,0.0,03058
3,59,134,3,2.24,130,97.01,1,0.75,03059
3,60,214,0,0.0,214,100.0,0,0.0,03060
3,61,193,13,6.74,175,90.67,5,2.59,03061
3,62,188,3,1.6,184,97.87,1,0.53,03062
3,63,169,30,17.75,132,78.11,7,4.14,03063
4,1,275,11,4.0,254,92.36,10,3.64,04001
4,2,326,3,0.92,323,99.08,0,0.0,04002
4,3,454,8,1.76,443,97.58,3,0.66,04003
4,4,402,2,0.5,398,99.0,2,0.5,04004
4,5,321,5,1.56,313,97.51,3,0.93,04005
4,6,124,0,0.0,123,99.19,1,0.81,04006
4,7,229,1,0.44,227,99.13,1,0.44,04007
4,8,279,3,1.08,275,98.57,1,0.36,04008
4,9,550,10,1.82,538,97.82,2,0.36,04009
4,10,380,3,0.79,375,98.68,2,0.53,04010
4,11,320,6,1.88,313,97.81,1,0.31,04011
4,12,157,0,0.0,155,98.73,2,1.27,04012
4,13,243,11,4.53,231,95.06,1,0.41,04013
4,14,195,0,0.0,193,98.97,2,1.03,04014
4,15,165,6,3.64,158,95.76,1,0.61,04015
4,16,376,6,1.6,368,97.87,2,0.53,04016
4,17,340,27,7.94,309,90.88,4,1.18,04017
4,18,284,4,1.41,279,98.24,1,0.35,04018
4,19,330,3,0.91,326,98.79,1,0.3,04019
4,20,135,1,0.74,134,99.26,0,0.0,04020
4,21,383,21,5.48,359,93.73,3,0.78,04021
4,22,391,8,2.05,381,97.44,2,0.51,04022
4,23,256,11,4.3,241,94.14,4,1.56,04023
4,24,371,10,2.7,358,96.5,3,0.81,04024
4,25,316,3,0.95,311,98.42,2,0.63,04025
4,26,311,2,0.64,307,98.71,2,0.64,04026
4,27,323,2,0.62,317,98.14,4,1.24,04027
4,28,254,21,8.27,226,88.98,7,2.76,04028
4,29,241,20,8.3,219,90.87,2,0.83,04029
4,30,172,1,0.58,168,97.67,3,1.74,04030
4,31,101,1,0.99,100,99.01,0,0.0,04031
4,32,392,30,7.65,361,92.09,1,0.26,04032
4,33,114,3,2.63,109,95.61,2,1.75,04033
4,34,234,13,5.56,214,91.45,7,2.99,04034
4,35,196,1,0.51,193,98.47,2,1.02,04035
4,36,133,6,4.51,124,93.23,3,2.26,04036
4,37,178,0,0.0,176,98.88,2,1.12,04037
4,38,420,20,4.76,395,94.05,5,1.19,04038
4,39,138,0,0.0,138,100.0,0,0.0,04039
4,40,295,12,4.07,280,94.92,3,1.02,04040
4,41,155,13,8.39,137,88.39,5,3.23,04041
4,42,348,9,2.59,339,97.41,0,0.0,04042
4,43,237,20,8.44,215,90.72,2,0.84,04043
4,44,228,11,4.82,211,92.54,6,2.63,04044
4,45,479,19,3.97,458,95.62,2,0.42,04045
4,46,269,8,2.97,261,97.03,0,0.0,04046
4,47,439,20,4.56,408,92.94,11,2.51,04047
4,48,463,36,7.78,421,90.93,6,1.3,04048
4,49,108,2,1.85,103,95.37,3,2.78,04049
4,50,259,4,1.54,253,97.68,2,0.77,04050
4,51,354,5,1.41,345,97.46,4,1.13,04051
4,52,90,1,1.11,88,97.78,1,1.11,04052
4,53,17,0,0.0,17,100.0,0,0.0,04053
4,54,176,9,5.11,162,92.05,5,2.84,04054
4,55,229,8,3.49,214,93.45,7,3.06,04055
4,56,349,5,1.43,343,98.28,1,0.29,04056
4,57,160,3,1.88,153,95.63,4,2.5,04057
4,58,319,10,3.13,308,96.55,1,0.31,04058
5,1,343,2,0.58,338,98.54,3,0.87,05001
5,2,242,4,1.65,236,97.52,2,0.83,05002
5,3,167,11,6.59,151,90.42,5,2.99,05003
5,4,224,2,0.89,219,97.77,3,1.34,05004
5,5,242,5,2.07,236,97.52,1,0.41,05005
5,6,370,9,2.43,361,97.57,0,0.0,05006
5,7,334,3,0.9,326,97.6,5,1.5,05007
5,8,421,38,9.03,377,89.55,6,1.43,05008
5,9,284,4,1.41,278,97.89,2,0.7,05009
5,10,313,2,0.64,311,99.36,0,0.0,05010
5,11,333,34,10.21,295,88.59,4,1.2,05011
5,12,215,4,1.86,209,97.21,2,0.93,05012
5,13,271,2,0.74,269,99.26,0,0.0,05013
5,14,402,21,5.22,369,91.79,12,2.99,05014
5,15,291,13,4.47,270,92.78,8,2.75,05015
5,16,250,4,1.6,245,98.0,1,0.4,05016
5,17,331,1,0.3,329,99.4,1,0.3,05017
5,18,304,6,1.97,296,97.37,2,0.66,05018
5,19,153,0,0.0,150,98.04,3,1.96,05019
5,20,167,0,0.0,166,99.4,1,0.6,05020
5,21,327,3,0.92,323,98.78,1,0.31,05021
5,22,298,2,0.67,294,98.66,2,0.67,05022
5,23,236,4,1.69,231,97.88,1,0.42,05023
5,24,257,17,6.61,239,93.0,1,0.39,05024
5,25,301,5,1.66,295,98.01,1,0.33,05025
5,26,308,8,2.6,298,96.75,2,0.65,05026
5,27,388,48,12.37,333,85.82,7,1.8,05027
5,28,266,4,1.5,261,98.12,1,0.38,05028
5,29,304,4,1.32,296,97.37,4,1.32,05029
5,30,318,35,11.01,276,86.79,7,2.2,05030
5,31,272,4,1.47,267,98.16,1,0.37,05031
5,32,405,4,0.99,399,98.52,2,0.49,05032
5,33,276,1,0.36,274,99.28,1,0.36,05033
5,34,293,3,1.02,288,98.29,2,0.68,05034
5,35,213,21,9.86,187,87.79,5,2.35,05035
5,36,183,1,0.55,182,99.45,0,0.0,05036
5,37,232,14,6.03,211,90.95,7,3.02,05037
5,38,354,28,7.91,317,89.55,9,2.54,05038
5,39,330,36,10.91,291,88.18,3,0.91,05039
5,40,380,5,1.32,373,98.16,2,0.53,05040
5,41,300,28,9.33,261,87.0,11,3.67,05041
5,42,335,6,1.79,329,98.21,0,0.0,05042
5,43,313,11,3.51,300,95.85,2,0.64,05043
5,44,308,5,1.62,301,97.73,2,0.65,05044
5,45,184,3,1.63,181,98.37,0,0.0,05045
5,46,319,22,6.9,284,89.03,13,4.08,05046
5,47,255,3,1.18,252,98.82,0,0.0,05047
5,48,227,7,3.08,219,96.48,1,0.44,05048
5,49,68,1,1.47,67,98.53,0,0.0,05049
5,50,254,2,0.79,250,98.43,2,0.79,05050
5,51,247,1,0.4,246,99.6,0,0.0,05051
5,52,100,9,9.0,85,85.0,6,6.0,05052
5,53,395,18,4.56,375,94.94,2,0.51,05053
5,54,396,3,0.76,390,98.48,3,0.76,05054
6,1,355,2,0.56,351,98.87,2,0.56,06001
6,2,356,1,0.28,354,99.44,1,0.28,06002
6,3,339,3,0.88,335,98.82,1,0.29,06003
6,4,260,11,4.23,247,95.0,2,0.77,06004
6,5,194,1,0.52,191,98.45,2,1.03,06005
6,6,270,1,0.37,269,99.63,0,0.0,06006
6,7,347,3,0.86,341,98.27,3,0.86,06007
6,8,300,0,0.0,299,99.67,1,0.33,06008
6,9,244,2,0.82,241,98.77,1,0.41,06009
6,10,398,6,1.51,391,98.24,1,0.25,06010
6,11,292,3,1.03,287,98.29,2,0.68,06011
6,12,284,1,0.35,281,98.94,2,0.7,06012
6,13,284,3,1.06,280,98.59,1,0.35,06013
6,14,324,2,0.62,322,99.38,0,0.0,06014
6,15,297,7,2.36,289,97.31,1,0.34,06015
6,16,329,2,0.61,326,99.09,1,0.3,06016
6,17,375,1,0.27,372,99.2,2,0.53,06017
6,18,85,1,1.18,84,98.82,0,0.0,06018
6,19,385,5,1.3,379,98.44,1,0.26,06019
6,20,311,2,0.64,308,99.04,1,0.32,06020
6,21,293,1,0.34,292,99.66,0,0.0,06021
6,22,305,3,0.98,302,99.02,0,0.0,06022
6,23,266,2,0.75,263,98.87,1,0.38,06023
6,24,308,1,0.32,303,98.38,4,1.3,06024
6,25,199,1,0.5,195,97.99,3,1.51,06025
6,26,322,2,0.62,319,99.07,1,0.31,06026
6,27,393,5,1.27,383,97.46,5,1.27,06027
6,28,481,5,1.04,474,98.54,2,0.42,06028
6,29,372,0,0.0,371,99.73,1,0.27,06029
6,30,288,2,0.69,284,98.61,2,0.69,06030
6,31,364,3,0.82,359,98.63,2,0.55,06031
6,32,360,1,0.28,357,99.17,2,0.56,06032
6,33,371,5,1.35,363,97.84,3,0.81,06033
6,34,262,3,1.15,258,98.47,1,0.38,06034
6,35,381,6,1.57,373,97.9,2,0.52,06035
6,36,180,1,0.56,178,98.89,1,0.56,06036
6,37,347,4,1.15,339,97.69,4,1.15,06037
6,38,334,5,1.5,328,98.2,1,0.3,06038
6,39,285,1,0.35,280,98.25,4,1.4,06039
6,40,189,5,2.65,183,96.83,1,0.53,06040
6,41,319,2,0.63,315,98.75,2,0.63,06041
6,42,193,2,1.04,191,98.96,0,0.0,06042
6,43,366,1,0.27,364,99.45,1,0.27,06043
6,44,324,2,0.62,321,99.07,1,0.31,06044
6,45,197,5,2.54,192,97.46,0,0.0,06045
6,46,289,3,1.04,286,98.96,0,0.0,06046
6,47,318,4,1.26,314,98.74,0,0.0,06047
6,48,350,2,0.57,347,99.14,1,0.29,06048
6,49,330,5,1.52,322,97.58,3,0.91,06049
6,50,294,1,0.34,291,98.98,2,0.68,06050
6,51,257,2,0.78,252,98.05,3,1.17,06051
6,52,253,2,0.79,250,98.81,1,0.4,06052
6,53,278,6,2.16,272,97.84,0,0.0,06053
6,54,283,2,0.71,281,99.29,0,0.0,06054
6,55,278,1,0.36,276,99.28,1,0.36,06055
6,56,243,1,0.41,242,99.59,0,0.0,06056
6,57,174,0,0.0,173,99.43,1,0.57,06057
6,58,325,5,1.54,317,97.54,3,0.92,06058
6,59,258,2,0.78,256,99.22,0,0.0,06059
6,60,216,0,0.0,216,100.0,0,0.0,06060
6,61,217,1,0.46,216,99.54,0,0.0,06061
6,62,118,1,0.85,117,99.15,0,0.0,06062
6,63,263,2,0.76,259,98.48,2,0.76,06063
6,64,361,3,0.83,358,99.17,0,0.0,06064
6,65,111,2,1.8,109,98.2,0,0.0,06065
6,66,319,2,0.63,317,99.37,0,0.0,06066
7,1,321,2,0.62,318,99.07,1,0.31,07001
