ward,precinct,total,JANICE L. BERMAN,JANICE L. BERMAN Percent,WILLIAM TIMOTHY O'BRIEN,WILLIAM TIMOTHY O'BRIEN Percent,precinct_id
1,7,17,6,35.29,11,64.71,01007
30,1,186,55,29.57,131,70.43,30001
30,3,123,31,25.2,92,74.8,30003
30,8,20,4,20.0,16,80.0,30008
30,15,186,69,37.1,117,62.9,30015
32,9,212,61,28.77,151,71.23,32009
32,15,69,22,31.88,47,68.12,32015
32,19,104,34,32.69,70,67.31,32019
32,21,233,67,28.76,166,71.24,32021
32,22,317,77,24.29,240,75.71,32022
32,25,224,52,23.21,172,76.79,32025
33,5,117,26,22.22,91,77.78,33005
33,14,195,33,16.92,162,83.08,33014
33,18,103,25,24.27,78,75.73,33018
33,29,244,63,25.82,181,74.18,33029
33,34,158,35,22.15,123,77.85,33034
35,22,67,14,20.9,53,79.1,35022
35,33,102,19,18.63,83,81.37,35033
38,1,252,66,26.19,186,73.81,38001
38,4,113,39,34.51,74,65.49,38004
38,5,336,84,25.0,252,75.0,38005
38,7,268,80,29.85,188,70.15,38007
38,10,99,28,28.28,71,71.72,38010
38,41,269,71,26.39,198,73.61,38041
38,42,237,73,30.8,164,69.2,38042
39,1,226,89,39.38,137,60.62,39001
39,2,282,78,27.66,204,72.34,39002
39,3,263,63,23.95,200,76.05,39003
39,4,168,52,30.95,116,69.05,39004
39,5,181,62,34.25,119,65.75,39005
39,6,244,98,40.16,146,59.84,39006
39,7,161,42,26.09,119,73.91,39007
39,8,291,58,19.93,233,80.07,39008
39,9,286,75,26.22,211,73.78,39009
39,10,199,44,22.11,155,77.89,39010
39,11,292,75,25.68,217,74.32,39011
39,12,171,25,14.62,146,85.38,39012
39,13,138,41,29.71,97,70.29,39013
39,14,206,55,26.7,151,73.3,39014
39,15,227,80,35.24,147,64.76,39015
39,16,153,44,28.76,109,71.24,39016
39,17,172,45,26.16,127,73.84,39017
39,18,249,80,32.13,169,67.87,39018
39,19,182,46,25.27,136,74.73,39019
39,20,207,79,38.16,128,61.84,39020
39,21,149,30,20.13,119,79.87,39021
39,22,170,31,18.24,139,81.76,39022
39,23,123,27,21.95,96,78.05,39023
39,24,120,17,14.17,103,85.83,39024
39,25,239,89,37.24,150,62.76,39025
39,26,231,90,38.96,141,61.04,39026
39,27,236,74,31.36,162,68.64,39027
39,28,234,67,28.63,167,71.37,39028
39,29,228,69,30.26,159,69.74,39029
39,30,151,32,21.19,119,78.81,39030
39,31,140,32,22.86,108,77.14,39031
39,33,261,89,34.1,172,65.9,39033
39,34,292,88,30.14,204,69.86,39034
39,35,254,86,33.86,168,66.14,39035
39,36,247,59,23.89,188,76.11,39036
39,37,333,117,35.14,216,64.86,39037
39,38,253,80,31.62,173,68.38,39038
39,39,116,28,24.14,88,75.86,39039
39,40,157,60,38.22,97,61.78,39040
39,41,44,13,29.55,31,70.45,39041
39,42,224,72,32.14,152,67.86,39042
39,43,241,91,37.76,150,62.24,39043
39,44,239,56,23.43,183,76.57,39044
39,45,113,23,20.35,90,79.65,39045
39,46,166,35,21.08,131,78.92,39046
39,47,150,57,38.0,93,62.0,39047
40,1,159,47,29.56,112,70.44,40001
40,2,166,40,24.1,126,75.9,40002
40,5,104,23,22.12,81,77.88,40005
40,6,193,30,15.54,163,84.46,40006
40,8,64,17,26.56,47,73.44,40008
40,10,256,57,22.27,199,77.73,40010
40,14,198,43,21.72,155,78.28,40014
40,15,238,51,21.43,187,78.57,40015
40,17,115,27,23.48,88,76.52,40017
40,18,29,7,24.14,22,75.86,40018
40,19,196,63,32.14,133,67.86,40019
40,20,173,51,29.48,122,70.52,40020
40,21,206,44,21.36,162,78.64,40021
40,24,131,35,26.72,96,73.28,40024
40,25,166,44,26.51,122,73.49,40025
40,29,263,64,24.33,199,75.67,40029
40,30,264,70,26.52,194,73.48,40030
40,31,212,56,26.42,156,73.58,40031
40,32,138,45,32.61,93,67.39,40032
40,34,145,31,21.38,114,78.62,40034
40,36,212,51,24.06,161,75.94,40036
40,38,117,28,23.93,89,76.07,40038
40,44,157,35,22.29,122,77.71,40044
40,48,149,49,32.89,100,67.11,40048
40,49,130,46,35.38,84,64.62,40049
41,1,226,82,36.28,144,63.72,41001
41,2,354,120,33.9,234,66.1,41002
41,3,192,68,35.42,124,64.58,41003
41,4,268,76,28.36,192,71.64,41004
41,5,384,145,37.76,239,62.24,41005
41,6,254,89,35.04,165,64.96,41006
41,7,399,130,32.58,269,67.42,41007
41,8,248,91,36.69,157,63.31,41008
41,9,225,78,34.67,147,65.33,41009
41,10,283,107,37.81,176,62.19,41010
41,11,225,92,40.89,133,59.11,41011
41,12,323,114,35.29,209,64.71,41012
41,13,237,77,32.49,160,67.51,41013
41,14,327,119,36.39,208,63.61,41014
41,15,195,74,37.95,121,62.05,41015
41,16,273,95,34.8,178,65.2,41016
41,17,278,108,38.85,170,61.15,41017
41,18,197,72,36.55,125,63.45,41018
41,19,261,103,39.46,158,60.54,41019
41,20,295,105,35.59,190,64.41,41020
41,21,327,135,41.28,192,58.72,41021
41,22,241,89,36.93,152,63.07,41022
41,23,259,90,34.75,169,65.25,41023
41,24,201,98,48.76,103,51.24,41024
41,30,248,96,38.71,152,61.29,41030
41,31,310,129,41.61,181,58.39,41031
41,32,232,108,46.55,124,53.45,41032
41,33,258,103,39.92,155,60.08,41033
41,34,259,113,43.63,146,56.37,41034
41,35,265,92,34.72,173,65.28,41035
41,36,287,110,38.33,177,61.67,41036
41,37,328,138,42.07,190,57.93,41037
41,39,235,83,35.32,152,64.68,41039
41,40,235,92,39.15,143,60.85,41040
41,41,266,107,40.23,159,59.77,41041
41,42,267,90,33.71,177,66.29,41042
41,43,228,82,35.96,146,64.04,41043
41,44,234,97,41.45,137,58.55,41044
41,45,216,67,31.02,149,68.98,41045
41,46,223,79,35.43,144,64.57,41046
41,49,219,66,30.14,153,69.86,41049
41,50,267,99,37.08,168,62.92,41050
41,51,226,85,37.61,141,62.39,41051
41,52,289,129,44.64,160,55.36,41052
41,53,328,155,47.26,173,52.74,41053
41,55,268,107,39.93,161,60.07,41055
41,56,331,121,36.56,210,63.44,41056
41,57,260,110,42.31,150,57.69,41057
41,58,203,83,40.89,120,59.11,41058
41,59,237,84,35.44,153,64.56,41059
41,60,219,84,38.36,135,61.64,41060
41,61,349,105,30.09,244,69.91,41061
41,62,253,94,37.15,159,62.85,41062
41,63,261,87,33.33,174,66.67,41063
41,64,275,120,43.64,155,56.36,41064
41,65,336,128,38.1,208,61.9,41065
41,66,289,87,30.1,202,69.9,41066
41,68,185,61,32.97,124,67.03,41068
41,69,144,41,28.47,103,71.53,41069
45,2,297,92,30.98,205,69.02,45002
45,3,360,73,20.28,287,79.72,45003
45,4,326,125,38.34,201,61.66,45004
45,5,333,121,36.34,212,63.66,45005
45,6,261,73,27.97,188,72.03,45006
45,7,246,72,29.27,174,70.73,45007
45,8,236,73,30.93,163,69.07,45008
45,9,307,105,34.2,202,65.8,45009
45,10,320,98,30.63,222,69.38,45010
45,11,262,91,34.73,171,65.27,45011
45,12,272,80,29.41,192,70.59,45012
45,13,310,93,30.0,217,70.0,45013
45,14,301,88,29.24,213,70.76,45014
45,15,313,89,28.43,224,71.57,45015
45,16,281,73,25.98,208,74.02,45016
45,17,252,91,36.11,161,63.89,45017
45,18,264,53,20.08,211,79.92,45018
45,19,302,98,32.45,204,67.55,45019
45,20,273,81,29.67,192,70.33,45020
45,21,279,106,37.99,173,62.01,45021
45,22,240,97,40.42,143,59.58,45022
45,23,301,98,32.56,203,67.44,45023
45,24,322,118,36.65,204,63.35,45024
45,25,287,81,28.22,206,71.78,45025
45,26,297,90,30.3,207,69.7,45026
45,27,272,57,20.96,215,79.04,45027
45,28,256,59,23.05,197,76.95,45028
45,29,252,77,30.56,175,69.44,45029
45,30,269,108,40.15,161,59.85,45030
45,31,258,63,24.42,195,75.58,45031
45,32,202,71,35.15,131,64.85,45032
45,33,251,84,33.47,167,66.53,45033
45,34,223,66,29.6,157,70.4,45034
45,35,269,105,39.03,164,60.97,45035
45,36,247,85,34.41,162,65.59,45036
45,37,212,58,27.36,154,72.64,45037
45,38,316,79,25.0,237,75.0,45038
45,39,299,75,25.08,224,74.92,45039
45,40,318,95,29.87,223,70.13,45040
45,41,198,63,31.82,135,68.18,45041
45,42,228,56,24.56,172,75.44,45042
45,43,248,60,24.19,188,75.81,45043
45,44,302,91,30.13,211,69.87,45044
45,45,239,73,30.54,166,69.46,45045
45,46,286,85,29.72,201,70.28,45046
45,47,296,95,32.09,201,67.91,45047
45,48,219,65,29.68,154,70.32,45048
45,49,263,104,39.54,159,60.46,45049
45,50,241,79,32.78,162,67.22,45050
45,51,273,105,38.46,168,61.54,45051
45,52,251,80,31.87,171,68.13,45052
45,53,252,78,30.95,174,69.05,45053
46,21,61,14,22.95,47,77.05,46021
47,1,282,51,18.09,231,81.91,47001
47,2,252,61,24.21,191,75.79,47002
47,3,229,47,20.52,182,79.48,47003
47,4,305,87,28.52,218,71.48,47004
47,5,240,63,26.25,177,73.75,47005
47,6,316,92,29.11,224,70.89,47006
47,7,264,68,25.76,196,74.24,47007
47,8,356,73,20.51,283,79.49,47008
47,9,176,24,13.64,152,86.36,47009
47,10,228,30,13.16,198,86.84,47010
47,11,431,74,17.17,357,82.83,47011
47,12,267,62,23.22,205,76.78,47012
47,13,418,83,19.86,335,80.14,47013
47,14,195,38,19.49,157,80.51,47014
47,16,271,43,15.87,228,84.13,47016
47,17,246,56,22.76,190,77.24,47017
47,19,302,56,18.54,246,81.46,47019
47,20,274,67,24.45,207,75.55,47020
47,21,35,12,34.29,23,65.71,47021
47,22,273,54,19.78,219,80.22,47022
47,25,323,100,30.96,223,69.04,47025
47,26,398,81,20.35,317,79.65,47026
47,27,275,72,26.18,203,73.82,47027
47,28,364,89,24.45,275,75.55,47028
47,29,296,81,27.36,215,72.64,47029
47,30,289,71,24.57,218,75.43,47030
47,31,263,60,22.81,203,77.19,47031
47,32,300,62,20.67,238,79.33,47032
47,33,257,46,17.9,211,82.1,47033
47,34,323,70,21.67,253,78.33,47034
47,35,386,96,24.87,290,75.13,47035
47,36,374,72,19.25,302,80.75,47036
47,37,357,88,24.65,269,75.35,47037
47,38,286,62,21.68,224,78.32,47038
47,39,293,79,26.96,214,73.04,47039
47,42,206,37,17.96,169,82.04,47042
47,43,209,55,26.32,154,73.68,47043
47,45,262,70,26.72,192,73.28,47045
47,46,220,65,29.55,155,70.45,47046
47,47,275,83,30.18,192,69.82,47047
47,48,34,3,8.82,31,91.18,47048
47,49,233,58,24.89,175,75.11,47049
47,50,194,59,30.41,135,69.59,47050
47,51,192,53,27.6,139,72.4,47051
48,49,22,4,18.18,18,81.82,48049
50,8,203,54,26.6,149,73.4,50008
50,23,148,65,43.92,83,56.08,50023
50,29,225,65,28.89,160,71.11,50029
50,45,55,25,45.45,30,54.55,50045
