ward,precinct,total,"WAYLAND JOHNSON, JR.","WAYLAND JOHNSON, JR. Percent","ROBERT """"BOB"""" RITA","ROBERT """"BOB"""" RITA Percent",JEROME F. KOHN,JEROME F. KOHN Percent,precinct_id
9,1,330,15,4.55,313,94.85,2,0.61,09001
9,2,345,9,2.61,333,96.52,3,0.87,09002
9,5,317,12,3.79,302,95.27,3,0.95,09005
9,9,322,9,2.8,312,96.89,1,0.31,09009
9,12,302,12,3.97,283,93.71,7,2.32,09012
9,13,386,13,3.37,363,94.04,10,2.59,09013
9,14,386,12,3.11,366,94.82,8,2.07,09014
9,17,279,9,3.23,269,96.42,1,0.36,09017
9,18,19,0,0.0,19,100.0,0,0.0,09018
9,22,356,15,4.21,334,93.82,7,1.97,09022
9,23,235,26,11.06,203,86.38,6,2.55,09023
9,29,269,8,2.97,257,95.54,4,1.49,09029
9,31,259,29,11.2,225,86.87,5,1.93,09031
9,32,310,11,3.55,295,95.16,4,1.29,09032
9,34,293,16,5.46,271,92.49,6,2.05,09034
9,35,289,15,5.19,264,91.35,10,3.46,09035
9,38,306,9,2.94,289,94.44,8,2.61,09038
9,40,318,22,6.92,289,90.88,7,2.2,09040
9,43,231,14,6.06,212,91.77,5,2.16,09043
9,46,272,15,5.51,253,93.01,4,1.47,09046
9,48,299,17,5.69,274,91.64,8,2.68,09048
9,52,282,8,2.84,268,95.04,6,2.13,09052
9,53,17,0,0.0,17,100.0,0,0.0,09053
9,55,30,0,0.0,30,100.0,0,0.0,09055
34,2,266,13,4.89,251,94.36,2,0.75,34002
34,3,198,6,3.03,190,95.96,2,1.01,34003
34,4,253,3,1.19,246,97.23,4,1.58,34004
34,5,220,4,1.82,213,96.82,3,1.36,34005
34,9,260,9,3.46,246,94.62,5,1.92,34009
34,10,368,25,6.79,340,92.39,3,0.82,34010
34,11,235,9,3.83,223,94.89,3,1.28,34011
34,14,230,9,3.91,213,92.61,8,3.48,34014
34,15,212,6,2.83,204,96.23,2,0.94,34015
34,16,220,3,1.36,211,95.91,6,2.73,34016
34,17,257,3,1.17,248,96.5,6,2.33,34017
34,18,216,5,2.31,207,95.83,4,1.85,34018
34,19,206,7,3.4,196,95.15,3,1.46,34019
34,20,339,17,5.01,318,93.81,4,1.18,34020
34,22,321,14,4.36,305,95.02,2,0.62,34022
34,23,244,15,6.15,224,91.8,5,2.05,34023
34,24,268,8,2.99,255,95.15,5,1.87,34024
34,26,235,8,3.4,221,94.04,6,2.55,34026
34,27,207,8,3.86,197,95.17,2,0.97,34027
34,28,181,3,1.66,177,97.79,1,0.55,34028
34,30,359,20,5.57,334,93.04,5,1.39,34030
34,31,196,7,3.57,182,92.86,7,3.57,34031
34,36,261,7,2.68,251,96.17,3,1.15,34036
34,37,175,2,1.14,173,98.86,0,0.0,34037
34,38,194,2,1.03,185,95.36,7,3.61,34038
34,39,197,5,2.54,188,95.43,4,2.03,34039
34,40,312,7,2.24,295,94.55,10,3.21,34040
34,41,258,9,3.49,244,94.57,5,1.94,34041
34,42,318,13,4.09,295,92.77,10,3.14,34042
34,43,291,11,3.78,274,94.16,6,2.06,34043
34,50,249,5,2.01,240,96.39,4,1.61,34050
34,52,234,4,1.71,228,97.44,2,0.85,34052
34,53,247,9,3.64,232,93.93,6,2.43,34053
34,54,227,4,1.76,219,96.48,4,1.76,34054
34,55,203,10,4.93,191,94.09,2,0.99,34055
34,56,237,11,4.64,222,93.67,4,1.69,34056
34,57,197,8,4.06,186,94.42,3,1.52,34057
34,58,223,9,4.04,212,95.07,2,0.9,34058
34,59,233,4,1.72,225,96.57,4,1.72,34059
34,60,193,1,0.52,191,98.96,1,0.52,34060
34,61,215,7,3.26,200,93.02,8,3.72,34061
34,63,239,3,1.26,234,97.91,2,0.84,34063
