ward,precinct,total,RICHARD T. BRADLEY,RICHARD T. BRADLEY Percent,precinct_id
1,7,169,169,100.0,01007
1,16,127,127,100.0,01016
1,19,240,240,100.0,01019
1,28,136,136,100.0,01028
1,39,114,114,100.0,01039
30,1,189,189,100.0,30001
30,3,236,236,100.0,30003
30,7,144,144,100.0,30007
30,8,221,221,100.0,30008
30,13,168,168,100.0,30013
30,14,67,67,100.0,30014
30,15,180,180,100.0,30015
30,16,138,138,100.0,30016
30,30,193,193,100.0,30030
30,38,250,250,100.0,30038
30,39,177,177,100.0,30039
31,8,115,115,100.0,31008
31,26,86,86,100.0,31026
33,1,238,238,100.0,33001
33,2,324,324,100.0,33002
33,3,189,189,100.0,33003
33,4,234,234,100.0,33004
33,5,121,121,100.0,33005
33,6,270,270,100.0,33006
33,9,161,161,100.0,33009
33,11,279,279,100.0,33011
33,12,296,296,100.0,33012
33,13,306,306,100.0,33013
33,14,198,198,100.0,33014
33,15,215,215,100.0,33015
33,17,282,282,100.0,33017
33,18,45,45,100.0,33018
33,19,236,236,100.0,33019
33,20,199,199,100.0,33020
33,21,299,299,100.0,33021
33,22,310,310,100.0,33022
33,23,334,334,100.0,33023
33,25,347,347,100.0,33025
33,26,213,213,100.0,33026
33,27,154,154,100.0,33027
33,29,251,251,100.0,33029
33,30,212,212,100.0,33030
33,31,252,252,100.0,33031
33,32,231,231,100.0,33032
33,33,191,191,100.0,33033
33,34,152,152,100.0,33034
35,1,5,5,100.0,35001
35,4,292,292,100.0,35004
35,22,71,71,100.0,35022
35,24,12,12,100.0,35024
35,26,282,282,100.0,35026
35,33,136,136,100.0,35033
38,10,31,31,100.0,38010
38,24,152,152,100.0,38024
38,34,122,122,100.0,38034
39,12,107,107,100.0,39012
39,13,142,142,100.0,39013
39,22,159,159,100.0,39022
39,23,136,136,100.0,39023
39,24,122,122,100.0,39024
39,27,213,213,100.0,39027
39,28,239,239,100.0,39028
39,29,230,230,100.0,39029
39,30,147,147,100.0,39030
39,31,143,143,100.0,39031
39,44,230,230,100.0,39044
39,46,180,180,100.0,39046
