ward,precinct,total,MARK A. AUGUSTI,MARK A. AUGUSTI Percent,RAHM EMANUEL,RAHM EMANUEL Percent,FRANK GONZALEZ,FRANK GONZALEZ Percent,precinct_id
1,7,35,6,17.14,27,77.14,2,5.71,01007
1,28,111,29,26.13,71,63.96,11,9.91,01028
29,2,115,26,22.61,80,69.57,9,7.83,29002
29,9,127,37,29.13,80,62.99,10,7.87,29009
29,24,125,22,17.6,94,75.2,9,7.2,29024
29,32,214,51,23.83,142,66.36,21,9.81,29032
29,53,112,11,9.82,87,77.68,14,12.5,29053
29,54,203,56,27.59,134,66.01,13,6.4,29054
30,1,236,70,29.66,152,64.41,14,5.93,30001
30,2,155,42,27.1,100,64.52,13,8.39,30002
30,3,305,73,23.93,206,67.54,26,8.52,30003
30,7,179,30,16.76,132,73.74,17,9.5,30007
30,8,269,64,23.79,177,65.8,28,10.41,30008
30,9,224,49,21.88,154,68.75,21,9.38,30009
30,10,242,57,23.55,166,68.6,19,7.85,30010
30,11,191,37,19.37,142,74.35,12,6.28,30011
30,12,179,31,17.32,131,73.18,17,9.5,30012
30,13,202,45,22.28,141,69.8,16,7.92,30013
30,14,83,16,19.28,60,72.29,7,8.43,30014
30,15,225,71,31.56,146,64.89,8,3.56,30015
30,16,192,50,26.04,122,63.54,20,10.42,30016
30,17,272,51,18.75,198,72.79,23,8.46,30017
30,25,31,9,29.03,19,61.29,3,9.68,30025
30,28,170,37,21.76,119,70.0,14,8.24,30028
30,30,228,35,15.35,170,74.56,23,10.09,30030
30,34,191,30,15.71,145,75.92,16,8.38,30034
30,37,182,42,23.08,117,64.29,23,12.64,30037
30,38,288,45,15.63,230,79.86,13,4.51,30038
30,39,212,52,24.53,142,66.98,18,8.49,30039
30,40,204,44,21.57,135,66.18,25,12.25,30040
31,3,167,34,20.36,122,73.05,11,6.59,31003
31,8,134,23,17.16,99,73.88,12,8.96,31008
31,9,191,26,13.61,154,80.63,11,5.76,31009
31,15,116,28,24.14,78,67.24,10,8.62,31015
31,16,63,14,22.22,43,68.25,6,9.52,31016
31,19,158,24,15.19,120,75.95,14,8.86,31019
31,26,103,27,26.21,68,66.02,8,7.77,31026
31,28,172,16,9.3,143,83.14,13,7.56,31028
31,29,143,28,19.58,100,69.93,15,10.49,31029
31,32,160,34,21.25,110,68.75,16,10.0,31032
31,33,162,38,23.46,107,66.05,17,10.49,31033
31,35,26,3,11.54,22,84.62,1,3.85,31035
31,38,101,18,17.82,73,72.28,10,9.9,31038
31,41,153,36,23.53,98,64.05,19,12.42,31041
31,43,211,44,20.85,151,71.56,16,7.58,31043
31,45,157,32,20.38,109,69.43,16,10.19,31045
31,46,155,24,15.48,117,75.48,14,9.03,31046
31,47,202,40,19.8,141,69.8,21,10.4,31047
31,48,147,34,23.13,100,68.03,13,8.84,31048
31,50,229,50,21.83,157,68.56,22,9.61,31050
32,7,239,82,34.31,140,58.58,17,7.11,32007
32,8,418,156,37.32,251,60.05,11,2.63,32008
32,9,454,122,26.87,318,70.04,14,3.08,32009
32,10,305,103,33.77,198,64.92,4,1.31,32010
32,13,156,48,30.77,105,67.31,3,1.92,32013
32,15,265,66,24.91,188,70.94,11,4.15,32015
32,18,294,109,37.07,177,60.2,8,2.72,32018
32,19,278,47,16.91,215,77.34,16,5.76,32019
32,20,313,89,28.43,210,67.09,14,4.47,32020
32,21,285,60,21.05,219,76.84,6,2.11,32021
32,22,383,77,20.1,292,76.24,14,3.66,32022
32,23,333,95,28.53,229,68.77,9,2.7,32023
32,24,286,95,33.22,181,63.29,10,3.5,32024
32,25,260,48,18.46,193,74.23,19,7.31,32025
32,27,264,77,29.17,178,67.42,9,3.41,32027
32,30,263,80,30.42,178,67.68,5,1.9,32030
32,32,330,126,38.18,197,59.7,7,2.12,32032
32,37,274,59,21.53,204,74.45,11,4.01,32037
32,38,324,79,24.38,231,71.3,14,4.32,32038
32,39,418,135,32.3,271,64.83,12,2.87,32039
32,40,362,110,30.39,243,67.13,9,2.49,32040
32,41,382,108,28.27,261,68.32,13,3.4,32041
32,42,382,76,19.9,286,74.87,20,5.24,32042
32,43,370,132,35.68,231,62.43,7,1.89,32043
32,44,190,44,23.16,141,74.21,5,2.63,32044
32,45,277,55,19.86,208,75.09,14,5.05,32045
32,47,350,130,37.14,216,61.71,4,1.14,32047
32,48,444,155,34.91,275,61.94,14,3.15,32048
32,49,239,72,30.13,158,66.11,9,3.77,32049
32,50,62,19,30.65,42,67.74,1,1.61,32050
33,5,138,16,11.59,109,78.99,13,9.42,33005
33,7,309,48,15.53,249,80.58,12,3.88,33007
33,10,398,38,9.55,346,86.93,14,3.52,33010
33,14,240,29,12.08,189,78.75,22,9.17,33014
33,16,106,34,32.08,65,61.32,7,6.6,33016
33,18,129,27,20.93,91,70.54,11,8.53,33018
33,22,240,27,11.25,197,82.08,16,6.67,33022
33,23,408,67,16.42,303,74.26,38,9.31,33023
33,24,310,49,15.81,251,80.97,10,3.23,33024
33,25,406,64,15.76,311,76.6,31,7.64,33025
33,28,305,51,16.72,242,79.34,12,3.93,33028
33,29,287,50,17.42,213,74.22,24,8.36,33029
33,34,196,36,18.37,150,76.53,10,5.1,33034
35,22,85,12,14.12,65,76.47,8,9.41,35022
35,33,225,44,19.56,162,72.0,19,8.44,35033
36,1,283,73,25.8,204,72.08,6,2.12,36001
36,2,224,58,25.89,155,69.2,11,4.91,36002
36,3,269,29,10.78,219,81.41,21,7.81,36003
36,5,240,87,36.25,149,62.08,4,1.67,36005
36,6,305,86,28.2,205,67.21,14,4.59,36006
36,7,267,96,35.96,160,59.93,11,4.12,36007
36,8,295,100,33.9,185,62.71,10,3.39,36008
36,9,310,113,36.45,185,59.68,12,3.87,36009
36,10,195,59,30.26,129,66.15,7,3.59,36010
36,11,399,115,28.82,271,67.92,13,3.26,36011
36,12,231,74,32.03,153,66.23,4,1.73,36012
36,13,446,109,24.44,318,71.3,19,4.26,36013
36,14,336,69,20.54,252,75.0,15,4.46,36014
36,15,320,68,21.25,233,72.81,19,5.94,36015
36,16,419,87,20.76,326,77.8,6,1.43,36016
36,17,273,120,43.96,146,53.48,7,2.56,36017
36,18,364,156,42.86,202,55.49,6,1.65,36018
36,19,345,75,21.74,250,72.46,20,5.8,36019
36,20,434,111,25.58,308,70.97,15,3.46,36020
36,21,485,135,27.84,332,68.45,18,3.71,36021
36,22,430,119,27.67,292,67.91,19,4.42,36022
36,25,234,72,30.77,151,64.53,11,4.7,36025
36,26,356,121,33.99,221,62.08,14,3.93,36026
36,27,168,56,33.33,106,63.1,6,3.57,36027
36,28,246,88,35.77,154,62.6,4,1.63,36028
36,29,305,79,25.9,219,71.8,7,2.3,36029
36,30,393,126,32.06,251,63.87,16,4.07,36030
36,31,384,116,30.21,257,66.93,11,2.86,36031
36,32,334,87,26.05,234,70.06,13,3.89,36032
36,33,80,14,17.5,64,80.0,2,2.5,36033
36,34,252,84,33.33,160,63.49,8,3.17,36034
36,35,400,97,24.25,296,74.0,7,1.75,36035
36,36,274,73,26.64,191,69.71,10,3.65,36036
36,37,272,107,39.34,152,55.88,13,4.78,36037
36,38,215,50,23.26,159,73.95,6,2.79,36038
36,39,308,99,32.14,200,64.94,9,2.92,36039
36,40,378,120,31.75,245,64.81,13,3.44,36040
36,41,254,61,24.02,178,70.08,15,5.91,36041
36,42,269,80,29.74,179,66.54,10,3.72,36042
36,43,245,59,24.08,173,70.61,13,5.31,36043
36,45,262,57,21.76,201,76.72,4,1.53,36045
36,46,276,92,33.33,177,64.13,7,2.54,36046
36,47,225,68,30.22,147,65.33,10,4.44,36047
36,48,333,112,33.63,212,63.66,9,2.7,36048
36,49,374,145,38.77,213,56.95,16,4.28,36049
36,50,311,83,26.69,219,70.42,9,2.89,36050
36,51,350,56,16.0,272,77.71,22,6.29,36051
36,52,293,69,23.55,207,70.65,17,5.8,36052
36,53,199,53,26.63,137,68.84,9,4.52,36053
36,55,320,86,26.88,225,70.31,9,2.81,36055
37,52,2,0,0.0,2,100.0,0,0.0,37052
38,1,301,86,28.57,205,68.11,10,3.32,38001
38,2,228,81,35.53,138,60.53,9,3.95,38002
38,3,261,82,31.42,165,63.22,14,5.36,38003
38,4,134,37,27.61,87,64.93,10,7.46,38004
38,5,396,88,22.22,296,74.75,12,3.03,38005
38,6,259,81,31.27,162,62.55,16,6.18,38006
38,7,320,77,24.06,225,70.31,18,5.63,38007
38,8,194,67,34.54,117,60.31,10,5.15,38008
38,9,242,61,25.21,165,68.18,16,6.61,38009
38,10,358,103,28.77,241,67.32,14,3.91,38010
38,11,217,58,26.73,149,68.66,10,4.61,38011
38,12,323,92,28.48,217,67.18,14,4.33,38012
38,13,246,64,26.02,171,69.51,11,4.47,38013
38,14,237,71,29.96,160,67.51,6,2.53,38014
38,15,199,52,26.13,139,69.85,8,4.02,38015
38,16,308,79,25.65,211,68.51,18,5.84,38016
38,17,205,33,16.1,159,77.56,13,6.34,38017
38,18,269,113,42.01,149,55.39,7,2.6,38018
38,19,318,104,32.7,206,64.78,8,2.52,38019
38,20,306,96,31.37,203,66.34,7,2.29,38020
38,21,285,96,33.68,179,62.81,10,3.51,38021
38,22,264,94,35.61,157,59.47,13,4.92,38022
38,23,214,69,32.24,137,64.02,8,3.74,38023
