ward,precinct,total,ROBERTO GARCIA,ROBERTO GARCIA Percent,MARTIN A. SANDOVAL,MARTIN A. SANDOVAL Percent,precinct_id
13,3,325,68,20.92,257,79.08,13003
13,18,278,38,13.67,240,86.33,13018
13,20,287,56,19.51,231,80.49,13020
13,31,291,33,11.34,258,88.66,13031
14,1,174,32,18.39,142,81.61,14001
14,2,181,43,23.76,138,76.24,14002
14,3,269,44,16.36,225,83.64,14003
14,4,189,33,17.46,156,82.54,14004
14,5,269,32,11.9,237,88.1,14005
14,6,177,53,29.94,124,70.06,14006
14,9,218,41,18.81,177,81.19,14009
14,11,188,21,11.17,167,88.83,14011
14,13,249,55,22.09,194,77.91,14013
14,15,263,25,9.51,238,90.49,14015
14,24,138,19,13.77,119,86.23,14024
14,25,226,46,20.35,180,79.65,14025
14,27,147,41,27.89,106,72.11,14027
14,28,235,60,25.53,175,74.47,14028
14,32,178,31,17.42,147,82.58,14032
14,34,155,24,15.48,131,84.52,14034
14,35,107,33,30.84,74,69.16,14035
15,1,73,11,15.07,62,84.93,15001
15,10,189,50,26.46,139,73.54,15010
15,16,161,38,23.6,123,76.4,15016
16,17,283,75,26.5,208,73.5,16017
16,32,80,13,16.25,67,83.75,16032
16,39,105,29,27.62,76,72.38,16039
22,2,122,26,21.31,96,78.69,22002
22,3,137,23,16.79,114,83.21,22003
22,4,183,25,13.66,158,86.34,22004
22,5,199,34,17.09,165,82.91,22005
22,6,178,59,33.15,119,66.85,22006
22,10,162,33,20.37,129,79.63,22010
22,12,124,34,27.42,90,72.58,22012
22,13,220,35,15.91,185,84.09,22013
22,14,128,15,11.72,113,88.28,22014
22,16,215,36,16.74,179,83.26,22016
22,17,162,33,20.37,129,79.63,22017
22,18,175,31,17.71,144,82.29,22018
22,20,204,30,14.71,174,85.29,22020
22,23,111,19,17.12,92,82.88,22023
22,24,147,25,17.01,122,82.99,22024
22,25,134,20,14.93,114,85.07,22025
22,26,138,18,13.04,120,86.96,22026
22,27,178,33,18.54,145,81.46,22027
22,28,88,10,11.36,78,88.64,22028
22,30,195,56,28.72,139,71.28,22030
23,5,247,60,24.29,187,75.71,23005
23,6,346,98,28.32,248,71.68,23006
23,7,41,1,2.44,40,97.56,23007
23,9,264,67,25.38,197,74.62,23009
23,10,393,63,16.03,330,83.97,23010
23,14,111,7,6.31,104,93.69,23014
23,24,227,67,29.52,160,70.48,23024
23,25,224,64,28.57,160,71.43,23025
23,29,275,59,21.45,216,78.55,23029
23,31,284,96,33.8,188,66.2,23031
23,32,337,81,24.04,256,75.96,23032
23,33,340,72,21.18,268,78.82,23033
23,37,53,5,9.43,48,90.57,23037
23,41,319,79,24.76,240,75.24,23041
23,50,212,49,23.11,163,76.89,23050
23,51,277,59,21.3,218,78.7,23051
23,53,234,46,19.66,188,80.34,23053
