ward,precinct,total,"ANTONIO """"TONY"""" MUNOZ","ANTONIO """"TONY"""" MUNOZ Percent",precinct_id
11,1,254,254,100.0,11001
11,2,210,210,100.0,11002
11,3,195,195,100.0,11003
11,4,309,309,100.0,11004
11,5,175,175,100.0,11005
11,6,336,336,100.0,11006
11,7,260,260,100.0,11007
11,8,260,260,100.0,11008
11,9,246,246,100.0,11009
11,10,145,145,100.0,11010
11,11,283,283,100.0,11011
11,16,265,265,100.0,11016
11,17,326,326,100.0,11017
11,18,189,189,100.0,11018
11,19,215,215,100.0,11019
11,20,211,211,100.0,11020
11,21,339,339,100.0,11021
11,22,224,224,100.0,11022
11,24,381,381,100.0,11024
11,25,179,179,100.0,11025
11,26,364,364,100.0,11026
11,29,317,317,100.0,11029
11,30,250,250,100.0,11030
11,38,368,368,100.0,11038
11,40,156,156,100.0,11040
11,41,140,140,100.0,11041
11,44,232,232,100.0,11044
11,45,156,156,100.0,11045
11,47,223,223,100.0,11047
11,50,185,185,100.0,11050
12,1,82,82,100.0,12001
12,2,137,137,100.0,12002
12,3,120,120,100.0,12003
12,4,119,119,100.0,12004
12,5,148,148,100.0,12005
12,6,85,85,100.0,12006
12,7,50,50,100.0,12007
12,8,229,229,100.0,12008
12,9,77,77,100.0,12009
12,10,72,72,100.0,12010
12,11,121,121,100.0,12011
12,12,92,92,100.0,12012
12,13,112,112,100.0,12013
12,14,103,103,100.0,12014
12,15,136,136,100.0,12015
12,16,54,54,100.0,12016
12,17,86,86,100.0,12017
12,18,134,134,100.0,12018
12,19,140,140,100.0,12019
12,20,150,150,100.0,12020
12,21,168,168,100.0,12021
12,22,102,102,100.0,12022
12,23,101,101,100.0,12023
12,24,174,174,100.0,12024
12,25,125,125,100.0,12025
12,26,126,126,100.0,12026
12,27,77,77,100.0,12027
12,28,144,144,100.0,12028
12,29,156,156,100.0,12029
14,7,160,160,100.0,14007
14,8,102,102,100.0,14008
14,10,156,156,100.0,14010
14,12,106,106,100.0,14012
14,14,135,135,100.0,14014
14,16,189,189,100.0,14016
14,17,140,140,100.0,14017
14,18,147,147,100.0,14018
14,19,195,195,100.0,14019
14,20,143,143,100.0,14020
14,21,128,128,100.0,14021
14,22,153,153,100.0,14022
14,23,115,115,100.0,14023
14,26,125,125,100.0,14026
14,29,171,171,100.0,14029
14,30,137,137,100.0,14030
14,31,142,142,100.0,14031
14,33,103,103,100.0,14033
14,34,22,22,100.0,14034
14,36,198,198,100.0,14036
14,37,137,137,100.0,14037
16,11,237,237,100.0,16011
16,13,149,149,100.0,16013
16,21,175,175,100.0,16021
16,23,176,176,100.0,16023
16,32,10,10,100.0,16032
16,42,109,109,100.0,16042
16,47,1,1,100.0,16047
20,4,138,138,100.0,20004
20,21,74,74,100.0,20021
22,1,118,118,100.0,22001
22,8,129,129,100.0,22008
22,9,135,135,100.0,22009
22,11,155,155,100.0,22011
22,15,130,130,100.0,22015
22,22,112,112,100.0,22022
22,28,7,7,100.0,22028
22,29,94,94,100.0,22029
24,57,180,180,100.0,24057
25,1,207,207,100.0,25001
25,2,228,228,100.0,25002
25,5,259,259,100.0,25005
25,7,183,183,100.0,25007
25,8,203,203,100.0,25008
25,9,255,255,100.0,25009
25,11,159,159,100.0,25011
25,13,244,244,100.0,25013
25,15,213,213,100.0,25015
25,17,351,351,100.0,25017
25,19,232,232,100.0,25019
25,20,288,288,100.0,25020
25,22,119,119,100.0,25022
25,23,238,238,100.0,25023
25,24,204,204,100.0,25024
25,30,215,215,100.0,25030
28,29,150,150,100.0,28029
28,38,69,69,100.0,28038
28,69,0,0,0.0,28069
