ward,precinct,total,MICHAEL G. WEILER,MICHAEL G. WEILER Percent,SARA FEIGENHOLTZ,SARA FEIGENHOLTZ Percent,precinct_id
42,8,402,118,29.35,284,70.65,42008
42,10,272,82,30.15,190,69.85,42010
42,15,344,115,33.43,229,66.57,42015
42,16,222,81,36.49,141,63.51,42016
42,26,244,59,24.18,185,75.82,42026
42,28,329,100,30.4,229,69.6,42028
42,30,209,75,35.89,134,64.11,42030
42,33,372,117,31.45,255,68.55,42033
42,34,273,84,30.77,189,69.23,42034
42,36,252,97,38.49,155,61.51,42036
43,4,329,102,31.0,227,69.0,43004
43,8,289,66,22.84,223,77.16,43008
43,12,348,95,27.3,253,72.7,43012
43,14,263,70,26.62,193,73.38,43014
43,16,305,110,36.07,195,63.93,43016
43,17,195,74,37.95,121,62.05,43017
43,18,406,158,38.92,248,61.08,43018
43,19,228,56,24.56,172,75.44,43019
43,23,238,73,30.67,165,69.33,43023
43,24,255,102,40.0,153,60.0,43024
43,25,266,73,27.44,193,72.56,43025
43,26,213,73,34.27,140,65.73,43026
43,27,264,93,35.23,171,64.77,43027
43,32,233,67,28.76,166,71.24,43032
43,33,187,78,41.71,109,58.29,43033
43,34,182,67,36.81,115,63.19,43034
43,36,271,109,40.22,162,59.78,43036
43,37,242,87,35.95,155,64.05,43037
43,38,255,81,31.76,174,68.24,43038
43,42,291,89,30.58,202,69.42,43042
43,43,262,99,37.79,163,62.21,43043
43,44,341,99,29.03,242,70.97,43044
43,45,52,8,15.38,44,84.62,43045
43,46,417,164,39.33,253,60.67,43046
43,48,313,104,33.23,209,66.77,43048
43,49,211,75,35.55,136,64.45,43049
43,52,350,136,38.86,214,61.14,43052
43,53,320,94,29.38,226,70.63,43053
43,58,295,73,24.75,222,75.25,43058
43,59,296,80,27.03,216,72.97,43059
43,64,194,59,30.41,135,69.59,43064
43,65,182,76,41.76,106,58.24,43065
43,67,206,81,39.32,125,60.68,43067
44,1,310,68,21.94,242,78.06,44001
44,2,250,56,22.4,194,77.6,44002
44,3,348,56,16.09,292,83.91,44003
44,4,352,59,16.76,293,83.24,44004
44,5,360,82,22.78,278,77.22,44005
44,6,293,66,22.53,227,77.47,44006
44,7,366,97,26.5,269,73.5,44007
44,8,190,51,26.84,139,73.16,44008
44,10,248,75,30.24,173,69.76,44010
44,12,221,53,23.98,168,76.02,44012
44,14,312,89,28.53,223,71.47,44014
44,15,374,61,16.31,313,83.69,44015
44,17,362,80,22.1,282,77.9,44017
44,18,240,67,27.92,173,72.08,44018
44,19,200,35,17.5,165,82.5,44019
44,20,286,79,27.62,207,72.38,44020
44,21,364,84,23.08,280,76.92,44021
44,22,390,74,18.97,316,81.03,44022
44,23,321,60,18.69,261,81.31,44023
44,24,249,66,26.51,183,73.49,44024
44,26,256,44,17.19,212,82.81,44026
44,28,241,82,34.02,159,65.98,44028
44,29,347,128,36.89,219,63.11,44029
44,30,283,54,19.08,229,80.92,44030
44,31,382,111,29.06,271,70.94,44031
44,32,208,40,19.23,168,80.77,44032
44,33,407,48,11.79,359,88.21,44033
44,34,230,61,26.52,169,73.48,44034
44,35,284,63,22.18,221,77.82,44035
44,36,320,57,17.81,263,82.19,44036
44,37,388,71,18.3,317,81.7,44037
44,38,328,92,28.05,236,71.95,44038
44,39,374,130,34.76,244,65.24,44039
44,41,331,75,22.66,256,77.34,44041
44,42,350,74,21.14,276,78.86,44042
44,44,378,60,15.87,318,84.13,44044
44,45,343,87,25.36,256,74.64,44045
44,46,240,40,16.67,200,83.33,44046
44,48,262,58,22.14,204,77.86,44048
44,49,519,114,21.97,405,78.03,44049
44,50,346,116,33.53,230,66.47,44050
46,1,518,94,18.15,424,81.85,46001
46,3,391,54,13.81,337,86.19,46003
46,5,290,47,16.21,243,83.79,46005
46,10,169,29,17.16,140,82.84,46010
46,13,441,90,20.41,351,79.59,46013
46,15,325,51,15.69,274,84.31,46015
46,17,507,101,19.92,406,80.08,46017
46,18,352,70,19.89,282,80.11,46018
46,24,303,51,16.83,252,83.17,46024
46,28,332,67,20.18,265,79.82,46028
46,29,297,50,16.84,247,83.16,46029
46,30,341,57,16.72,284,83.28,46030
46,31,371,58,15.63,313,84.37,46031
46,33,327,63,19.27,264,80.73,46033
46,36,357,74,20.73,283,79.27,46036
46,37,219,35,15.98,184,84.02,46037
46,43,217,37,17.05,180,82.95,46043
