ward,precinct,total,BARBARA M MEYER,BARBARA M MEYER Percent,precinct_id
39,32,139,139,100.0,39032
39,41,43,43,100.0,39041
40,9,114,114,100.0,40009
40,12,147,147,100.0,40012
40,13,201,201,100.0,40013
40,18,150,150,100.0,40018
40,26,189,189,100.0,40026
40,27,146,146,100.0,40027
40,28,177,177,100.0,40028
40,35,178,178,100.0,40035
40,37,140,140,100.0,40037
40,39,147,147,100.0,40039
40,47,190,190,100.0,40047
41,47,214,214,100.0,41047
41,54,167,167,100.0,41054
41,67,155,155,100.0,41067
41,69,126,126,100.0,41069
41,70,139,139,100.0,41070
41,71,106,106,100.0,41071
45,5,6,6,100.0,45005
48,2,194,194,100.0,48002
48,13,188,188,100.0,48013
48,22,283,283,100.0,48022
48,32,115,115,100.0,48032
48,33,175,175,100.0,48033
48,41,137,137,100.0,48041
48,53,165,165,100.0,48053
48,54,175,175,100.0,48054
49,1,193,193,100.0,49001
49,2,211,211,100.0,49002
49,3,142,142,100.0,49003
49,4,93,93,100.0,49004
49,5,136,136,100.0,49005
49,6,205,205,100.0,49006
49,7,159,159,100.0,49007
49,8,175,175,100.0,49008
49,9,162,162,100.0,49009
49,10,159,159,100.0,49010
49,11,102,102,100.0,49011
49,12,193,193,100.0,49012
49,13,192,192,100.0,49013
49,14,212,212,100.0,49014
49,15,169,169,100.0,49015
49,16,162,162,100.0,49016
49,18,116,116,100.0,49018
49,19,136,136,100.0,49019
49,20,217,217,100.0,49020
49,21,174,174,100.0,49021
49,22,142,142,100.0,49022
49,23,135,135,100.0,49023
49,24,82,82,100.0,49024
49,25,220,220,100.0,49025
49,26,209,209,100.0,49026
49,27,246,246,100.0,49027
49,28,163,163,100.0,49028
49,29,202,202,100.0,49029
49,30,163,163,100.0,49030
49,31,70,70,100.0,49031
49,32,156,156,100.0,49032
49,33,151,151,100.0,49033
49,34,182,182,100.0,49034
49,35,250,250,100.0,49035
49,36,250,250,100.0,49036
49,37,96,96,100.0,49037
49,38,152,152,100.0,49038
49,39,171,171,100.0,49039
49,40,160,160,100.0,49040
49,41,177,177,100.0,49041
49,42,189,189,100.0,49042
49,43,195,195,100.0,49043
49,44,195,195,100.0,49044
50,1,246,246,100.0,50001
50,2,224,224,100.0,50002
50,3,194,194,100.0,50003
50,4,210,210,100.0,50004
50,5,222,222,100.0,50005
50,6,165,165,100.0,50006
50,7,221,221,100.0,50007
50,9,157,157,100.0,50009
50,10,143,143,100.0,50010
50,11,172,172,100.0,50011
50,12,146,146,100.0,50012
50,13,210,210,100.0,50013
50,14,126,126,100.0,50014
50,15,226,226,100.0,50015
50,16,127,127,100.0,50016
50,17,146,146,100.0,50017
50,18,154,154,100.0,50018
50,19,151,151,100.0,50019
50,20,171,171,100.0,50020
50,21,202,202,100.0,50021
50,22,192,192,100.0,50022
50,24,165,165,100.0,50024
50,25,201,201,100.0,50025
50,26,118,118,100.0,50026
50,27,92,92,100.0,50027
50,28,151,151,100.0,50028
50,30,181,181,100.0,50030
50,31,100,100,100.0,50031
50,32,151,151,100.0,50032
50,33,105,105,100.0,50033
50,34,100,100,100.0,50034
50,35,228,228,100.0,50035
50,36,175,175,100.0,50036
50,37,223,223,100.0,50037
50,38,160,160,100.0,50038
50,39,175,175,100.0,50039
50,40,198,198,100.0,50040
50,41,233,233,100.0,50041
50,42,231,231,100.0,50042
50,43,155,155,100.0,50043
50,44,156,156,100.0,50044
50,45,44,44,100.0,50045
