ward,precinct,total,"LES """"CUT-THE-TAXES"""" GOLDEN","LES """"CUT-THE-TAXES"""" GOLDEN Percent",DEBORAH L. GRAHAM,DEBORAH L. GRAHAM Percent,precinct_id
28,64,92,0,0.0,92,100.0,28064
28,67,116,5,4.31,111,95.69,28067
28,71,179,19,10.61,160,89.39,28071
29,4,232,5,2.16,227,97.84,29004
29,5,297,2,0.67,295,99.33,29005
29,8,215,3,1.4,212,98.6,29008
29,11,365,10,2.74,355,97.26,29011
29,13,299,5,1.67,294,98.33,29013
29,18,237,3,1.27,234,98.73,29018
29,23,279,8,2.87,271,97.13,29023
29,29,311,9,2.89,302,97.11,29029
29,33,239,4,1.67,235,98.33,29033
29,35,243,2,0.82,241,99.18,29035
29,37,277,3,1.08,274,98.92,29037
29,40,447,8,1.79,439,98.21,29040
29,41,343,4,1.17,339,98.83,29041
29,43,348,5,1.44,343,98.56,29043
29,44,294,9,3.06,285,96.94,29044
29,45,241,5,2.07,236,97.93,29045
29,46,278,3,1.08,275,98.92,29046
29,47,376,21,5.59,355,94.41,29047
29,50,229,5,2.18,224,97.82,29050
29,51,286,9,3.15,277,96.85,29051
36,2,217,55,25.35,162,74.65,36002
36,16,398,74,18.59,324,81.41,36016
36,22,404,101,25.0,303,75.0,36022
36,23,162,17,10.49,145,89.51,36023
36,24,243,22,9.05,221,90.95,36024
36,33,193,45,23.32,148,76.68,36033
36,44,278,51,18.35,227,81.65,36044
36,45,250,54,21.6,196,78.4,36045
36,54,350,51,14.57,299,85.43,36054
36,55,348,68,19.54,280,80.46,36055
37,5,259,5,1.93,254,98.07,37005
37,6,260,2,0.77,258,99.23,37006
37,7,194,3,1.55,191,98.45,37007
37,9,238,12,5.04,226,94.96,37009
37,18,226,8,3.54,218,96.46,37018
37,23,203,6,2.96,197,97.04,37023
37,29,230,5,2.17,225,97.83,37029
37,32,252,9,3.57,243,96.43,37032
37,35,111,5,4.5,106,95.5,37035
37,36,201,2,1.0,199,99.0,37036
37,37,204,2,0.98,202,99.02,37037
37,38,241,3,1.24,238,98.76,37038
37,45,136,0,0.0,136,100.0,37045
37,46,238,5,2.1,233,97.9,37046
37,53,195,5,2.56,190,97.44,37053
