ward,precinct,total,BYRON F. REED,BYRON F. REED Percent,KAREN A. YARBROUGH,KAREN A. YARBROUGH Percent,precinct_id
28,48,93,1,1.08,92,98.92,28048
28,49,109,3,2.75,106,97.25,28049
29,16,304,1,0.33,303,99.67,29016
29,19,211,6,2.84,205,97.16,29019
29,20,226,4,1.77,222,98.23,29020
29,21,236,9,3.81,227,96.19,29021
29,26,234,6,2.56,228,97.44,29026
29,27,183,7,3.83,176,96.17,29027
