ward,precinct,total,RONALD SWICK,RONALD SWICK Percent,MICHAEL F. SHEAHAN,MICHAEL F. SHEAHAN Percent,precinct_id
1,1,252,46,18.25,206,81.75,01001
1,2,318,59,18.55,259,81.45,01002
1,3,235,35,14.89,200,85.11,01003
1,4,225,36,16.0,189,84.0,01004
1,5,249,43,17.27,206,82.73,01005
1,6,235,54,22.98,181,77.02,01006
1,7,307,64,20.85,243,79.15,01007
1,8,232,45,19.4,187,80.6,01008
1,9,244,30,12.3,214,87.7,01009
1,10,199,41,20.6,158,79.4,01010
1,11,281,41,14.59,240,85.41,01011
1,12,211,44,20.85,167,79.15,01012
1,13,227,28,12.33,199,87.67,01013
1,14,301,47,15.61,254,84.39,01014
1,15,137,5,3.65,132,96.35,01015
1,16,152,12,7.89,140,92.11,01016
1,17,272,54,19.85,218,80.15,01017
1,18,200,10,5.0,190,95.0,01018
1,19,296,50,16.89,246,83.11,01019
1,20,208,38,18.27,170,81.73,01020
1,21,357,86,24.09,271,75.91,01021
1,22,246,21,8.54,225,91.46,01022
1,23,278,39,14.03,239,85.97,01023
1,24,314,41,13.06,273,86.94,01024
1,25,203,26,12.81,177,87.19,01025
1,26,271,42,15.5,229,84.5,01026
1,27,246,50,20.33,196,79.67,01027
1,28,241,40,16.6,201,83.4,01028
1,29,196,31,15.82,165,84.18,01029
1,30,291,40,13.75,251,86.25,01030
1,31,229,71,31.0,158,69.0,01031
1,32,174,22,12.64,152,87.36,01032
1,33,277,34,12.27,243,87.73,01033
1,34,150,25,16.67,125,83.33,01034
1,35,169,47,27.81,122,72.19,01035
1,36,362,75,20.72,287,79.28,01036
1,37,258,41,15.89,217,84.11,01037
1,38,112,15,13.39,97,86.61,01038
1,39,299,43,14.38,256,85.62,01039
2,1,347,85,24.5,262,75.5,02001
2,2,10,0,0.0,10,100.0,02002
2,3,161,25,15.53,136,84.47,02003
2,4,167,10,5.99,157,94.01,02004
2,5,123,7,5.69,116,94.31,02005
2,6,171,36,21.05,135,78.95,02006
2,7,287,11,3.83,276,96.17,02007
2,8,299,56,18.73,243,81.27,02008
2,9,155,5,3.23,150,96.77,02009
2,10,110,4,3.64,106,96.36,02010
2,11,165,45,27.27,120,72.73,02011
2,12,256,86,33.59,170,66.41,02012
2,13,194,37,19.07,157,80.93,02013
2,14,372,36,9.68,336,90.32,02014
2,15,94,0,0.0,94,100.0,02015
