ward,precinct,total,SANDRA OTAKA,SANDRA OTAKA Percent,precinct_id
39,32,126,126,100.0,39032
39,41,41,41,100.0,39041
40,9,106,106,100.0,40009
40,12,148,148,100.0,40012
40,13,199,199,100.0,40013
40,18,149,149,100.0,40018
40,26,181,181,100.0,40026
40,27,140,140,100.0,40027
40,28,183,183,100.0,40028
40,35,165,165,100.0,40035
40,37,135,135,100.0,40037
40,39,135,135,100.0,40039
40,47,190,190,100.0,40047
41,47,204,204,100.0,41047
41,54,164,164,100.0,41054
41,67,149,149,100.0,41067
41,69,123,123,100.0,41069
41,70,147,147,100.0,41070
41,71,101,101,100.0,41071
45,5,6,6,100.0,45005
48,2,182,182,100.0,48002
48,13,179,179,100.0,48013
48,22,267,267,100.0,48022
48,32,113,113,100.0,48032
48,33,169,169,100.0,48033
48,41,126,126,100.0,48041
48,53,163,163,100.0,48053
48,54,167,167,100.0,48054
49,1,167,167,100.0,49001
49,2,206,206,100.0,49002
49,3,139,139,100.0,49003
49,4,92,92,100.0,49004
49,5,126,126,100.0,49005
49,6,198,198,100.0,49006
49,7,160,160,100.0,49007
49,8,169,169,100.0,49008
49,9,154,154,100.0,49009
49,10,167,167,100.0,49010
49,11,101,101,100.0,49011
49,12,185,185,100.0,49012
49,13,192,192,100.0,49013
49,14,202,202,100.0,49014
49,15,165,165,100.0,49015
49,16,155,155,100.0,49016
49,18,120,120,100.0,49018
49,19,129,129,100.0,49019
49,20,209,209,100.0,49020
49,21,169,169,100.0,49021
49,22,137,137,100.0,49022
49,23,133,133,100.0,49023
49,24,74,74,100.0,49024
49,25,221,221,100.0,49025
49,26,188,188,100.0,49026
49,27,231,231,100.0,49027
49,28,157,157,100.0,49028
49,29,201,201,100.0,49029
49,30,151,151,100.0,49030
49,31,67,67,100.0,49031
49,32,150,150,100.0,49032
49,33,152,152,100.0,49033
49,34,166,166,100.0,49034
49,35,238,238,100.0,49035
49,36,242,242,100.0,49036
49,37,91,91,100.0,49037
49,38,143,143,100.0,49038
49,39,151,151,100.0,49039
49,40,156,156,100.0,49040
49,41,166,166,100.0,49041
49,42,185,185,100.0,49042
49,43,179,179,100.0,49043
49,44,192,192,100.0,49044
50,1,230,230,100.0,50001
50,2,217,217,100.0,50002
50,3,180,180,100.0,50003
50,4,199,199,100.0,50004
50,5,201,201,100.0,50005
50,6,162,162,100.0,50006
50,7,229,229,100.0,50007
50,9,163,163,100.0,50009
50,10,136,136,100.0,50010
50,11,147,147,100.0,50011
50,12,128,128,100.0,50012
50,13,205,205,100.0,50013
50,14,113,113,100.0,50014
50,15,225,225,100.0,50015
50,16,118,118,100.0,50016
50,17,144,144,100.0,50017
50,18,142,142,100.0,50018
50,19,144,144,100.0,50019
50,20,165,165,100.0,50020
50,21,197,197,100.0,50021
50,22,194,194,100.0,50022
50,24,165,165,100.0,50024
50,25,189,189,100.0,50025
50,26,117,117,100.0,50026
50,27,74,74,100.0,50027
50,28,134,134,100.0,50028
50,30,167,167,100.0,50030
50,31,89,89,100.0,50031
50,32,151,151,100.0,50032
50,33,98,98,100.0,50033
50,34,89,89,100.0,50034
50,35,226,226,100.0,50035
50,36,172,172,100.0,50036
50,37,216,216,100.0,50037
50,38,139,139,100.0,50038
50,39,162,162,100.0,50039
50,40,181,181,100.0,50040
50,41,213,213,100.0,50041
50,42,223,223,100.0,50042
50,43,143,143,100.0,50043
50,44,142,142,100.0,50044
50,45,43,43,100.0,50045
