ward,precinct,total,DON HARMON,DON HARMON Percent,precinct_id
28,64,83,83,100.0,28064
28,67,103,103,100.0,28067
28,71,152,152,100.0,28071
29,4,210,210,100.0,29004
29,5,275,275,100.0,29005
29,8,196,196,100.0,29008
29,11,336,336,100.0,29011
29,13,285,285,100.0,29013
29,18,228,228,100.0,29018
29,23,264,264,100.0,29023
29,29,298,298,100.0,29029
29,33,218,218,100.0,29033
29,35,205,205,100.0,29035
29,37,253,253,100.0,29037
29,40,416,416,100.0,29040
29,41,309,309,100.0,29041
29,43,328,328,100.0,29043
29,44,267,267,100.0,29044
29,45,240,240,100.0,29045
29,46,253,253,100.0,29046
29,47,341,341,100.0,29047
29,50,207,207,100.0,29050
29,51,264,264,100.0,29051
36,2,179,179,100.0,36002
36,16,359,359,100.0,36016
36,22,343,343,100.0,36022
36,23,157,157,100.0,36023
36,24,225,225,100.0,36024
36,33,174,174,100.0,36033
36,44,248,248,100.0,36044
36,45,224,224,100.0,36045
36,54,324,324,100.0,36054
36,55,312,312,100.0,36055
37,5,233,233,100.0,37005
37,6,237,237,100.0,37006
37,7,190,190,100.0,37007
37,9,223,223,100.0,37009
37,18,214,214,100.0,37018
37,23,188,188,100.0,37023
37,29,219,219,100.0,37029
37,32,235,235,100.0,37032
37,35,104,104,100.0,37035
37,36,183,183,100.0,37036
37,37,189,189,100.0,37037
37,38,225,225,100.0,37038
37,45,127,127,100.0,37045
37,46,214,214,100.0,37046
37,53,182,182,100.0,37053
41,27,115,115,100.0,41027
