ward,precinct,total,TONY PERAICA,TONY PERAICA Percent,"RONALD M. SERPICO, SR.","RONALD M. SERPICO, SR. Percent",precinct_id
23,7,87,3,3.45,84,96.55,23007
23,14,97,2,2.06,95,97.94,23014
