ward,precinct,total,GLENN L. HARRIS,GLENN L. HARRIS Percent,CALVIN L. GILES,CALVIN L. GILES Percent,JULIE SAMUELS,JULIE SAMUELS Percent,precinct_id
24,7,208,3,1.44,202,97.12,3,1.44,24007
24,16,174,6,3.45,164,94.25,4,2.3,24016
24,41,193,5,2.59,182,94.3,6,3.11,24041
24,46,224,7,3.13,214,95.54,3,1.34,24046
28,1,205,14,6.83,189,92.2,2,0.98,28001
28,4,155,7,4.52,148,95.48,0,0.0,28004
28,8,131,10,7.63,121,92.37,0,0.0,28008
28,12,97,3,3.09,92,94.85,2,2.06,28012
28,14,154,4,2.6,148,96.1,2,1.3,28014
28,17,174,15,8.62,155,89.08,4,2.3,28017
28,19,231,5,2.16,225,97.4,1,0.43,28019
28,21,225,5,2.22,214,95.11,6,2.67,28021
28,27,129,3,2.33,121,93.8,5,3.88,28027
28,40,217,11,5.07,205,94.47,1,0.46,28040
28,42,137,2,1.46,134,97.81,1,0.73,28042
28,45,147,0,0.0,143,97.28,4,2.72,28045
28,47,152,8,5.26,140,92.11,4,2.63,28047
28,51,200,10,5.0,185,92.5,5,2.5,28051
28,55,160,2,1.25,157,98.13,1,0.63,28055
28,56,182,9,4.95,170,93.41,3,1.65,28056
28,57,147,5,3.4,139,94.56,3,2.04,28057
28,58,143,5,3.5,136,95.1,2,1.4,28058
28,60,156,0,0.0,154,98.72,2,1.28,28060
28,61,102,2,1.96,99,97.06,1,0.98,28061
28,62,187,2,1.07,178,95.19,7,3.74,28062
28,63,206,6,2.91,195,94.66,5,2.43,28063
28,65,205,6,2.93,191,93.17,8,3.9,28065
28,66,168,5,2.98,160,95.24,3,1.79,28066
28,68,190,5,2.63,177,93.16,8,4.21,28068
28,70,116,7,6.03,109,93.97,0,0.0,28070
28,72,117,5,4.27,111,94.87,1,0.85,28072
28,75,119,3,2.52,112,94.12,4,3.36,28075
29,1,261,8,3.07,250,95.79,3,1.15,29001
29,3,311,3,0.96,303,97.43,5,1.61,29003
29,10,247,7,2.83,237,95.95,3,1.21,29010
29,12,305,17,5.57,280,91.8,8,2.62,29012
29,14,313,9,2.88,302,96.49,2,0.64,29014
29,15,279,4,1.43,274,98.21,1,0.36,29015
29,17,239,4,1.67,231,96.65,4,1.67,29017
29,22,216,35,16.2,160,74.07,21,9.72,29022
29,25,296,9,3.04,280,94.59,7,2.36,29025
29,28,328,9,2.74,314,95.73,5,1.52,29028
29,31,251,5,1.99,243,96.81,3,1.2,29031
29,34,193,33,17.1,158,81.87,2,1.04,29034
29,36,267,3,1.12,260,97.38,4,1.5,29036
29,38,225,1,0.44,221,98.22,3,1.33,29038
29,42,312,12,3.85,295,94.55,5,1.6,29042
29,48,234,7,2.99,224,95.73,3,1.28,29048
29,49,314,4,1.27,308,98.09,2,0.64,29049
37,2,4,0,0.0,4,100.0,0,0.0,37002
37,3,0,0,0.0,0,0.0,0,0.0,37003
37,10,262,16,6.11,237,90.46,9,3.44,37010
37,14,223,7,3.14,204,91.48,12,5.38,37014
37,15,212,13,6.13,194,91.51,5,2.36,37015
37,16,283,16,5.65,254,89.75,13,4.59,37016
37,20,156,12,7.69,137,87.82,7,4.49,37020
37,21,215,8,3.72,200,93.02,7,3.26,37021
37,22,267,15,5.62,240,89.89,12,4.49,37022
37,24,219,8,3.65,207,94.52,4,1.83,37024
37,25,255,25,9.8,223,87.45,7,2.75,37025
37,26,120,6,5.0,110,91.67,4,3.33,37026
37,27,168,6,3.57,159,94.64,3,1.79,37027
37,28,177,8,4.52,161,90.96,8,4.52,37028
37,30,208,7,3.37,190,91.35,11,5.29,37030
37,31,240,7,2.92,226,94.17,7,2.92,37031
37,33,185,5,2.7,177,95.68,3,1.62,37033
37,34,221,8,3.62,211,95.48,2,0.9,37034
37,40,265,5,1.89,249,93.96,11,4.15,37040
37,41,223,7,3.14,209,93.72,7,3.14,37041
37,43,152,2,1.32,144,94.74,6,3.95,37043
37,44,226,9,3.98,209,92.48,8,3.54,37044
37,48,1,0,0.0,1,100.0,0,0.0,37048
37,49,208,8,3.85,199,95.67,1,0.48,37049
37,54,243,9,3.7,231,95.06,3,1.23,37054
37,55,228,11,4.82,210,92.11,7,3.07,37055
37,57,133,4,3.01,128,96.24,1,0.75,37057
37,58,200,8,4.0,189,94.5,3,1.5,37058
