ward,precinct,total,RAUL VEGA,RAUL VEGA Percent,precinct_id
1,1,125,125,100.0,01001
1,2,158,158,100.0,01002
1,3,108,108,100.0,01003
1,4,110,110,100.0,01004
1,5,132,132,100.0,01005
1,6,75,75,100.0,01006
1,7,112,112,100.0,01007
1,8,91,91,100.0,01008
1,9,116,116,100.0,01009
1,10,105,105,100.0,01010
1,11,127,127,100.0,01011
1,12,106,106,100.0,01012
1,13,113,113,100.0,01013
1,14,151,151,100.0,01014
1,15,68,68,100.0,01015
1,16,68,68,100.0,01016
1,17,131,131,100.0,01017
1,18,101,101,100.0,01018
1,19,120,120,100.0,01019
1,20,79,79,100.0,01020
1,21,165,165,100.0,01021
1,22,92,92,100.0,01022
1,23,124,124,100.0,01023
1,24,150,150,100.0,01024
1,25,93,93,100.0,01025
1,26,135,135,100.0,01026
1,27,112,112,100.0,01027
1,28,113,113,100.0,01028
1,29,87,87,100.0,01029
1,30,120,120,100.0,01030
1,31,113,113,100.0,01031
1,32,70,70,100.0,01032
1,33,124,124,100.0,01033
1,34,70,70,100.0,01034
1,35,74,74,100.0,01035
1,36,164,164,100.0,01036
1,37,129,129,100.0,01037
1,38,54,54,100.0,01038
1,39,142,142,100.0,01039
26,1,57,57,100.0,26001
26,3,54,54,100.0,26003
26,4,63,63,100.0,26004
26,5,109,109,100.0,26005
26,6,56,56,100.0,26006
26,7,52,52,100.0,26007
26,8,58,58,100.0,26008
26,9,62,62,100.0,26009
26,10,56,56,100.0,26010
26,11,56,56,100.0,26011
26,12,42,42,100.0,26012
26,13,75,75,100.0,26013
26,14,59,59,100.0,26014
26,15,66,66,100.0,26015
26,16,63,63,100.0,26016
26,18,47,47,100.0,26018
26,19,107,107,100.0,26019
26,20,93,93,100.0,26020
26,21,63,63,100.0,26021
26,22,49,49,100.0,26022
26,23,60,60,100.0,26023
26,24,68,68,100.0,26024
26,25,42,42,100.0,26025
26,26,54,54,100.0,26026
26,27,46,46,100.0,26027
26,28,20,20,100.0,26028
26,29,60,60,100.0,26029
26,30,90,90,100.0,26030
26,31,71,71,100.0,26031
26,32,75,75,100.0,26032
26,34,78,78,100.0,26034
26,35,78,78,100.0,26035
26,36,74,74,100.0,26036
26,37,42,42,100.0,26037
26,38,51,51,100.0,26038
26,39,57,57,100.0,26039
26,40,27,27,100.0,26040
26,41,55,55,100.0,26041
26,42,55,55,100.0,26042
26,43,52,52,100.0,26043
26,44,52,52,100.0,26044
26,45,62,62,100.0,26045
26,46,69,69,100.0,26046
26,47,38,38,100.0,26047
26,48,90,90,100.0,26048
26,49,50,50,100.0,26049
26,50,25,25,100.0,26050
26,51,81,81,100.0,26051
26,52,33,33,100.0,26052
26,53,47,47,100.0,26053
26,54,66,66,100.0,26054
26,55,47,47,100.0,26055
26,56,73,73,100.0,26056
26,57,43,43,100.0,26057
26,58,46,46,100.0,26058
26,59,72,72,100.0,26059
26,60,46,46,100.0,26060
26,61,41,41,100.0,26061
26,62,74,74,100.0,26062
26,63,19,19,100.0,26063
27,4,72,72,100.0,27004
27,10,150,150,100.0,27010
27,18,49,49,100.0,27018
27,27,13,13,100.0,27027
27,30,69,69,100.0,27030
27,32,56,56,100.0,27032
27,35,190,190,100.0,27035
27,38,88,88,100.0,27038
27,41,97,97,100.0,27041
27,50,15,15,100.0,27050
27,53,37,37,100.0,27053
27,54,115,115,100.0,27054
27,55,40,40,100.0,27055
27,56,71,71,100.0,27056
27,59,101,101,100.0,27059
29,30,18,18,100.0,29030
30,4,61,61,100.0,30004
30,5,47,47,100.0,30005
30,6,53,53,100.0,30006
30,18,14,14,100.0,30018
30,19,41,41,100.0,30019
30,20,70,70,100.0,30020
30,21,54,54,100.0,30021
30,22,94,94,100.0,30022
30,23,63,63,100.0,30023
30,24,63,63,100.0,30024
30,26,54,54,100.0,30026
30,27,63,63,100.0,30027
30,29,37,37,100.0,30029
30,31,56,56,100.0,30031
30,32,40,40,100.0,30032
30,33,71,71,100.0,30033
