ward,precinct,total,ELROY M. LEACH JR.,ELROY M. LEACH JR. Percent,BARBARA FLYNN CURRIE,BARBARA FLYNN CURRIE Percent,precinct_id
4,1,274,20,7.3,254,92.7,04001
4,9,534,17,3.18,517,96.82,04009
4,17,332,29,8.73,303,91.27,04017
4,21,295,17,5.76,278,94.24,04021
4,22,381,10,2.62,371,97.38,04022
4,28,242,22,9.09,220,90.91,04028
4,29,239,15,6.28,224,93.72,04029
4,32,380,22,5.79,358,94.21,04032
4,34,234,13,5.56,221,94.44,04034
4,38,407,25,6.14,382,93.86,04038
4,41,151,5,3.31,146,96.69,04041
4,43,234,21,8.97,213,91.03,04043
4,44,224,13,5.8,211,94.2,04044
4,45,473,26,5.5,447,94.5,04045
4,47,430,24,5.58,406,94.42,04047
4,48,449,30,6.68,419,93.32,04048
4,54,169,12,7.1,157,92.9,04054
4,55,222,8,3.6,214,96.4,04055
5,1,327,6,1.83,321,98.17,05001
5,3,160,10,6.25,150,93.75,05003
5,5,232,9,3.88,223,96.12,05005
5,6,354,11,3.11,343,96.89,05006
5,7,326,7,2.15,319,97.85,05007
5,8,426,24,5.63,402,94.37,05008
5,11,324,19,5.86,305,94.14,05011
5,14,392,12,3.06,380,96.94,05014
5,17,293,9,3.07,284,96.93,05017
5,21,315,8,2.54,307,97.46,05021
5,22,289,3,1.04,286,98.96,05022
5,24,253,11,4.35,242,95.65,05024
5,25,289,6,2.08,283,97.92,05025
5,26,289,9,3.11,280,96.89,05026
5,27,380,40,10.53,340,89.47,05027
5,28,256,6,2.34,250,97.66,05028
5,29,299,10,3.34,289,96.66,05029
5,30,320,29,9.06,291,90.94,05030
5,31,258,10,3.88,248,96.12,05031
5,32,390,15,3.85,375,96.15,05032
5,33,267,6,2.25,261,97.75,05033
5,34,276,6,2.17,270,97.83,05034
5,35,212,27,12.74,185,87.26,05035
5,36,174,6,3.45,168,96.55,05036
5,37,227,15,6.61,212,93.39,05037
5,38,357,21,5.88,336,94.12,05038
5,39,327,19,5.81,308,94.19,05039
5,40,370,10,2.7,360,97.3,05040
5,41,294,23,7.82,271,92.18,05041
5,42,310,9,2.9,301,97.1,05042
5,43,303,9,2.97,294,97.03,05043
5,44,298,13,4.36,285,95.64,05044
5,46,322,21,6.52,301,93.48,05046
5,47,242,7,2.89,235,97.11,05047
5,48,222,9,4.05,213,95.95,05048
5,49,63,1,1.59,62,98.41,05049
5,53,382,17,4.45,365,95.55,05053
5,54,393,13,3.31,380,96.69,05054
7,3,192,5,2.6,187,97.4,07003
7,8,95,5,5.26,90,94.74,07008
7,9,255,10,3.92,245,96.08,07009
7,10,198,10,5.05,188,94.95,07010
7,11,261,7,2.68,254,97.32,07011
7,14,316,18,5.7,298,94.3,07014
7,15,177,7,3.95,170,96.05,07015
7,16,195,5,2.56,190,97.44,07016
7,17,177,2,1.13,175,98.87,07017
7,18,177,4,2.26,173,97.74,07018
7,20,121,2,1.65,119,98.35,07020
7,22,187,6,3.21,181,96.79,07022
7,23,181,6,3.31,175,96.69,07023
7,28,283,11,3.89,272,96.11,07028
7,32,209,9,4.31,200,95.69,07032
7,35,161,28,17.39,133,82.61,07035
7,39,260,5,1.92,255,98.08,07039
7,40,239,14,5.86,225,94.14,07040
7,44,390,16,4.1,374,95.9,07044
7,45,370,11,2.97,359,97.03,07045
7,46,82,3,3.66,79,96.34,07046
7,48,117,3,2.56,114,97.44,07048
7,54,135,8,5.93,127,94.07,07054
7,56,224,6,2.68,218,97.32,07056
7,63,196,9,4.59,187,95.41,07063
7,64,222,13,5.86,209,94.14,07064
7,65,205,10,4.88,195,95.12,07065
8,70,337,11,3.26,326,96.74,08070
10,1,182,8,4.4,174,95.6,10001
10,4,202,12,5.94,190,94.06,10004
10,7,57,5,8.77,52,91.23,10007
10,18,161,14,8.7,147,91.3,10018
10,23,2,0,0.0,2,100.0,10023
10,25,271,15,5.54,256,94.46,10025
10,37,175,3,1.71,172,98.29,10037
10,43,101,6,5.94,95,94.06,10043
10,45,158,20,12.66,138,87.34,10045
10,47,205,37,18.05,168,81.95,10047
10,48,167,12,7.19,155,92.81,10048
10,49,124,7,5.65,117,94.35,10049
20,26,218,14,6.42,204,93.58,20026
20,34,290,11,3.79,279,96.21,20034
20,38,39,3,7.69,36,92.31,20038
