ward,precinct,total,LOUIS S. VIVERITO,LOUIS S. VIVERITO Percent,precinct_id
13,1,233,233,100.0,13001
13,2,200,200,100.0,13002
13,4,362,362,100.0,13004
13,5,204,204,100.0,13005
13,6,245,245,100.0,13006
13,7,200,200,100.0,13007
13,8,261,261,100.0,13008
13,9,250,250,100.0,13009
13,10,217,217,100.0,13010
13,11,219,219,100.0,13011
13,12,233,233,100.0,13012
13,13,238,238,100.0,13013
13,14,172,172,100.0,13014
13,15,216,216,100.0,13015
13,16,199,199,100.0,13016
13,17,251,251,100.0,13017
13,21,158,158,100.0,13021
13,22,200,200,100.0,13022
13,23,160,160,100.0,13023
13,24,235,235,100.0,13024
13,25,218,218,100.0,13025
13,27,278,278,100.0,13027
13,28,178,178,100.0,13028
13,29,244,244,100.0,13029
13,32,229,229,100.0,13032
13,33,210,210,100.0,13033
13,34,201,201,100.0,13034
13,35,244,244,100.0,13035
13,36,154,154,100.0,13036
13,37,179,179,100.0,13037
13,38,266,266,100.0,13038
13,39,239,239,100.0,13039
13,40,206,206,100.0,13040
13,41,199,199,100.0,13041
13,42,235,235,100.0,13042
13,43,175,175,100.0,13043
13,44,171,171,100.0,13044
13,45,301,301,100.0,13045
13,46,227,227,100.0,13046
13,48,232,232,100.0,13048
13,49,242,242,100.0,13049
13,50,204,204,100.0,13050
13,51,205,205,100.0,13051
13,52,262,262,100.0,13052
13,53,283,283,100.0,13053
13,54,216,216,100.0,13054
23,1,263,263,100.0,23001
23,2,356,356,100.0,23002
23,3,260,260,100.0,23003
23,4,264,264,100.0,23004
23,7,104,104,100.0,23007
23,8,325,325,100.0,23008
23,11,307,307,100.0,23011
23,12,254,254,100.0,23012
23,13,336,336,100.0,23013
23,14,1,1,100.0,23014
23,15,285,285,100.0,23015
23,16,316,316,100.0,23016
23,17,341,341,100.0,23017
23,18,236,236,100.0,23018
23,19,266,266,100.0,23019
23,20,258,258,100.0,23020
23,21,225,225,100.0,23021
23,22,302,302,100.0,23022
23,23,276,276,100.0,23023
23,26,264,264,100.0,23026
23,27,267,267,100.0,23027
23,28,296,296,100.0,23028
23,30,273,273,100.0,23030
23,34,220,220,100.0,23034
23,35,168,168,100.0,23035
23,36,362,362,100.0,23036
23,37,154,154,100.0,23037
23,38,217,217,100.0,23038
23,39,256,256,100.0,23039
23,40,273,273,100.0,23040
23,42,239,239,100.0,23042
23,43,323,323,100.0,23043
23,44,283,283,100.0,23044
23,45,312,312,100.0,23045
23,46,280,280,100.0,23046
23,47,300,300,100.0,23047
23,48,235,235,100.0,23048
23,49,352,352,100.0,23049
23,52,353,353,100.0,23052
23,54,379,379,100.0,23054
23,55,288,288,100.0,23055
23,56,225,225,100.0,23056
