ward,precinct,total,LIONEL O. PITTMAN,LIONEL O. PITTMAN Percent,MARLOW H. COLVIN,MARLOW H. COLVIN Percent,precinct_id
5,4,214,7,3.27,207,96.73,05004
7,1,310,13,4.19,297,95.81,07001
7,2,339,12,3.54,327,96.46,07002
7,4,240,16,6.67,224,93.33,07004
7,5,233,14,6.01,219,93.99,07005
7,6,219,10,4.57,209,95.43,07006
7,7,174,5,2.87,169,97.13,07007
7,12,210,9,4.29,201,95.71,07012
7,13,209,5,2.39,204,97.61,07013
7,19,379,19,5.01,360,94.99,07019
7,21,204,10,4.9,194,95.1,07021
7,24,202,4,1.98,198,98.02,07024
7,25,197,7,3.55,190,96.45,07025
7,26,325,14,4.31,311,95.69,07026
7,27,329,27,8.21,302,91.79,07027
7,29,141,6,4.26,135,95.74,07029
7,30,278,10,3.6,268,96.4,07030
7,31,233,7,3.0,226,97.0,07031
7,33,201,14,6.97,187,93.03,07033
7,34,237,9,3.8,228,96.2,07034
7,38,194,7,3.61,187,96.39,07038
7,41,206,8,3.88,198,96.12,07041
7,42,398,17,4.27,381,95.73,07042
7,46,0,0,0.0,0,0.0,07046
7,47,217,10,4.61,207,95.39,07047
7,49,147,5,3.4,142,96.6,07049
7,50,169,12,7.1,157,92.9,07050
7,51,211,8,3.79,203,96.21,07051
7,52,213,7,3.29,206,96.71,07052
7,53,204,6,2.94,198,97.06,07053
7,55,210,11,5.24,199,94.76,07055
7,57,235,7,2.98,228,97.02,07057
7,58,302,15,4.97,287,95.03,07058
7,59,136,11,8.09,125,91.91,07059
7,60,174,6,3.45,168,96.55,07060
7,61,228,13,5.7,215,94.3,07061
7,62,250,4,1.6,246,98.4,07062
8,1,318,15,4.72,303,95.28,08001
8,2,168,7,4.17,161,95.83,08002
8,3,390,14,3.59,376,96.41,08003
8,4,299,12,4.01,287,95.99,08004
8,5,339,22,6.49,317,93.51,08005
8,6,329,8,2.43,321,97.57,08006
8,7,225,5,2.22,220,97.78,08007
8,8,348,8,2.3,340,97.7,08008
8,9,352,10,2.84,342,97.16,08009
8,10,365,16,4.38,349,95.62,08010
8,11,276,10,3.62,266,96.38,08011
8,12,279,10,3.58,269,96.42,08012
8,13,250,3,1.2,247,98.8,08013
8,14,272,1,0.37,271,99.63,08014
8,15,275,7,2.55,268,97.45,08015
8,16,315,14,4.44,301,95.56,08016
8,17,257,7,2.72,250,97.28,08017
8,19,344,15,4.36,329,95.64,08019
8,20,220,6,2.73,214,97.27,08020
8,21,237,11,4.64,226,95.36,08021
8,22,261,11,4.21,250,95.79,08022
8,23,290,9,3.1,281,96.9,08023
8,24,313,11,3.51,302,96.49,08024
8,25,310,3,0.97,307,99.03,08025
8,26,213,5,2.35,208,97.65,08026
8,27,318,8,2.52,310,97.48,08027
8,28,227,4,1.76,223,98.24,08028
8,29,304,6,1.97,298,98.03,08029
8,30,229,12,5.24,217,94.76,08030
8,31,208,8,3.85,200,96.15,08031
8,33,248,11,4.44,237,95.56,08033
8,35,359,12,3.34,347,96.66,08035
8,36,278,5,1.8,273,98.2,08036
8,37,0,0,0.0,0,0.0,08037
8,38,260,9,3.46,251,96.54,08038
8,40,295,10,3.39,285,96.61,08040
8,41,266,10,3.76,256,96.24,08041
8,42,289,21,7.27,268,92.73,08042
8,44,213,11,5.16,202,94.84,08044
8,46,224,8,3.57,216,96.43,08046
8,48,224,8,3.57,216,96.43,08048
8,49,320,9,2.81,311,97.19,08049
8,50,295,5,1.69,290,98.31,08050
8,51,370,10,2.7,360,97.3,08051
8,52,296,8,2.7,288,97.3,08052
8,53,342,8,2.34,334,97.66,08053
8,54,292,11,3.77,281,96.23,08054
8,55,296,4,1.35,292,98.65,08055
8,57,251,5,1.99,246,98.01,08057
8,58,306,10,3.27,296,96.73,08058
8,60,241,8,3.32,233,96.68,08060
8,61,248,6,2.42,242,97.58,08061
8,62,261,16,6.13,245,93.87,08062
8,63,308,9,2.92,299,97.08,08063
8,64,258,5,1.94,253,98.06,08064
8,65,192,8,4.17,184,95.83,08065
10,3,89,23,25.84,66,74.16,10003
10,6,230,6,2.61,224,97.39,10006
10,8,244,69,28.28,175,71.72,10008
10,9,247,83,33.6,164,66.4,10009
10,10,245,77,31.43,168,68.57,10010
10,11,258,69,26.74,189,73.26,10011
10,12,204,49,24.02,155,75.98,10012
10,13,200,42,21.0,158,79.0,10013
10,14,262,76,29.01,186,70.99,10014
10,16,240,84,35.0,156,65.0,10016
10,19,270,77,28.52,193,71.48,10019
10,20,200,47,23.5,153,76.5,10020
10,23,159,23,14.47,136,85.53,10023
10,24,227,91,40.09,136,59.91,10024
10,26,193,45,23.32,148,76.68,10026
10,27,295,71,24.07,224,75.93,10027
10,28,258,18,6.98,240,93.02,10028
10,29,214,5,2.34,209,97.66,10029
10,30,270,39,14.44,231,85.56,10030
10,31,251,55,21.91,196,78.09,10031
10,32,250,70,28.0,180,72.0,10032
10,33,213,41,19.25,172,80.75,10033
10,34,203,32,15.76,171,84.24,10034
10,35,209,30,14.35,179,85.65,10035
10,36,258,26,10.08,232,89.92,10036
10,38,267,70,26.22,197,73.78,10038
10,39,224,44,19.64,180,80.36,10039
10,40,210,13,6.19,197,93.81,10040
10,41,281,94,33.45,187,66.55,10041
10,42,247,88,35.63,159,64.37,10042
10,44,207,29,14.01,178,85.99,10044
10,46,209,36,17.22,173,82.78,10046
10,49,1,0,0.0,1,100.0,10049
