ward,precinct,total,FANNIE KAZI-TAYLOR,FANNIE KAZI-TAYLOR Percent,HARRY OSTERMAN,HARRY OSTERMAN Percent,JASON FARBMAN,JASON FARBMAN Percent,precinct_id
40,3,215,23,10.7,170,79.07,22,10.23,40003
40,4,233,22,9.44,188,80.69,23,9.87,40004
40,7,230,33,14.35,170,73.91,27,11.74,40007
40,11,211,10,4.74,182,86.26,19,9.0,40011
40,12,195,21,10.77,151,77.44,23,11.79,40012
40,13,267,27,10.11,201,75.28,39,14.61,40013
40,16,319,29,9.09,278,87.15,12,3.76,40016
40,26,254,18,7.09,197,77.56,39,15.35,40026
40,27,216,23,10.65,174,80.56,19,8.8,40027
40,28,247,28,11.34,204,82.59,15,6.07,40028
40,35,110,19,17.27,82,74.55,9,8.18,40035
40,37,205,22,10.73,162,79.02,21,10.24,40037
40,42,40,7,17.5,33,82.5,0,0.0,40042
40,43,32,4,12.5,26,81.25,2,6.25,40043
40,47,248,25,10.08,179,72.18,44,17.74,40047
48,1,336,27,8.04,278,82.74,31,9.23,48001
48,2,267,42,15.73,212,79.4,13,4.87,48002
48,3,387,47,12.14,301,77.78,39,10.08,48003
48,5,277,42,15.16,219,79.06,16,5.78,48005
48,6,382,35,9.16,328,85.86,19,4.97,48006
48,7,282,16,5.67,228,80.85,38,13.48,48007
48,8,252,35,13.89,209,82.94,8,3.17,48008
48,9,296,51,17.23,230,77.7,15,5.07,48009
48,10,201,24,11.94,161,80.1,16,7.96,48010
48,11,406,33,8.13,332,81.77,41,10.1,48011
48,12,262,32,12.21,216,82.44,14,5.34,48012
48,13,257,36,14.01,213,82.88,8,3.11,48013
48,14,389,48,12.34,320,82.26,21,5.4,48014
48,15,251,13,5.18,220,87.65,18,7.17,48015
48,16,264,14,5.3,237,89.77,13,4.92,48016
48,18,235,26,11.06,201,85.53,8,3.4,48018
48,19,264,28,10.61,210,79.55,26,9.85,48019
48,20,148,22,14.86,107,72.3,19,12.84,48020
48,22,397,56,14.11,325,81.86,16,4.03,48022
48,26,361,51,14.13,285,78.95,25,6.93,48026
48,27,189,29,15.34,152,80.42,8,4.23,48027
48,28,276,36,13.04,222,80.43,18,6.52,48028
48,29,256,25,9.77,228,89.06,3,1.17,48029
48,30,313,31,9.9,240,76.68,42,13.42,48030
48,31,232,15,6.47,204,87.93,13,5.6,48031
48,32,254,23,9.06,192,75.59,39,15.35,48032
48,33,241,38,15.77,200,82.99,3,1.24,48033
48,36,260,29,11.15,223,85.77,8,3.08,48036
48,37,268,32,11.94,220,82.09,16,5.97,48037
48,38,354,23,6.5,309,87.29,22,6.21,48038
48,39,228,34,14.91,183,80.26,11,4.82,48039
48,41,185,17,9.19,155,83.78,13,7.03,48041
48,42,253,24,9.49,195,77.08,34,13.44,48042
48,43,370,30,8.11,288,77.84,52,14.05,48043
48,44,299,29,9.7,224,74.92,46,15.38,48044
48,45,270,12,4.44,226,83.7,32,11.85,48045
48,46,222,27,12.16,174,78.38,21,9.46,48046
48,47,205,21,10.24,165,80.49,19,9.27,48047
48,48,247,25,10.12,200,80.97,22,8.91,48048
48,50,306,29,9.48,252,82.35,25,8.17,48050
48,51,373,28,7.51,299,80.16,46,12.33,48051
48,52,179,10,5.59,150,83.8,19,10.61,48052
48,53,235,27,11.49,187,79.57,21,8.94,48053
48,54,219,24,10.96,183,83.56,12,5.48,48054
49,2,294,39,13.27,236,80.27,19,6.46,49002
49,3,196,14,7.14,161,82.14,21,10.71,49003
49,4,131,6,4.58,116,88.55,9,6.87,49004
49,7,220,18,8.18,162,73.64,40,18.18,49007
49,8,247,19,7.69,200,80.97,28,11.34,49008
49,9,217,18,8.29,162,74.65,37,17.05,49009
49,10,234,27,11.54,190,81.2,17,7.26,49010
49,11,157,20,12.74,121,77.07,16,10.19,49011
49,12,265,24,9.06,221,83.4,20,7.55,49012
49,13,282,18,6.38,234,82.98,30,10.64,49013
49,15,229,25,10.92,190,82.97,14,6.11,49015
49,17,35,6,17.14,28,80.0,1,2.86,49017
49,18,181,19,10.5,149,82.32,13,7.18,49018
49,19,186,14,7.53,166,89.25,6,3.23,49019
49,21,215,37,17.21,136,63.26,42,19.53,49021
49,22,206,26,12.62,159,77.18,21,10.19,49022
49,23,189,13,6.88,136,71.96,40,21.16,49023
49,24,104,9,8.65,81,77.88,14,13.46,49024
49,25,297,17,5.72,222,74.75,58,19.53,49025
49,26,282,35,12.41,215,76.24,32,11.35,49026
49,27,329,19,5.78,267,81.16,43,13.07,49027
49,29,277,23,8.3,206,74.37,48,17.33,49029
49,31,86,7,8.14,55,63.95,24,27.91,49031
49,32,231,23,9.96,163,70.56,45,19.48,49032
49,33,208,22,10.58,168,80.77,18,8.65,49033
49,36,327,27,8.26,247,75.54,53,16.21,49036
49,37,126,16,12.7,103,81.75,7,5.56,49037
49,39,230,21,9.13,180,78.26,29,12.61,49039
49,42,258,20,7.75,204,79.07,34,13.18,49042
49,43,250,14,5.6,215,86.0,21,8.4,49043
50,34,20,1,5.0,18,90.0,1,5.0,50034
