ward,precinct,total,KATHLEEN A. THOMAS,KATHLEEN A. THOMAS Percent,precinct_id
1,1,259,37,14.29,01001
1,2,315,55,17.46,01002
1,3,241,36,14.94,01003
1,4,242,44,18.18,01004
1,5,256,43,16.8,01005
1,6,235,59,25.11,01006
1,7,312,82,26.28,01007
1,8,238,37,15.55,01008
1,9,246,30,12.2,01009
1,10,204,43,21.08,01010
1,11,284,40,14.08,01011
1,12,213,44,20.66,01012
1,13,231,39,16.88,01013
1,14,318,47,14.78,01014
1,15,145,8,5.52,01015
1,16,153,6,3.92,01016
1,17,276,55,19.93,01017
1,18,201,14,6.97,01018
1,19,304,58,19.08,01019
1,20,212,33,15.57,01020
1,21,368,88,23.91,01021
1,22,254,25,9.84,01022
1,23,273,46,16.85,01023
1,24,329,46,13.98,01024
1,25,202,30,14.85,01025
1,26,272,43,15.81,01026
1,27,247,50,20.24,01027
1,28,247,48,19.43,01028
1,29,202,34,16.83,01029
1,30,290,39,13.45,01030
1,31,235,68,28.94,01031
1,32,183,24,13.11,01032
1,33,295,45,15.25,01033
1,34,152,29,19.08,01034
1,35,173,54,31.21,01035
1,36,372,72,19.35,01036
1,37,264,43,16.29,01037
1,38,110,16,14.55,01038
1,39,302,41,13.58,01039
2,1,351,81,23.08,02001
2,2,11,0,0.0,02002
2,3,169,15,8.88,02003
2,4,171,5,2.92,02004
2,5,128,2,1.56,02005
2,6,178,49,27.53,02006
2,7,298,6,2.01,02007
2,8,306,56,18.3,02008
2,9,163,3,1.84,02009
2,10,115,5,4.35,02010
2,11,166,41,24.7,02011
2,12,263,91,34.6,02012
2,13,202,27,13.37,02013
2,14,380,12,3.16,02014
2,15,95,3,3.16,02015
2,16,221,49,22.17,02016
2,17,205,5,2.44,02017
2,18,498,112,22.49,02018
2,19,164,4,2.44,02019
2,20,234,11,4.7,02020
2,21,312,29,9.29,02021
2,22,449,90,20.04,02022
2,23,146,3,2.05,02023
2,24,133,4,3.01,02024
2,25,194,26,13.4,02025
2,26,250,27,10.8,02026
2,27,153,4,2.61,02027
2,28,142,36,25.35,02028
2,29,101,15,14.85,02029
2,30,143,4,2.8,02030
2,31,279,7,2.51,02031
2,32,121,4,3.31,02032
2,33,175,3,1.71,02033
2,34,249,3,1.2,02034
2,35,93,31,33.33,02035
2,36,106,2,1.89,02036
2,37,273,61,22.34,02037
2,38,257,14,5.45,02038
2,39,216,18,8.33,02039
2,40,307,39,12.7,02040
2,41,155,2,1.29,02041
2,42,88,9,10.23,02042
2,43,426,75,17.61,02043
2,44,148,6,4.05,02044
2,45,189,6,3.17,02045
2,46,350,12,3.43,02046
2,47,201,11,5.47,02047
2,48,168,3,1.79,02048
2,49,249,58,23.29,02049
2,50,181,30,16.57,02050
2,51,197,7,3.55,02051
2,52,232,7,3.02,02052
2,53,112,0,0.0,02053
2,54,368,80,21.74,02054
2,55,75,12,16.0,02055
2,56,199,2,1.01,02056
2,57,115,7,6.09,02057
2,58,128,22,17.19,02058
2,59,309,48,15.53,02059
3,1,182,3,1.65,03001
3,2,382,10,2.62,03002
3,3,218,33,15.14,03003
3,4,124,1,0.81,03004
3,5,116,4,3.45,03005
3,6,181,7,3.87,03006
3,7,217,15,6.91,03007
3,8,77,3,3.9,03008
3,9,108,2,1.85,03009
3,10,116,0,0.0,03010
3,11,132,1,0.76,03011
3,12,230,6,2.61,03012
3,13,162,27,16.67,03013
3,14,105,8,7.62,03014
3,15,237,8,3.38,03015
3,16,400,7,1.75,03016
3,17,137,2,1.46,03017
3,18,139,4,2.88,03018
3,19,79,2,2.53,03019
3,20,52,1,1.92,03020
3,21,146,1,0.68,03021
3,22,135,4,2.96,03022
3,23,62,0,0.0,03023
3,24,166,3,1.81,03024
3,25,56,1,1.79,03025
3,26,147,2,1.36,03026
3,27,25,1,4.0,03027
3,28,153,8,5.23,03028
3,29,272,6,2.21,03029
3,30,145,1,0.69,03030
3,31,316,4,1.27,03031
3,32,177,1,0.56,03032
3,33,238,4,1.68,03033
3,34,144,3,2.08,03034
3,35,203,5,2.46,03035
3,36,129,3,2.33,03036
3,37,121,5,4.13,03037
3,38,49,1,2.04,03038
3,39,260,9,3.46,03039
3,40,214,7,3.27,03040
3,41,219,6,2.74,03041
3,42,177,4,2.26,03042
3,43,86,5,5.81,03043
3,44,106,2,1.89,03044
3,45,138,6,4.35,03045
3,46,193,1,0.52,03046
3,47,143,2,1.4,03047
3,48,191,2,1.05,03048
3,49,68,4,5.88,03049
3,50,104,1,0.96,03050
3,51,65,11,16.92,03051
3,52,104,1,0.96,03052
3,53,188,15,7.98,03053
3,54,216,54,25.0,03054
3,55,168,6,3.57,03055
3,56,177,1,0.56,03056
3,57,253,6,2.37,03057
3,58,79,2,2.53,03058
3,59,124,7,5.65,03059
3,60,217,6,2.76,03060
3,61,181,22,12.15,03061
3,62,180,5,2.78,03062
3,63,159,33,20.75,03063
4,1,270,24,8.89,04001
4,2,313,9,2.88,04002
4,3,431,11,2.55,04003
4,4,374,7,1.87,04004
4,5,303,8,2.64,04005
4,6,122,2,1.64,04006
4,7,215,5,2.33,04007
4,8,270,4,1.48,04008
4,9,535,15,2.8,04009
4,10,372,7,1.88,04010
4,11,314,5,1.59,04011
4,12,152,2,1.32,04012
4,13,234,14,5.98,04013
4,14,183,0,0.0,04014
4,15,156,10,6.41,04015
4,16,338,12,3.55,04016
4,17,331,36,10.88,04017
4,18,265,6,2.26,04018
4,19,313,9,2.88,04019
4,20,122,4,3.28,04020
4,21,371,21,5.66,04021
4,22,376,9,2.39,04022
4,23,247,20,8.1,04023
4,24,350,16,4.57,04024
4,25,310,8,2.58,04025
4,26,303,11,3.63,04026
4,27,304,7,2.3,04027
4,28,245,25,10.2,04028
4,29,234,15,6.41,04029
4,30,162,1,0.62,04030
4,31,91,0,0.0,04031
4,32,378,28,7.41,04032
4,33,110,6,5.45,04033
