ward,precinct,total,ANTHONY J. LOPEZ-CISNEROS,ANTHONY J. LOPEZ-CISNEROS Percent,LUIS V. GUTIERREZ,LUIS V. GUTIERREZ Percent,MAGGIE KOHLS,MAGGIE KOHLS Percent,precinct_id
1,1,122,12,9.84,104,85.25,6,4.92,01001
1,2,329,57,17.33,245,74.47,27,8.21,01002
1,3,260,33,12.69,196,75.38,31,11.92,01003
1,4,255,38,14.9,198,77.65,19,7.45,01004
1,5,273,46,16.85,202,73.99,25,9.16,01005
1,7,301,68,22.59,213,70.76,20,6.64,01007
1,8,249,37,14.86,196,78.71,16,6.43,01008
1,9,263,28,10.65,215,81.75,20,7.6,01009
1,10,219,39,17.81,157,71.69,23,10.5,01010
1,11,272,36,13.24,215,79.04,21,7.72,01011
1,12,232,53,22.84,158,68.1,21,9.05,01012
1,13,246,33,13.41,207,84.15,6,2.44,01013
1,14,217,34,15.67,167,76.96,16,7.37,01014
1,15,162,6,3.7,151,93.21,5,3.09,01015
1,16,176,9,5.11,161,91.48,6,3.41,01016
1,17,283,52,18.37,205,72.44,26,9.19,01017
1,18,225,16,7.11,196,87.11,13,5.78,01018
1,19,318,60,18.87,230,72.33,28,8.81,01019
1,20,271,41,15.13,204,75.28,26,9.59,01020
1,21,380,83,21.84,274,72.11,23,6.05,01021
1,22,281,28,9.96,241,85.77,12,4.27,01022
1,23,299,43,14.38,235,78.6,21,7.02,01023
1,24,342,41,11.99,268,78.36,33,9.65,01024
1,25,213,34,15.96,170,79.81,9,4.23,01025
1,26,282,40,14.18,219,77.66,23,8.16,01026
1,27,271,46,16.97,203,74.91,22,8.12,01027
1,28,133,6,4.51,121,90.98,6,4.51,01028
1,29,225,38,16.89,180,80.0,7,3.11,01029
1,30,322,41,12.73,267,82.92,14,4.35,01030
1,31,248,77,31.05,156,62.9,15,6.05,01031
1,32,216,27,12.5,181,83.8,8,3.7,01032
1,33,319,50,15.67,256,80.25,13,4.08,01033
1,34,175,29,16.57,139,79.43,7,4.0,01034
1,35,188,59,31.38,112,59.57,17,9.04,01035
1,36,387,79,20.41,276,71.32,32,8.27,01036
1,37,278,42,15.11,209,75.18,27,9.71,01037
1,38,134,17,12.69,111,82.84,6,4.48,01038
1,39,331,46,13.9,264,79.76,21,6.34,01039
3,13,174,19,10.92,147,84.48,8,4.6,03013
11,3,224,30,13.39,182,81.25,12,5.36,11003
11,10,169,16,9.47,145,85.8,8,4.73,11010
11,18,23,1,4.35,21,91.3,1,4.35,11018
11,26,5,0,0.0,4,80.0,1,20.0,11026
12,1,90,7,7.78,80,88.89,3,3.33,12001
12,2,161,28,17.39,127,78.88,6,3.73,12002
12,3,155,16,10.32,137,88.39,2,1.29,12003
12,4,143,18,12.59,117,81.82,8,5.59,12004
12,5,182,23,12.64,144,79.12,15,8.24,12005
12,6,68,3,4.41,64,94.12,1,1.47,12006
12,7,71,3,4.23,67,94.37,1,1.41,12007
12,8,296,51,17.23,229,77.36,16,5.41,12008
12,9,120,16,13.33,104,86.67,0,0.0,12009
12,10,94,18,19.15,69,73.4,7,7.45,12010
12,11,142,10,7.04,126,88.73,6,4.23,12011
12,12,124,26,20.97,92,74.19,6,4.84,12012
12,13,134,23,17.16,103,76.87,8,5.97,12013
12,14,118,13,11.02,102,86.44,3,2.54,12014
12,15,160,19,11.88,138,86.25,3,1.88,12015
12,16,161,22,13.66,133,82.61,6,3.73,12016
12,17,115,13,11.3,99,86.09,3,2.61,12017
